	sgID	gene	Control_1	Control_2	Control_3	Control_4	Control_5	Model	Mean	Sample Variance	Model Variance	n	p
0	sgAKAP5_1	AKAP5	2974.65665842	4745.05423542	1436.31022163	5016.29617995	2381.18618638	Neg. Binomial	3310.70069636	1891337.70002	787652.381093	13.9744442694	0.00420325104809
1	sgAKAP5_2	AKAP5	2168.18939474	1819.48286545	116.486468868	850.328600956	1631.75253642	Neg. Binomial	1317.24797329	547019.240127	125482.630845	13.9744442694	0.0104974526308
2	sgAKAP5_3	AKAP5	2819.40092852	1565.32248916	2895.06279048	5676.7109204	4097.45764161	Neg. Binomial	3410.79095403	1925475.19792	835894.337909	13.9744442694	0.00408040920886
3	sgAKAP5_4	AKAP5	2007.54284088	3762.22805931	2852.84980406	3182.84206806	6051.16374734	Neg. Binomial	3571.32530393	1859716.88553	916263.39238	13.9744442694	0.00389770598021
4	sgAKAP5_5	AKAP5	2618.86227739	4244.36920231	5787.45387296	4631.47072578	3717.85532999	Neg. Binomial	4200.00228169	1088121.07855	1266505.5957	13.9744442694	0.00331621296894
5	sgATP9A_1	ATP9A	6666.29290287	5815.14577679	10532.9416253	4575.78169902	7024.35268523	Neg. Binomial	6922.90293784	3968924.82477	3436510.8109	13.9744442694	0.00201451510523
6	sgATP9A_2	ATP9A	5041.49856281	5963.49689772	7826.50141975	4974.88639082	3894.70994622	Neg. Binomial	5540.21864346	1736454.91222	2201979.80691	13.9744442694	0.00251601700709
7	sgATP9A_3	ATP9A	1776.8155756	1527.14389186	5366.39269192	1403.64905918	1390.89804527	Neg. Binomial	2292.97985277	2380691.52155	378533.816614	13.9744442694	0.00605752974273
8	sgATP9A_4	ATP9A	1220.48254343	2280.8984842	1480.66057446	1382.94416461	1240.91360554	Neg. Binomial	1521.17987445	153378.271504	167108.316351	13.9744442694	0.00910295733727
9	sgATP9A_5	ATP9A	3801.60905313	5444.26797448	3862.22108704	4142.4068369	4068.63327046	Neg. Binomial	4263.8276444	364243.416404	1305226.20087	13.9744442694	0.00326673464077
