sgRNA	gene	CD107a_positive_1	Control_1	CD107a_positive_2	Control_2	CD107a_positive_3	Control_3	CD107a_positive_4	Control_4	CD107a_positive_5	Control_5	Variance
sgLAT_1	LAT	283.244039189	2733.14774523	405.126042106	2207.8137408	4818.21122125	5773.56099135	4347.70782446	19627.5260864	927.905364765	3021.1849357	28838708.7428
sgMS4A6A_5	MS4A6A	16274.0768966	14950.9111571	15840.5323919	17719.2324138	29941.4014193	9736.23829925	15925.8191393	14808.9973476	14392.2567131	17386.9583888	23881971.2486
INTERGENIC44800	Intergenic	5973.95815554	5772.49429112	4706.33569223	5324.27809727	17034.374346	18400.0530067	6387.19188776	6938.99552703	4381.15796478	5792.7215043	23849970.6579
sgLAT_4	LAT	1112.67853831	4410.77216006	1664.24528351	3882.21793652	9767.22284584	14686.3788845	5889.42503849	13316.8170151	1472.42468062	2083.66005025	22843133.3435
INTERGENIC19822	Intergenic	4659.22605181	5703.49174449	7239.15454673	6523.08605238	21101.6723426	5936.53517945	6692.38008715	6459.92710449	3669.48603581	4984.66201471	22209127.2647
sgZAP70_5	ZAP70	2255.80350429	2696.49014234	1481.99063732	5634.0701439	922.737390841	13052.8966124	2707.52525555	14207.8414433	696.855076832	3822.404744	21639625.4188
sgMYO1E_1	MYO1E	4270.80344432	3809.15620667	8279.56821271	8929.42849912	20671.8146535	13213.1990925	6860.47840018	8066.34133804	9430.92638201	6685.2999127	21480456.1158
sgLAT_5	LAT	1254.76186742	2077.62355229	1547.60230995	4964.30846561	9510.97296475	8848.16255954	12456.683404	14515.5590143	2546.18343356	4465.82333396	20724524.325
sgGEM_1	GEM	9925.53541888	10183.2664512	7665.10969126	7536.45510633	20932.2263656	7957.94945342	7124.86603816	6921.86044187	3187.47531489	7892.99220911	19244503.3519
sgPLS3_3	PLS3	12802.2615237	8872.2180653	2651.54473831	5392.9995724	5050.08466353	16685.8851529	6952.95967273	6635.56172736	4541.82820508	4253.3046653	16852994.3871
sgSLC29A1_2	SLC29A1	2034.37493945	2865.76201453	2928.57180052	2578.69154311	2672.49005917	15958.6462349	3709.58704392	3274.94315079	5304.89608988	3381.73384944	15356668.585
sgMS4A6A_1	MS4A6A	3318.66061552	4795.67699045	8956.51404142	8284.75561334	17669.9453968	9031.97607005	9241.05515692	6762.64694228	6032.77395086	7321.3902727	13495286.3507
sgPHLDA1_4	PHLDA1	7709.40453246	7415.61743263	6358.08351429	6270.01649315	16421.3960922	9058.69315006	6643.41941345	12474.3419949	5578.54482769	4075.96150041	12087480.0609
sgZAP70_2	ZAP70	3979.25583395	4683.54785219	2881.70632007	3496.0686953	6476.40360724	9023.96094604	4146.42505481	13808.7367515	1646.05966654	4593.82308383	11375643.8142
sgPDE7B_3	PDE7B	14735.148371	17651.7139586	16408.1254329	16054.6455717	8414.62776583	7855.35586616	12939.2180436	14348.491934	12217.4206361	17538.4084746	10945635.8155
sgLAT_2	LAT	4100.11892559	5918.04653791	769.635334489	3308.44816001	3488.20893819	9837.76320331	6833.82203339	11975.9966015	2738.80251127	4058.86229719	10520766.8382
sgMYO1E_3	MYO1E	3829.79155268	4632.87410701	4263.71726576	6752.15763616	15203.7632465	5044.71904853	7788.55517052	5025.57768441	9061.89415859	5904.1105996	10367814.958
sgDUSP4_1	DUSP4	11392.4996609	7157.93604758	7241.23745697	7295.38453483	13753.6624113	11479.2605995	5067.42972783	3916.79488232	4148.71859696	6719.49831915	9991079.60485
sgP2RY1_4	P2RY1	10397.9163572	5906.1867252	6088.34663792	7353.19783931	8735.68330131	12540.9973593	8178.06453017	2228.2750324	12459.1205365	5422.89016596	9519096.61539
sgLAMP1_5	LAMP1	1496.4880507	5215.08309416	2451.58535506	7288.83963244	1756.2926885	5849.9718402	2204.31833142	8479.72526747	1346.01841086	10067.0337621	9277075.8147
sgFAM3C_4	FAM3C	12782.8865243	4725.59627904	4603.23163524	3149.18886843	2624.33172885	1440.58495444	3291.78929502	3664.05237624	4595.53929406	2553.15531597	8908213.7598
sgFAM3C_3	FAM3C	11082.4996702	10502.4032293	9086.69593156	8850.8896704	5342.0073819	7918.408175	8367.92314262	11159.224209	17366.2767519	9722.60695429	8791904.09911
sgXCL2_2	XCL2	12081.696069	11909.4082816	8643.03604997	10763.0919864	19111.1280227	8036.49766867	12741.7433264	12964.8338075	14354.7515561	13708.1869519	8717398.49209
sgDUSP4_2	DUSP4	5369.64269733	5383.27680156	4704.25278199	4136.37831281	7516.2668138	13327.0138533	8034.44655398	3777.57231541	10952.4318853	7519.74103012	8633425.99925
