sgRNA	gene	counts	control mean	control stdev	fold change	p-value	significant
sgMYO1E_3	MYO1E	10092.5153111	5471.88781514	1465.62805256	1.84443023177	0.0042767769331	False
sgSLC29A1_3	SLC29A1	5299.68080667	2990.13133	801.743538946	1.77239064836	0.00725276870832	False
sgCAMK1_2	CAMK1	8504.30290658	5306.99000973	1421.51694454	1.60247200221	0.0229472060058	False
sgGEM_2	GEM	5813.57643158	3715.06642599	995.668093663	1.56486473321	0.0292752939967	False
sgPHEX_5	PHEX	3533.12053778	2269.17811188	608.883892737	1.55700450277	0.0308570804089	False
sgSH3BGRL2_3	SH3BGRL2	4114.68966062	2643.21518933	708.94127566	1.55669870438	0.0309160130595	False
sgP2RY1_4	P2RY1	10357.5698447	6690.30942443	1791.56275967	1.54814511372	0.0324291854301	False
sgSNX9_1	SNX9	3012.88052244	1959.07719646	525.929737652	1.537908015	0.0349008783333	False
sgSNX9_2	SNX9	7153.65267705	4662.0303904	1248.98652486	1.534450031	0.0353788755066	False
sgSERPINE1_5	SERPINE1	10207.4192712	6867.47857059	1838.95650706	1.48634162688	0.047361027752	False
sgAKAP5_1	AKAP5	4917.60751627	3310.70069636	887.497820331	1.48536759052	0.0478019718654	False
sgSERPINE1_3	SERPINE1	8881.44167108	6001.66326968	1607.34600918	1.47983005244	0.0492627293749	False
sgSERPINE1_4	SERPINE1	4696.96371573	3203.9501471	858.941395098	1.46599151051	0.0536751221113	False
sgDUSP4_4	DUSP4	13870.9522789	9511.58849133	2546.27073573	1.45832131947	0.0558995215093	False
sgAKAP5_2	AKAP5	1902.61219702	1317.24797329	354.235276116	1.44438422803	0.0613605993534	False
sgNDFIP2_2	NDFIP2	4297.26711858	2978.28808934	798.575398207	1.44286482357	0.0613795164585	False
sgXCL2_2	XCL2	16510.9236305	11476.4037392	3071.86975207	1.43868445253	0.0626452644069	False
INTERGENIC4649	Intergenic	15535.2973686	11186.2624463	2994.25534368	1.38878355869	0.0830472361571	False
sgMS4A6A_5	MS4A6A	20636.8922074	14920.4675213	3993.17591129	1.38312637844	0.0856733648551	False
sgFAM3C_4	FAM3C	4265.54516642	3106.51555882	832.877042524	1.37309634723	0.0908353158591	False
sgCAMK1_4	CAMK1	9022.42812511	6626.28623242	1774.43619383	1.36161158885	0.0964231805886	False
sgCLNK_3	CLNK	7398.26417478	5443.69400174	1458.08604605	1.35905217531	0.0977873514179	False
sgSH3BGRL2_2	SH3BGRL2	7180.44010331	5314.58691217	1423.54915953	1.35108150868	0.10207589682	False
sgXCL2_4	XCL2	7312.9673701	5417.27414613	1451.01858334	1.34993488844	0.102750534581	False
INTERGENIC42167	Intergenic	7281.95035021	5469.0707828	1464.87448028	1.33147853436	0.113264221706	False
INTERGENIC50500	Intergenic	5903.80776215	4483.8723974	1201.32822514	1.31667613146	0.122361024954	False
sgPTPN22_1	PTPN22	11291.6051026	8584.98506853	2298.39914337	1.31527370315	0.123063448063	False
sgPHLDA1_2	PHLDA1	6452.24506829	4934.22219567	1321.79940876	1.30765190792	0.128048368456	False
sgDUSP4_2	DUSP4	8911.7537587	6828.79646264	1828.60882479	1.30502553524	0.129753841794	False
sgSPRY1_2	SPRY1	9666.03128771	7432.25600283	1990.0376525	1.30055144549	0.132652651995	False
sgPHLDA1_3	PHLDA1	5932.00505295	4626.43745485	1239.46520785	1.2821971789	0.145536770445	False
sgNDFIP2_4	NDFIP2	9173.98856318	7195.94916106	1926.8242422	1.27488234809	0.150916738389	False
sgSLC29A1_4	SLC29A1	9594.12819616	7534.51293505	2017.3919569	1.27335745241	0.151957189738	False
sgCAMK1_5	CAMK1	6482.55715591	5094.17520109	1364.58776	1.272543032	0.152702861778	False
sgMS4A6A_1	MS4A6A	9184.56254723	7239.28917776	1938.41794076	1.26871054902	0.155512911269	False
sgENTPD1_1	ENTPD1	6470.57330732	5106.1477876	1367.79049583	1.26721230495	0.156742567439	False
sgPHLDA1_1	PHLDA1	6986.58372904	5557.42343528	1488.50932031	1.25716239016	0.164554228023	False
INTERGENIC2261	Intergenic	4203.51112665	3357.38530725	899.986238145	1.25201927749	0.168833930473	False
sgPTPN22_2	PTPN22	7388.395123	5918.26257373	1585.03584843	1.24840610415	0.171575423471	False
sgOAS1_5	OAS1	4016.70407507	3217.28977268	862.509826815	1.24847444864	0.171786971635	False
sgPHEX_4	PHEX	7904.40554472	6359.17225555	1702.98169272	1.24299283414	0.176039777851	False
INTERGENIC14666	Intergenic	8646.69922514	6974.60934588	1867.61459399	1.23973957484	0.17878996332	False
