gene	STARS	p_value	significant	# sgRNAs	# signif. sgRNAs
SERPINE1	2.4890995263	0.0	True	5	0
SNX9	1.66888917546	0.090909090909090939	True	5	0
CAMK1	1.35322006282	0.16528925619834711	True	5	0
AKAP5	1.27172817476	0.20661157024793386	True	5	0
PHLDA1	1.26108527839	0.21487603305785119	True	5	0
SH3BGRL2	0.965207896254	0.43801652892561982	False	5	0
XCL2	0.93656624703	0.44628099173553731	False	5	0
DUSP4	0.814635687839	0.56198347107438018	False	5	0
NDFIP2	0.755277422692	0.65289256198347112	False	5	0
SLC29A1	0.737382641516	0.68595041322314054	False	5	0
MS4A6A	0.704122430111	0.76859504132231415	False	5	0
Intergenic	0.700573594351	0.77685950413223137	False	20	0
PTPN22	0.633858435826	0.88429752066115697	False	5	0
PHEX	0.621750411315	0.8925619834710744	False	5	0
SPRY1	0.599263912888	0.93388429752066116	False	5	0
CLNK	0.578936192481	1.0	False	5	0
ATP9A	-1.0	N/A	False	5	0
MYO1E	-1.0	N/A	False	5	0
FAM3C	-1.0	N/A	False	5	0
SRGAP3	-1.0	N/A	False	5	0
NTRK1	-1.0	N/A	False	5	0
OAS1	-1.0	N/A	False	5	0
PDE7B	-1.0	N/A	False	5	0
ZAP70	-1.0	N/A	False	5	0
GEM	-1.0	N/A	False	5	0
SHC4	-1.0	N/A	False	5	0
PLS3	-1.0	N/A	False	5	0
ENTPD1	-1.0	N/A	False	5	0
LAMP1	-1.0	N/A	False	5	0
P2RY1	-1.0	N/A	False	5	0
RYR1	-1.0	N/A	False	5	0
PTMS	-1.0	N/A	False	5	0
LAT	-1.0	N/A	False	5	0
