guide	gene	positive119	negative119	positive122	negative122	positive124	negative124	positive141	negative141	positive144	negative144
sgAKAP5_1	AKAP5	2844	2759	4937	4350	6976	2688	7034	7026	8832	4874
sgAKAP5_2	AKAP5	1065	2011	2106	1668	2699	218	10170	1191	5288	3340
sgAKAP5_3	AKAP5	2051	2615	1522	1435	2079	5418	5896	7951	4576	8387
sgAKAP5_4	AKAP5	2522	1862	3560	3449	5786	5339	4846	4458	10528	12386
sgAKAP5_5	AKAP5	2955	2429	3787	3891	6222	10831	7238	6487	4196	7610
sgATP9A_1	ATP9A	4445	6183	4842	5331	11023	19712	7821	6409	19770	14378
sgATP9A_2	ATP9A	3545	4676	6457	5467	14681	14647	15085	6968	8205	7972
sgATP9A_3	ATP9A	1948	1648	2208	1400	5115	10043	3710	1966	3869	2847
sgATP9A_4	ATP9A	1898	1132	2420	2091	1433	2771	3826	1937	3734	2540
sgATP9A_5	ATP9A	4845	3526	5984	4991	7127	7228	8255	5802	6774	8328
sgCAMK1_1	CAMK1	4766	6530	5195	4588	6725	6607	17128	7486	13438	10039
sgCAMK1_2	CAMK1	6011	5643	5412	4977	12064	7267	12809	7789	12831	11417
sgCAMK1_3	CAMK1	6331	7197	5126	4837	8283	2358	8506	8583	14545	9429
sgCAMK1_4	CAMK1	13265	8462	7267	7413	12444	5783	12799	6608	23801	16608
sgCAMK1_5	CAMK1	5021	3667	5734	5047	12643	7354	10123	8895	9196	11732
sgCLNK_1	CLNK	10383	9104	5055	5256	8813	9616	11213	6048	16027	9516
sgCLNK_2	CLNK	3940	2683	1595	1736	3442	6955	5894	928	8783	4675
sgCLNK_3	CLNK	8409	6088	4732	6086	23080	10034	10495	4706	12887	10837
sgCLNK_4	CLNK	4429	3419	3880	4432	1670	7612	11048	6132	12880	9705
sgCLNK_5	CLNK	9908	8128	8418	8385	9176	14311	15520	6029	12434	12335
sgDUSP4_1	DUSP4	12348	6639	6953	6688	23133	21483	9315	5486	8960	13754
sgDUSP4_2	DUSP4	5820	4993	4517	3792	12642	24941	14769	5291	23654	15392
sgDUSP4_3	DUSP4	10360	8442	8890	6600	13347	19799	16782	9692	18816	21725
sgDUSP4_4	DUSP4	17343	10863	10430	8298	22674	15727	19677	8705	21567	24922
sgDUSP4_5	DUSP4	6924	3437	2184	2319	1587	2458	5458	7669	6710	7823
sgENTPD1_1	ENTPD1	6230	5660	5944	5118	9179	4065	9389	7872	15182	12390
sgENTPD1_2	ENTPD1	979	804	791	557	1036	2	4532	7755	3666	5199
sgENTPD1_3	ENTPD1	1912	2344	3516	2593	762	1687	10219	3462	5454	6035
sgENTPD1_4	ENTPD1	1609	2763	3408	3238	3194	7918	9428	6117	10763	11088
sgENTPD1_5	ENTPD1	4244	4365	4109	4794	3678	4097	12361	8496	7931	13182
sgFAM3C_1	FAM3C	2917	2859	5173	4574	12401	10555	5917	4339	5913	8351
sgFAM3C_2	FAM3C	9912	9207	12683	10339	9527	16006	18280	15502	24750	21728
sgFAM3C_3	FAM3C	12012	9741	8725	8114	8985	14819	15382	15630	37506	19901
sgFAM3C_4	FAM3C	13855	4383	4420	2887	4414	2696	6051	5132	9925	5226
sgFAM3C_5	FAM3C	6563	7539	7685	7199	7314	8241	14721	6749	21607	14548
sgGEM_1	GEM	10758	9445	7360	6909	35207	14893	13097	9695	6884	16156
sgGEM_2	GEM	8247	3775	4928	4723	6012	1010	10535	5272	11589	10336
sgGEM_3	GEM	5158	3574	3523	2565	3150	7097	3670	1925	2862	4619
sgGEM_4	GEM	9484	7859	8863	6882	11543	14794	20914	13059	22540	15924
sgGEM_5	GEM	5851	5519	5267	3960	5100	9677	6699	4136	8375	8982
INTERGENIC12191	Intergenic	6888	5514	5967	4859	13490	8878	9019	5800	8885	11136
INTERGENIC14666	Intergenic	6769	5484	8050	7738	13488	10315	12266	7424	17890	19870
INTERGENIC17236	Intergenic	7079	8411	5966	6906	9866	17350	10340	4667	15323	13802
INTERGENIC19822	Intergenic	5050	5290	6951	5980	35492	11110	12302	9048	7925	10203
INTERGENIC22544	Intergenic	7407	5633	4359	6300	6501	25315	13259	13174	16550	17378
INTERGENIC2261	Intergenic	4501	2970	4537	3756	8920	5773	9307	4844	5963	6027
INTERGENIC25153	Intergenic	4568	2631	4671	4234	6046	8451	7315	13883	4771	9826
INTERGENIC27867	Intergenic	7802	9531	11155	11405	12179	11761	13676	10297	15938	22293
INTERGENIC30558	Intergenic	9271	3428	2020	3013	865	4719	5658	6208	10234	6713
INTERGENIC33423	Intergenic	6915	3450	2861	3728	6107	5206	12978	9762	13536	7632
INTERGENIC36225	Intergenic	1075	3110	4821	2771	12392	14601	8291	8351	4902	7324
INTERGENIC39333	Intergenic	2512	3710	3355	3364	5303	4917	8799	2549	11308	8334
INTERGENIC42167	Intergenic	6554	4328	5198	4596	10470	17578	10330	6946	12219	6783
INTERGENIC44800	Intergenic	6475	5354	4519	4881	28651	34435	11741	9719	9462	11857
INTERGENIC4649	Intergenic	16376	13955	12126	11253	22038	19048	24947	10557	30122	22301
INTERGENIC47459	Intergenic	5845	9772	6494	4655	6468	16687	10875	4784	12704	10075
INTERGENIC50500	Intergenic	6372	5547	3676	2855	12746	12485	8375	3176	13951	8977
INTERGENIC53513	Intergenic	1877	3778	3245	4463	10780	13488	6760	2532	10512	10734
INTERGENIC7310	Intergenic	6912	4554	6098	3807	5426	21065	5941	10407	9035	9476
INTERGENIC9892	Intergenic	3153	2111	4643	2477	6964	14051	6104	6003	8017	6318
sgLAMP1_1	LAMP1	2177	3532	2442	5505	7734	3758	6356	3371	5859	12666
sgLAMP1_2	LAMP1	2843	4775	2265	5016	2451	4662	5128	8289	8434	11024
sgLAMP1_3	LAMP1	4018	6890	1783	8778	7858	12689	7862	9670	3403	19181
sgLAMP1_4	LAMP1	2701	6276	6258	9706	11501	14009	12320	7119	5794	23411
sgLAMP1_5	LAMP1	1622	4837	2354	6682	2954	10948	4052	11877	2907	20606
sgLAT_1	LAT	307	2535	389	2024	8104	10805	7992	27491	2004	6184
sgLAT_2	LAT	4444	5489	739	3033	5867	18411	12562	16774	5915	8308
sgLAT_3	LAT	556	722	1194	2787	690	3480	3581	4843	4548	2268
sgLAT_4	LAT	1206	4091	1598	3559	16428	27485	10826	18652	3180	4265
sgLAT_5	LAT	1360	1927	1486	4551	15997	16559	22898	20331	5499	9141
sgMS4A6A_1	MS4A6A	3597	4448	8600	7595	29720	16903	16987	9472	13029	14986
sgMS4A6A_2	MS4A6A	3558	4078	5336	5170	1839	4494	9812	6215	12800	11673
sgMS4A6A_3	MS4A6A	6836	4774	4941	5518	8168	7129	10524	5513	13499	14966
sgMS4A6A_4	MS4A6A	5571	5851	4943	3755	1313	10356	2831	3232	6928	5779
sgMS4A6A_5	MS4A6A	17639	13867	15210	16244	50360	18221	29275	20742	31083	35589
sgMYO1E_1	MYO1E	4629	3533	7950	8186	34769	24728	12611	11298	20368	13684
sgMYO1E_2	MYO1E	2996	4201	5667	5309	2649	9455	12564	3896	10667	8066
sgMYO1E_3	MYO1E	4151	4297	4094	6190	25572	9441	14317	7039	19571	12085
sgMYO1E_4	MYO1E	4115	5927	4615	4354	6722	22622	11700	8951	10232	9557
sgMYO1E_5	MYO1E	6656	4706	5090	5481	9535	16750	7767	7760	14634	11140
sgNDFIP2_1	NDFIP2	5188	5779	8574	7391	5448	9379	11007	10759	8477	12188
sgNDFIP2_2	NDFIP2	6096	3462	2575	2702	11584	4209	5927	3657	9083	6860
sgNDFIP2_3	NDFIP2	3160	2687	6034	4797	3273	6450	5602	1856	10860	8453
sgNDFIP2_4	NDFIP2	13014	6503	8910	7835	4739	13349	15828	10791	15027	11431
sgNDFIP2_5	NDFIP2	3338	7471	4707	5084	4011	9464	8554	5251	13648	10657
sgNTRK1_1	NTRK1	3527	3845	6577	5397	3002	7656	7053	3602	10015	8388
sgNTRK1_2	NTRK1	4330	3163	5588	4978	3214	6755	4800	3514	8958	10265
sgNTRK1_3	NTRK1	5767	5524	11017	8661	3849	7382	18013	11166	18882	19047
sgNTRK1_4	NTRK1	4733	2549	3801	2388	4726	6129	6442	3298	9129	9854
sgNTRK1_5	NTRK1	1021	1136	3063	2900	5290	4366	3345	5118	6675	3520
sgOAS1_1	OAS1	4105	4388	6009	3882	4558	3018	8678	4103	12827	10426
sgOAS1_2	OAS1	3530	3107	4711	3814	5762	6979	6504	3003	6509	7466
sgOAS1_3	OAS1	6008	5413	5563	5168	10885	10244	14939	18556	10129	12735
sgOAS1_4	OAS1	5684	5628	4611	5174	5572	6143	11467	5090	13376	11017
sgOAS1_5	OAS1	2480	2121	3763	3840	5698	2213	12022	7655	8590	6065
sgP2RY1_1	P2RY1	6870	4619	3000	4609	7305	10957	8559	4839	14152	9214
sgP2RY1_2	P2RY1	8968	4958	5065	3628	15414	10947	7324	4524	6951	5334
sgP2RY1_3	P2RY1	12114	13429	10980	11137	12901	27010	16874	11348	23077	20810
sgP2RY1_4	P2RY1	11270	5478	5846	6741	14693	23470	15033	3121	26908	11100
sgP2RY1_5	P2RY1	12787	9692	6855	7663	15836	10177	12248	12867	13048	13222
sgPDE7B_1	PDE7B	6977	6231	7385	5247	8507	8026	6464	5473	9529	10575
sgPDE7B_2	PDE7B	4657	5230	4709	4685	4199	11197	12783	9930	10192	16571
sgPDE7B_3	PDE7B	15971	16372	15755	14718	14153	14701	23785	20097	26386	35899
sgPDE7B_4	PDE7B	8369	6465	8537	8339	10040	9883	18720	11079	17726	14412
sgPDE7B_5	PDE7B	5411	5766	5595	4851	8688	8124	6745	7559	8413	10307
sgPHEX_1	PHEX	8624	8203	5742	6053	16960	4203	10063	4659	5707	14594
sgPHEX_2	PHEX	8101	5231	5042	2820	6265	6800	4709	6063	14568	12980
sgPHEX_3	PHEX	8722	7117	6178	5389	10931	7579	12675	5501	15203	24465
sgPHEX_4	PHEX	9513	6856	8508	5435	11213	14002	14292	6737	16868	12657
sgPHEX_5	PHEX	2181	1954	2757	2716	5270	2	5298	2887	5012	8626
sgPHLDA1_1	PHLDA1	6992	5064	5849	7098	11583	6025	9911	6830	14468	13282
sgPHLDA1_2	PHLDA1	3609	4220	4195	4025	12011	14443	9153	6253	10009	7264
sgPHLDA1_3	PHLDA1	3239	4497	5660	4251	10444	9369	8415	6740	10635	7836
sgPHLDA1_4	PHLDA1	8356	6878	6105	5748	27620	16953	12212	17472	12048	8343
sgPHLDA1_5	PHLDA1	4077	4236	3497	3387	7043	8897	8984	4455	4454	5636
sgPLS3_1	PLS3	6934	7446	6069	6189	10017	13440	17205	14691	18255	16291
