gene	median
P2RY1	0.325896059402963
SNX9	0.271500212232956
PHEX	0.234519580496995
SERPINE1	0.224810768293892
GEM	0.216234884888016
SPRY1	0.209168537928228
CLNK	0.197282215032925
SLC29A1	0.194806047979715
FAM3C	0.166185187806887
ATP9A	0.138377750286694
SHC4	0.129817587079779
DUSP4	0.105334723082
SRGAP3	0.100626467572904
OAS1	0.0782005630575718
CAMK1	0.0762958707997871
SH3BGRL2	0.0646997070456764
NTRK1	0.0493656835774542
PTMS	0.031665034787331
AKAP5	0.0311304928619837
NDFIP2	0.0190355470129122
RYR1	-0.020687683502524
PHLDA1	-0.0256767647630257
Intergenic	-0.0321233317067093
XCL2	-0.0717603378009483
ENTPD1	-0.0903333871709769
MS4A6A	-0.118298442166873
PDE7B	-0.128393580293663
PTPN22	-0.197993623393113
MYO1E	-0.204431078630166
PLS3	-0.284855129661787
ZAP70	-1.01134549106002
LAMP1	-1.17992034616282
LAT	-1.18117851330002
