gene	donor	meanlogfc_perDonor	median
AKAP5	119	-0.277182113211368	0.0311304928619837
AKAP5	122	0.0311304928619837	0.0311304928619837
AKAP5	124	0.782511759026867	0.0311304928619837
AKAP5	141	0.0570361618568398	0.0311304928619837
AKAP5	144	-0.1912985720749	0.0311304928619837
ATP9A	119	-0.0625839081104562	0.138377750286694
ATP9A	122	0.155267209613497	0.138377750286694
ATP9A	124	-0.361601812651703	0.138377750286694
ATP9A	141	0.230173142845346	0.138377750286694
ATP9A	144	0.138377750286694	0.138377750286694
CAMK1	119	-0.0657698801032682	0.0762958707997871
CAMK1	122	0.0168797722327354	0.0762958707997871
CAMK1	124	1.08579202570492	0.0762958707997871
CAMK1	141	0.0762958707997871	0.0762958707997871
CAMK1	144	0.174540081457554	0.0762958707997871
CLNK	119	0.197282215032925	0.197282215032925
CLNK	122	-0.236525514643621	0.197282215032925
CLNK	124	-0.359243681726497	0.197282215032925
CLNK	141	0.854148427678788	0.197282215032925
CLNK	144	0.364413722044337	0.197282215032925
DUSP4	119	0.442890300606989	0.105334723082
DUSP4	122	0.105334723082	0.105334723082
DUSP4	124	-0.114716028506394	0.105334723082
DUSP4	141	0.213032870139116	0.105334723082
DUSP4	144	-0.229069843278854	0.105334723082
ENTPD1	119	-0.314925824638106	-0.0903333871709769
ENTPD1	122	0.111532573746014	-0.0903333871709769
ENTPD1	124	1.71042633056716	-0.0903333871709769
ENTPD1	141	-0.0903333871709769	-0.0903333871709769
ENTPD1	144	-0.32847331587537	-0.0903333871709769
FAM3C	119	0.203099694620119	0.166185187806887
FAM3C	122	0.166185187806887	0.166185187806887
FAM3C	124	0.0547035182865117	0.166185187806887
FAM3C	141	-0.126510039555292	0.166185187806887
FAM3C	144	0.318112107847857	0.166185187806887
GEM	119	0.263444805229826	0.216234884888016
GEM	122	0.18638747434841	0.216234884888016
GEM	124	0.466612108114572	0.216234884888016
GEM	141	0.216234884888016	0.216234884888016
GEM	144	-0.373092985209851	0.216234884888016
Intergenic	119	-0.0321233317067093	-0.0321233317067093
Intergenic	122	0.0186300773197865	-0.0321233317067093
Intergenic	124	-0.190169060597621	-0.0321233317067093
Intergenic	141	0.00569497659649763	-0.0321233317067093
Intergenic	144	-0.0436442295857595	-0.0321233317067093
LAMP1	119	-1.17992034616282	-1.17992034616282
LAMP1	122	-1.44250323900419	-1.17992034616282
LAMP1	124	-0.355987287361221	-1.17992034616282
LAMP1	141	-0.698852089046582	-1.17992034616282
LAMP1	144	-1.86859623364102	-1.17992034616282
LAT	119	-1.37498030501809	-1.18117851330002
LAT	122	-1.77284294433406	-1.18117851330002
LAT	124	-0.843865992097279	-1.18117851330002
LAT	141	-1.18117851330002	-1.18117851330002
LAT	144	-0.555648650681867	-1.18117851330002
MS4A6A	119	-0.118298442166873	-0.118298442166873
MS4A6A	122	-0.0175316406088337	-0.118298442166873
MS4A6A	124	-0.163847128962448	-0.118298442166873
MS4A6A	141	0.0165364663075318	-0.118298442166873
MS4A6A	144	-0.132203123643108	-0.118298442166873
MYO1E	119	-0.211333803882705	-0.204431078630166
MYO1E	122	-0.204431078630166	-0.204431078630166
MYO1E	124	-0.299556701053012	-0.204431078630166
MYO1E	141	0.12044959347299	-0.204431078630166
MYO1E	144	0.331000910195771	-0.204431078630166
NDFIP2	119	-0.0299081128243643	0.0190355470129122
NDFIP2	122	0.0190355470129122	0.0190355470129122
NDFIP2	124	-0.412423423249869	0.0190355470129122
NDFIP2	141	0.184469693439903	0.0190355470129122
NDFIP2	144	0.0969069204014222	0.0190355470129122
NTRK1	119	0.0493656835774542	0.0493656835774542
NTRK1	122	0.21874964697727	0.0493656835774542
NTRK1	124	-0.497520055226639	0.0493656835774542
NTRK1	141	-0.039188911480794	0.0493656835774542
NTRK1	144	0.0700187702410021	0.0493656835774542
OAS1	119	-0.0808707045653199	0.0782005630575718
OAS1	122	0.0782005630575718	0.0782005630575718
OAS1	124	0.520376141851152	0.0782005630575718
OAS1	141	0.209636830794276	0.0782005630575718
OAS1	144	0.00865694348310086	0.0782005630575718
P2RY1	119	0.367400909980707	0.325896059402963
P2RY1	122	-0.195947120143183	0.325896059402963
P2RY1	124	-0.0445475843332643	0.325896059402963
P2RY1	141	0.325896059402963	0.325896059402963
P2RY1	144	0.379815865345835	0.325896059402963
PDE7B	119	-0.128393580293663	-0.128393580293663
PDE7B	122	0.0767063120827771	-0.128393580293663
PDE7B	124	-0.0588005001398197	-0.128393580293663
PDE7B	141	-0.243533821455078	-0.128393580293663
PDE7B	144	-0.35991270021849	-0.128393580293663
PHEX	119	0.14900936025547	0.234519580496995
PHEX	122	0.234519580496995	0.234519580496995
PHEX	124	2.88763083372283	0.234519580496995
PHEX	141	0.250782090240226	0.234519580496995
PHEX	144	-0.550589175663323	0.234519580496995
PHLDA1	119	-0.178131211827439	-0.0256767647630257
PHLDA1	122	-0.0256767647630257	-0.0256767647630257
PHLDA1	124	0.434593970769917	-0.0256767647630257
PHLDA1	141	-0.15106596947417	-0.0256767647630257
PHLDA1	144	0.141499743223288	-0.0256767647630257
PLS3	119	0.0352937606812854	-0.284855129661787
PLS3	122	-0.296555420096613	-0.284855129661787
PLS3	124	-1.07294898963883	-0.284855129661787
PLS3	141	-0.284855129661787	-0.284855129661787
PLS3	144	0.0430349293431196	-0.284855129661787
PTMS	119	-0.00322638076004991	0.031665034787331
PTMS	122	0.292461405979548	0.031665034787331
PTMS	124	-0.0921646820699908	0.031665034787331
PTMS	141	0.252657022033049	0.031665034787331
PTMS	144	0.031665034787331	0.031665034787331
PTPN22	119	-0.0938988556598567	-0.197993623393113
PTPN22	122	-0.197993623393113	-0.197993623393113
PTPN22	124	-0.298572028686036	-0.197993623393113
PTPN22	141	-0.0668793607823876	-0.197993623393113
PTPN22	144	-0.432163304363085	-0.197993623393113
RYR1	119	-0.139536539173244	-0.020687683502524
RYR1	122	-0.020687683502524	-0.020687683502524
RYR1	124	-0.338025989077187	-0.020687683502524
RYR1	141	0.00889222436751381	-0.020687683502524
RYR1	144	0.222122514369507	-0.020687683502524
SERPINE1	119	0.352393901612192	0.224810768293892
SERPINE1	122	0.224810768293892	0.224810768293892
SERPINE1	124	-0.0311726889044461	0.224810768293892
SERPINE1	141	0.502244824982232	0.224810768293892
SERPINE1	144	0.110226791151338	0.224810768293892
SH3BGRL2	119	-0.159417525079004	0.0646997070456764
SH3BGRL2	122	0.0646997070456764	0.0646997070456764
SH3BGRL2	124	0.0492151882077612	0.0646997070456764
SH3BGRL2	141	0.308832189056722	0.0646997070456764
SH3BGRL2	144	0.0759472919965757	0.0646997070456764
SHC4	119	0.0593822923644853	0.129817587079779
SHC4	122	0.129817587079779	0.129817587079779
SHC4	124	0.447281951128124	0.129817587079779
SHC4	141	-0.208225511870643	0.129817587079779
SHC4	144	0.287878621914053	0.129817587079779
SLC29A1	119	0.436994736009353	0.194806047979715
SLC29A1	122	0.194806047979715	0.194806047979715
SLC29A1	124	-0.21634595961344	0.194806047979715
SLC29A1	141	-0.0532276443210725	0.194806047979715
SLC29A1	144	0.544604523254491	0.194806047979715
SNX9	119	0.245861494438853	0.271500212232956
SNX9	122	0.271500212232956	0.271500212232956
SNX9	124	0.431359336611996	0.271500212232956
SNX9	141	-0.211289848269794	0.271500212232956
SNX9	144	0.463723074831719	0.271500212232956
SPRY1	119	0.186472136726734	0.209168537928228
SPRY1	122	0.209168537928228	0.209168537928228
SPRY1	124	0.299844997855375	0.209168537928228
SPRY1	141	-0.344905284557056	0.209168537928228
SPRY1	144	0.311422759111138	0.209168537928228
SRGAP3	119	0.232525227669872	0.100626467572904
SRGAP3	122	0.100626467572904	0.100626467572904
SRGAP3	124	0.437638084118938	0.100626467572904
SRGAP3	141	-0.17446837663982	0.100626467572904
SRGAP3	144	-0.203603048543717	0.100626467572904
XCL2	119	-0.120373322147161	-0.0717603378009483
XCL2	122	-0.258554673886081	-0.0717603378009483
XCL2	124	0.0632983775548572	-0.0717603378009483
XCL2	141	-0.0717603378009483	-0.0717603378009483
XCL2	144	0.170623460523874	-0.0717603378009483
ZAP70	119	-0.438548217033329	-1.01134549106002
ZAP70	122	-0.759528243366213	-1.01134549106002
ZAP70	124	-1.01134549106002	-1.01134549106002
ZAP70	141	-1.82503973598733	-1.01134549106002
ZAP70	144	-1.37024739938755	-1.01134549106002
