p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
8.75298236162033e-88	0.526001168798554	1	1	1.85685767819414e-83	Ubb	Tex-prolif
2.50836236130038e-79	0.358899416177764	1	1	5.32123991326263e-75	Serf2	Tex-prolif
1.49102692578464e-77	0.526855851472248	0.978	0.874	3.16306452035954e-73	Gm11808	Tex-prolif
4.02903533951663e-72	-0.251746758579196	1	1	8.54719556925057e-68	Tpt1	Tex-prolif
4.37964958473957e-64	0.318127529511624	1	0.999	9.29098862906653e-60	Rpl15	Tex-prolif
5.37387664068451e-62	0.27451176281253	1	1	1.14001419055481e-57	Rpl27a	Tex-prolif
1.82037748040251e-59	-0.29097217224769	1	1	3.86174878692588e-55	Rack1	Tex-prolif
3.62192894076886e-58	0.234299279294349	1	1	7.68356005494706e-54	Rps10	Tex-prolif
1.18171461066685e-56	-0.292543722509929	1	1	2.50688937506866e-52	Rps15	Tex-prolif
6.51218843280166e-50	-0.288365959077711	1	1	1.38149565413454e-45	Rpl12	Tex-prolif
2.47024485092826e-47	0.347967593706156	0.986	0.946	5.24037742675921e-43	Atp5l	Tex-prolif
2.03325394672318e-45	0.270002681447055	1	0.998	4.31334492257855e-41	Rpl36al	Tex-prolif
1.1124448634905e-44	-0.379166396404709	1	1	2.35994053340875e-40	mt-Rnr2	Tex-prolif
3.74720623941979e-44	-0.491130235577797	0.991	0.992	7.94932331630515e-40	mt-Rnr1	Tex-prolif
4.22736388537111e-43	0.375747773632952	0.949	0.846	8.96792974642627e-39	Rnaset2a	Tex-prolif
6.5297619151094e-41	0.269517034887679	1	0.999	1.38522369267131e-36	Uba52	Tex-prolif
1.75294356806144e-40	-0.195842452109375	1	1	3.71869448528555e-36	Rps14	Tex-prolif
1.80741530386556e-39	-0.452309244844004	0.98	0.993	3.8342508256204e-35	Ahnak	Tex-prolif
2.95053660264883e-38	-0.265921518382681	1	1	6.25926834885923e-34	Rpl23a	Tex-prolif
2.52340310372516e-37	0.38623492964965	0.98	0.963	5.35314734424255e-33	Ndufa4	Tex-prolif
9.0674181415459e-37	0.318368255915176	0.993	0.974	1.92356208454755e-32	Myl12b	Tex-prolif
1.37761515104573e-36	-0.25929140521768	0.999	0.999	2.92247278142841e-32	Rpl4	Tex-prolif
