p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
1.84207923190359e-93	0.448307441803752	1	1	3.90778688256028e-89	Rpl27a	0
3.40866789212604e-87	0.605582168263292	1	1	7.23114806635618e-83	Ubb	0
3.030662863723e-73	0.352818511435085	1	1	6.42924819910198e-69	Rps10	0
8.00094973411129e-71	0.649566844624021	0.95	0.822	1.69732147659437e-66	Gm11808	0
5.90564421940701e-60	0.326072622323236	1	1	1.252823364705e-55	Rpl27	0
1.98310934918916e-53	-0.344324156295524	1	1	4.20696817336989e-49	Rps15	0
2.53282039415931e-48	0.38953751200203	1	0.997	5.37312518416955e-44	Uba52	0
5.3426290493796e-48	0.361744451497555	1	1	1.13338532653539e-43	Serf2	0
8.8327380041509e-47	-0.335887458287795	1	1	1.87377704020057e-42	Rack1	0
3.2702426073812e-42	0.336694841277435	1	0.997	6.93749266729848e-38	Rpl36al	0
1.66251349568709e-40	0.359661521113198	1	0.997	3.5268561297506e-36	Rpl15	0
6.71873011225017e-40	-0.317506922050221	1	1	1.42531140601275e-35	Rpl23a	0
3.10223307911526e-39	0.644270855559297	0.905	0.751	6.58107725403511e-35	Rn7sk	0
8.62371686205562e-39	0.412052187099101	0.98	0.983	1.82943529511648e-34	Myl12b	0
2.16238713621238e-35	0.406074449339038	0.957	0.928	4.58728807076094e-31	Atp5l	0
7.36620663603757e-35	0.275698078176611	1	1	1.56266707576901e-30	Rpl24	0
1.36662113257765e-34	-0.459796006878507	0.996	0.994	2.89915007065022e-30	mt-Rnr1	0
1.92777815345534e-34	0.442707987763141	0.931	0.841	4.08958857474017e-30	Rnaset2a	0
6.34062080642831e-32	0.43484412450718	0.888	0.774	1.3450992978757e-27	Rnaset2b	0
4.00114689159942e-31	0.315617391198943	1	1	8.48803301583901e-27	Nkg7	0
2.08671867587309e-29	-0.302536467699984	1	1	4.42676499899717e-25	Rps19	0
2.42470489874835e-27	0.199289667903209	1	1	5.14376897220476e-23	Rpl30	0
1.02269332553128e-26	-0.259589631184994	1	1	2.16954162078205e-22	Rpl12	0
2.55946993102614e-25	-0.28419159911072	0.995	1	5.42965951167885e-21	Rpl4	0
1.76901315831153e-24	0.382201967348353	0.719	0.547	3.75278451404207e-20	Gm10177	0
2.70515406468258e-24	-0.39931038482181	0.991	0.997	5.73871383281763e-20	Ahnak	0
7.9493091747664e-23	-0.165192612917674	1	1	1.68636644833494e-18	Tpt1	0
1.47488074252338e-22	-0.241442068029617	0.138	0.361	3.12881200718909e-18	Snx9	0
2.51116308108962e-22	-0.196432561680485	1	1	5.32718136022353e-18	Rps18	0
2.7783116665446e-22	-0.490542859377492	0.336	0.597	5.8939103694077e-18	Ifitm2	0
3.35711275330588e-22	0.278466200523605	0.999	1	7.12177899486309e-18	Hspa8	0
1.1467706051779e-21	-0.222293118813401	1	1	2.43275916182439e-17	mt-Rnr2	0
1.16413671950568e-21	-0.150937590800343	1	1	2.46959963675936e-17	Rplp2	0
2.0667255603987e-21	0.351504372215194	0.615	0.432	4.3843516038298e-17	Ubb-ps	0
3.21276466261823e-21	-0.717748778866352	0.422	0.639	6.81555895527831e-17	Ifitm3	0
5.03203207555636e-21	0.430050287068033	0.868	0.748	1.06749528450853e-16	Tox	0
6.43917560209095e-21	1.17412487595646	0.835	0.717	1.36600671222757e-16	Ccl5	0
6.61936772383015e-21	-0.994660788743995	0.314	0.54	1.40423266893333e-16	Xcl1	0
1.05729120975013e-20	0.289469271308467	0.999	0.997	2.24293757236392e-16	Sub1	0
2.18019351823087e-20	-0.261478855670843	0.999	1	4.62506252957496e-16	Rps17	0
2.24327435393845e-20	-0.250451961176991	0.999	0.999	4.75888221444504e-16	Rpl31	0
3.01701544901334e-20	-0.164449375965073	1	1	6.40029657353689e-16	Rps14	0
2.87573028205354e-19	0.177624785839778	1	1	6.10057422034838e-15	Rps28	0
4.13264693547645e-18	-0.204974173012634	1	1	8.76699720891974e-14	Rpl5	0
4.26163237159054e-17	-0.290760375237485	0.985	0.997	9.04062691309218e-13	mt-Nd1	0
7.00254709576347e-17	-0.286791934342362	0.449	0.657	1.48552034089526e-12	Raph1	0
7.19224728082536e-17	0.407774720284806	0.819	0.649	1.52576333815429e-12	Itga4	0
7.86215785501842e-17	0.329390063337983	0.836	0.758	1.66787816736361e-12	Gm11478	0
8.91288973535109e-17	-0.283239272931269	0.978	0.999	1.89078042845738e-12	mt-Nd2	0
1.16854455407409e-16	-0.155214853597842	1	1	2.47895041701278e-12	Rplp1	0
3.16927385983913e-16	0.258914230904676	1	1	6.72329756626272e-12	AW112010	0
3.18072836788319e-16	-0.203961863199018	1	1	6.74759715962739e-12	Ddx5	0
4.16423708865463e-16	-0.387792523644281	0.616	0.783	8.83401255987194e-12	Il7r	0
5.83892617562244e-16	0.278499432425472	0.981	0.986	1.23866979889655e-11	Klrc1	0
8.71099543759949e-16	0.264261979754006	0.639	0.485	1.84795057213236e-11	Bloc1s1	0
9.88268465681484e-16	0.248486637311824	0.988	0.979	2.0965127230967e-11	Rap1a	0
1.64219837993681e-15	-0.329606924029505	0.858	0.903	3.48375964319795e-11	Ptpn6	0
5.57124237913554e-15	0.146258931013421	1	1	1.18188335830981e-10	Rpl35a	0
6.64687407116479e-15	-0.147630949881922	1	1	1.4100678654569e-10	Rpl26	0
7.03489641988788e-15	0.398987848523304	0.953	0.9	1.49238292651502e-10	Zfp36l2	0
8.55787376223424e-15	-0.374912550371534	0.707	0.823	1.81546733992037e-10	Odc1	0
1.45221192011714e-14	0.151221857630559	1	1	3.08072236733649e-10	Rpl13	0
1.98091202668183e-14	0.183869920243773	1	1	4.20230677340283e-10	Pfn1	0
3.34275258487979e-14	0.298062857341215	0.995	0.987	7.091315333564e-10	Lag3	0
3.94501224484405e-14	-0.239904568167201	0.973	0.994	8.36894897621216e-10	mt-Nd4	0
4.22071051269132e-14	0.145140963856269	1	1	8.95381528162336e-10	Rpl18	0
4.68231082653322e-14	0.295838517716993	0.938	0.914	9.93305418740757e-10	Ndufa4	0
6.57699360015339e-14	-0.35739435337459	0.923	0.96	1.39524342233654e-09	Dennd4a	0
6.70227833244905e-14	-0.309124566076074	0.751	0.864	1.42182132544574e-09	Atp8b4	0
6.75837289494757e-14	-0.153231880743905	1	1	1.43372122593418e-09	Rps12	0
1.36784642009497e-13	-0.204310874659741	0.997	0.997	2.90174939558947e-09	Laptm5	0
1.49318294552909e-13	-0.199758144798551	0.189	0.359	3.16763830064542e-09	Gpr34	0
1.72555469600593e-13	0.383220578613052	0.661	0.532	3.66059173210698e-09	Cebpb	0
1.88016908258339e-13	-0.11952166457501	1	1	3.98859069179241e-09	Rps29	0
6.00597778114323e-13	0.159050470895056	0.999	1	1.27410812649173e-08	Oaz1	0
8.53689642375394e-13	-0.624149365675078	0.42	0.604	1.81101720733516e-08	Ifitm1	0
1.09185618167543e-12	-0.265775090276695	0.926	0.968	2.31626370380625e-08	Chd4	0
1.96707286949166e-12	0.253018425403153	1	1	4.17294838533961e-08	Klrd1	0
3.02816177164349e-12	0.322308761496869	0.845	0.815	6.4239423823645e-08	mt-Atp6	0
3.15946985889538e-12	-0.30237527176296	0.427	0.613	6.70249935866066e-08	AA467197	0
4.65226159208264e-12	0.187824884478451	1	1	9.86930774144411e-08	Tmsb10	0
7.45682093163218e-12	0.179468877724111	1	1	1.58188999243645e-07	H2-D1	0
7.93829135997916e-12	0.126153738026456	1	1	1.68402912910598e-07	Fau	0
9.49508302140358e-12	-0.273279328827776	0.85	0.923	2.01428691216056e-07	Macf1	0
1.4333606835155e-11	-0.246670357366959	0.931	0.964	3.04073135400978e-07	Inpp4b	0
2.15724989564351e-11	-0.265378884631264	0.988	0.989	4.57638992861814e-07	Ncl	0
2.31998049031984e-11	0.178529381565055	0.997	0.997	4.92160661216451e-07	Arpc1b	0
2.46316919017258e-11	-0.207389008468241	0.955	0.979	5.22536712003212e-07	mt-Co1	0
5.49786794509452e-11	-0.193452475785767	0.224	0.379	1.16631770587235e-06	Chchd10	0
5.74609681897472e-11	0.134149571174876	1	1	1.2189769791773e-06	Atp5e	0
8.17519272379392e-11	-0.174869088689335	0.359	0.54	1.73428538442564e-06	Rps10-ps2	0
9.54783788463824e-11	-0.442012174817904	0.823	0.918	2.02547832884716e-06	Ly6c2	0
1.32816234044694e-10	-0.246585600496705	0.854	0.929	2.81756358902415e-06	mt-Nd5	0
1.36740505144287e-10	-0.390033343023968	0.685	0.801	2.90081307613091e-06	Rgs2	0
1.38101928093828e-10	-0.199292679883481	0.309	0.468	2.92969430258247e-06	Phykpl	0
1.4255344726584e-10	-0.227364684961334	0.316	0.475	3.02412883029754e-06	Il2ra	0
1.43524734520233e-10	-0.193459902716002	0.982	0.987	3.04473371811223e-06	Cox7a2l	0
1.90262996379429e-10	-0.219432191940833	0.866	0.942	4.03623920519321e-06	Ablim1	0
1.91536311235799e-10	-0.204640448414753	0.916	0.958	4.06325130655624e-06	Nop53	0
2.1420485769136e-10	-0.199507351169485	0.968	0.986	4.54414185106451e-06	Eef1g	0
2.24000527861475e-10	0.224744417714469	0.993	0.99	4.75194719805333e-06	Selenow	0
2.346430542508e-10	0.239172978260007	0.912	0.89	4.97771775287646e-06	Ech1	0
2.48681304919841e-10	-0.178184540993674	0.995	0.996	5.27552520256951e-06	Lcp1	0
2.81047389127579e-10	-0.184045037759333	0.999	0.999	5.96213931295247e-06	Npm1	0
3.27710739301711e-10	0.214937562303457	0.886	0.854	6.95205562354649e-06	Rpl37rt	0
3.31152520161703e-10	0.151564631180341	1	0.996	7.02506956271036e-06	Cox6c	0
3.42884974082962e-10	0.109845665312546	1	1	7.27396184019596e-06	Rpl38	0
3.55998231633473e-10	0.464673175143452	0.538	0.401	7.5521464858725e-06	Ccl3	0
3.71824411949453e-10	-0.199483263136056	0.922	0.954	7.88788307509569e-06	Diaph1	0
4.86642385670401e-10	-0.211652669480502	0.988	0.994	1.03236315696119e-05	Prrc2c	0
6.20471033031224e-10	0.51025406084638	0.881	0.806	1.31626724947244e-05	Ccl4	0
6.74927140223283e-10	0.229592938408662	0.98	0.986	1.43179043526967e-05	H2-T23	0
6.81130443518957e-10	-0.194214830682405	0.997	1	1.44495012288111e-05	Ptprc	0
7.22733685924704e-10	-0.201279891766996	0.315	0.465	1.53320724132067e-05	Cyp51	0
8.81077743688024e-10	-0.153901880925065	0.184	0.322	1.86911832545977e-05	E530011L22Rik	0
1.2746403687875e-09	-0.29936028854397	0.422	0.584	2.7040220783458e-05	Gpr183	0
1.4895281176936e-09	0.137926398454819	0.999	1	3.15988494887521e-05	Cox8a	0
1.84974265281015e-09	0.2055497003996	0.662	0.568	3.92404406367146e-05	Ndufb4	0
2.32819339404334e-09	0.207380879554781	0.972	0.975	4.93902946612354e-05	Gimap7	0
2.3894395073551e-09	0.314482917989558	0.919	0.858	5.0689569709031e-05	Ifi206	0
2.44630468565014e-09	-0.197514248858523	0.568	0.714	5.18959076013822e-05	Zmiz1	0
2.45995762003512e-09	-0.247156536345568	0.951	0.986	5.2185540951425e-05	Ly6e	0
3.18868642222309e-09	0.270239008421931	0.991	0.987	6.76447937610407e-05	Cxcr6	0
3.48302885080897e-09	-0.240160536376926	0.466	0.607	7.38889740410615e-05	Slc2a3	0
3.85035754847654e-09	0.348411102390921	0.697	0.602	8.16814850333812e-05	Ier5l	0
3.9730994486931e-09	-0.305943581027237	0.451	0.585	8.42853317045755e-05	Itga1	0
3.97331915360418e-09	-0.210681094408909	0.688	0.795	8.4289992524559e-05	Tnfsf10	0
4.01723786829079e-09	-0.194620979827939	0.378	0.522	8.52216841379209e-05	Smyd3	0
5.28418496697481e-09	-0.201398112493554	0.907	0.971	0.000112098699889404	Fus	0
5.97751677966167e-09	-0.328097866654879	0.739	0.851	0.000126807040963743	Lgals3	0
9.03998761942045e-09	0.187033904084688	0.997	1	0.000191774297358385	Ndfip1	0
1.19481352547167e-08	-0.184927551497967	0.378	0.522	0.000253467741293559	Clic4	0
1.248143485393e-08	0.103384499089562	1	1	0.000264781158991272	Rpl9	0
1.27079724594572e-08	-0.222658268742066	0.931	0.976	0.000269586927754926	Jaml	0
1.30370372114741e-08	0.177409652163089	0.985	0.972	0.000276567707404212	Tmbim6	0
1.31318831808908e-08	0.19307690685636	0.588	0.489	0.000278579769799418	Rpl10-ps3	0
1.46042204285835e-08	-0.178086873113935	0.977	0.996	0.00030981393217197	Thy1	0
1.48396751452593e-08	0.279905534761081	0.986	0.996	0.000314808868531531	Ifi27l2a	0
1.55409829764963e-08	-0.225903823075687	0.246	0.375	0.000329686412863392	Filip1	0
1.61578221274172e-08	0.163475192015254	0.988	0.985	0.000342772038611029	Ndufa3	0
1.72599554157409e-08	0.21578300911733	0.98	0.974	0.000366152694189528	Sh2d2a	0
2.32740235602079e-08	-0.185821817880502	0.231	0.357	0.00049373513580625	mt-Nd6	0
2.39918267828823e-08	0.271519965155049	0.653	0.564	0.000508962613372066	Abcb9	0
2.56437611240848e-08	-0.360734512199016	0.338	0.468	0.000544006748486335	Ms4a4c	0
2.58105037817641e-08	-0.173050377761274	0.546	0.678	0.000547544027226343	Ddx3x	0
2.6480539089007e-08	-0.210420710217822	0.655	0.773	0.000561758156234194	Hnrnph1	0
4.00881062673956e-08	0.104716427253139	1	1	0.000850429086356531	Rps7	0
4.5176341717779e-08	-0.160295740733634	0.364	0.511	0.000958370913200964	Cdkn2d	0
4.60997835496297e-08	-0.128864330079603	0.32	0.465	0.000977960808221846	Gm15500	0
4.65623059719671e-08	-0.124568001334726	1	1	0.00098777275888931	Rpl14	0
4.68916035326084e-08	-0.213160713136841	0.68	0.777	0.000994758477340755	Cd44	0
5.54800493559703e-08	0.222726378900929	0.678	0.648	0.00117695376703755	Grcc10	0
5.67772669674027e-08	-0.222858828603943	0.411	0.543	0.00120447294144648	Tfrc	0
5.75802871497685e-08	-0.211473763155524	0.828	0.901	0.00122150821159519	Septin11	0
6.46262012282393e-08	-0.185301617271065	0.924	0.961	0.00137098023285587	Srsf5	0
6.62381783855629e-08	-0.138797672062176	0.207	0.334	0.00140517671627133	Klf7	0
6.80128385865163e-08	-0.191940799620937	0.793	0.872	0.00144282435777436	Spn	0
7.32685302433662e-08	-0.136280397519231	0.999	1	0.00155431860058277	Serbp1	0
7.33952893062148e-08	-0.110056019799428	1	1	0.00155700766734204	Rpl3	0
7.37756570681398e-08	0.173933050862554	0.991	0.989	0.00156507678904352	Gimap1	0
7.63548015515347e-08	0.170011396595098	0.349	0.245	0.00161979076011426	Nme2	0
7.92545270971706e-08	0.229553590683216	0.953	0.953	0.00168130553783938	H2-T22	0
8.73841515052385e-08	0.127837656656753	1	1	0.00185376739003213	Trbc2	0
8.84373439611443e-08	-0.198308682638279	0.828	0.88	0.00187610981479172	Gm4759	0
9.42417666706638e-08	0.127824022488535	1	1	0.00199924483815146	Rplp0	0
1.10733704303222e-07	-0.185049943502714	0.727	0.823	0.00234910480308854	Ccnl1	0
1.12470255443639e-07	0.179011049139706	0.999	1	0.00238594399898137	Jund	0
1.1422579332941e-07	-0.170350937000883	0.846	0.907	0.0024231859796901	Csde1	0
1.48700530808148e-07	0.29296213275462	0.9	0.852	0.00315453306056405	Ifi47	0
1.56241811393661e-07	0.129836304989574	0.997	0.999	0.00331451378690512	Sem1	0
1.59687441020942e-07	-0.203068145504828	0.735	0.812	0.00338760937381826	Akap9	0
1.71351267431266e-07	0.0955894313806533	1	1	0.00363504578728688	Rpl34	0
1.85929837547419e-07	-0.166558871344007	0.297	0.433	0.00394431557373095	2900026A02Rik	0
2.02207309491353e-07	-0.137332547959994	0.418	0.557	0.00428962586354956	Dnajc13	0
2.03728395441104e-07	0.249456411099767	0.995	0.993	0.00432189418088758	Cd8b1	0
2.0628578254546e-07	0.233355340726325	0.705	0.617	0.0043761465909194	Sdcbp2	0
2.36589617303374e-07	-0.122288890421101	0.365	0.51	0.00501901214147377	Mir703	0
2.45875134367853e-07	-0.158775396154981	0.996	1	0.00521599510047964	Tpm3	0
2.92065921120737e-07	0.166335111989634	0.416	0.308	0.00619588645065532	Gm9385	0
3.01036036321235e-07	0.23582847436594	0.977	0.968	0.00638617847451868	Samsn1	0
3.04424192341693e-07	-0.168351525445328	0.75	0.838	0.00645805481633667	Senp6	0
3.53105273422364e-07	-0.116710348746004	0.293	0.437	0.00749077527038203	Leng8	0
3.70084492773665e-07	-0.165451072626932	0.514	0.649	0.00785097242970052	Lrrk1	0
3.95128479400187e-07	-0.142142441744974	0.497	0.639	0.00838225556199557	Ubr4	0
4.04379873119229e-07	-0.175230619202073	0.88	0.929	0.00857851462835133	Mtdh	0
4.81347085626981e-07	0.145069800537842	0.988	0.989	0.0102112970744908	Gng5	0
4.91862796445055e-07	-0.188454822508737	0.505	0.638	0.0104343773637854	Gm44175	0
