condition	cells.cluster_names	mean_frequency
Int	Tex-term	0.406885643423946
Int	Tex-prolif	0.252158927903135
Int	Tex-Prf1	0.111828387659178
Int	Tmemory	0.0546947280475771
Int	Tprolif	0.0527206569302718
Int	Tpex	0.0715024235268319
Int	Tex-early-prolif	0.0355536687275782
Int	Tnaive-like	0.0113548733776325
Int	Tcytokine	0.00330069040384865
SNX9	Tex-term	0.259611865837173
SNX9	Tex-prolif	0.280107470667752
SNX9	Tex-Prf1	0.0914228847546995
SNX9	Tmemory	0.191783983210976
SNX9	Tprolif	0.0741738052383548
SNX9	Tpex	0.0550169159876622
SNX9	Tex-early-prolif	0.0341613329648909
SNX9	Tnaive-like	0.0105312292284368
SNX9	Tcytokine	0.00319051211005474
