p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
1.62276469600927e-20	0.495435910126372	0.964	0.861	3.44253302611406e-16	Gm11808	4
1.898087683187e-17	0.31198898057161	1	1	4.0266032111129e-13	Rpl27a	4
2.25330621657277e-16	0.242673453115712	1	1	4.78016380783747e-12	Rps10	4
3.98823594469015e-16	-0.306264202210541	1	1	8.46064373306568e-12	Rps15	4
1.60223425839394e-14	0.332751476048083	1	1	3.3989797557569e-10	Serf2	4
1.6640707850908e-14	-0.298733209435829	1	1	3.53015976349163e-10	Rack1	4
1.86400713460471e-14	0.240385135661847	1	1	3.95430473535043e-10	Uba52	4
9.09499080958976e-14	-0.20493829440583	1	1	1.92941135034637e-09	Tpt1	4
1.99575097596454e-13	0.475471504040148	1	1	4.23378612041116e-09	Ubb	4
4.37910786539614e-13	0.388030107154486	0.993	0.942	9.28983942565136e-09	Atp5l	4
4.99899758861523e-13	-0.31144802811782	1	1	1.06048734844883e-08	Rpl12	4
6.50994979465764e-12	-0.419361981969903	0.99	1	1.38102074943867e-07	mt-Rnr1	4
1.70716950048539e-11	-0.255451390680763	1	1	3.6215893783297e-07	mt-Rnr2	4
4.8057223305619e-11	0.259495876427713	1	1	1.0194859352054e-06	Rpl15	4
6.18396013082859e-11	-0.199056990574618	1	1	1.31186530215398e-06	Rps14	4
6.32341408383313e-11	-0.24267817295646	1	0.995	1.34144906374436e-06	Ddx5	4
1.58809198135276e-10	-0.272404046912832	1	1	3.36897832924175e-06	Rpl23a	4
4.01881395511538e-10	0.439159842458504	0.889	0.745	8.52551192438176e-06	Rn7sk	4
4.43121272413925e-10	-0.206184268352137	1	1	9.40037467298899e-06	Rps19	4
7.06444769543224e-10	0.313488972996923	0.82	0.697	1.498651934109e-05	Gm10177	4
1.25761748116119e-09	0.17336928020157	1	1	2.66790972453536e-05	Rpl27	4
1.44413146716932e-09	-0.344033479703478	0.961	0.957	3.06358049445299e-05	mt-Co1	4
7.21759883652901e-09	-0.164274171569311	1	1	0.000153114141718126	Rps27	4
1.40370094195387e-08	0.346639910414259	0.921	0.827	0.000297781117826093	Rnaset2b	4
2.47133275684615e-08	0.274763000992796	0.997	1	0.000524268531037342	Myl12b	4
3.38854097802503e-08	-0.239338057545909	1	1	0.000718845083078231	Rpl31	4
3.94983285838804e-08	0.21789581588463	0.997	1	0.000837917542578439	Rpl36al	4
4.41570669308013e-08	-0.247285570918276	1	1	0.000936748017870019	Rps17	4
4.50735303155083e-08	0.208698932727907	1	1	0.000956189872113193	Tmsb10	4
5.11778710780747e-08	-0.22380541200512	0.138	0.341	0.00108568735705028	Snx9	4
6.07694912819548e-08	0.323225791089703	0.938	0.928	0.00128916398805539	Rnaset2a	4
2.2073928961012e-07	-0.173706434567484	1	1	0.00468276328978908	Rpl26	4
2.76490448532847e-07	0.246510619073717	1	1	0.00586546837517582	Hspa8	4
3.45173940630405e-07	0.246910886370925	1	1	0.00732251997653341	H2-D1	4
3.87753240774982e-07	-0.253233593303149	0.911	0.971	0.00822579724980048	Nop53	4
5.54990510102426e-07	0.145917225185907	1	1	0.0117735686813129	Rpl30	4
8.47204015595442e-07	-0.576135710581544	0.551	0.712	0.0179725859868417	Ifitm2	4
8.54281596992459e-07	-0.132787348373358	1	1	0.018122729798598	Rps29	4
9.48985214036081e-07	-0.287284451679844	0.967	1	0.0201317723305614	Myh9	4
1.85277128409367e-06	-0.251288579113384	0.823	0.933	0.0393046900207632	Nucb1	4
1.8959664656338e-06	-0.204853953135766	1	1	0.0402210326019554	Ptprc	4
2.48670104030252e-06	-0.1886754227546	0.318	0.543	0.0527528758689777	Rps11-ps1	4
2.74567013934611e-06	-0.278393531625219	0.544	0.716	0.0582466463360883	Setx	4
4.41059354561613e-06	-0.276746363589227	0.308	0.486	0.0935663314767005	Il2ra	4
4.54100373917997e-06	0.169751545352201	0.997	1	0.0963328533229639	Sem1	4
4.66789738116511e-06	-0.290776938285153	0.987	1	0.0990247750440367	Ahnak	4
4.88925635532078e-06	-0.223863389521335	0.984	0.99	0.103720684321775	Cox7a2l	4
4.9093312870662e-06	0.244964020384003	0.98	0.957	0.104146553923822	Ost4	4
