p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
1.14943534762154e-25	0.279295913131246	1	1	2.43841214644434e-21	Rps10	Tex-Prf1
4.58685386651367e-25	0.497239466142968	1	1	9.73055179242211e-21	Ubb	Tex-Prf1
3.29307881573501e-24	0.462837098517574	0.986	0.888	6.98593739970026e-20	Gm11808	Tex-Prf1
4.44273572413717e-21	-0.285881975567577	1	1	9.4248195651846e-17	Rack1	Tex-Prf1
3.86399698580543e-20	0.320931345561271	1	0.997	8.19708320568765e-16	Serf2	Tex-Prf1
1.35111971515024e-18	0.367476527390703	0.98	0.944	2.86626536371973e-14	Atp5l	Tex-Prf1
3.71302863352288e-18	0.253556769448598	1	1	7.87681894315543e-14	Rpl27a	Tex-Prf1
4.61045687991524e-18	-0.290981658592262	1	1	9.7806232250522e-14	Rps15	Tex-Prf1
4.71398530078248e-18	0.294717002545503	1	1	1.00002484170799e-13	Rpl36al	Tex-Prf1
8.29305409030155e-18	-0.197463683183886	1	1	1.75928849471657e-13	Tpt1	Tex-Prf1
1.01479988771313e-16	0.213284340821526	1	1	2.15279648179464e-12	Rpl27	Tex-Prf1
1.27362526171405e-15	-0.292567392495108	1	1	2.70186863020018e-11	Rpl23a	Tex-Prf1
2.01464497102647e-13	0.241453356133628	1	0.997	4.27386784153556e-09	Uba52	Tex-Prf1
5.25376212665915e-13	0.35357840454006	0.952	0.842	1.11453309754947e-08	Rnaset2a	Tex-Prf1
6.57343742864568e-13	-0.232054539165744	1	1	1.39448901611289e-08	Rpl12	Tex-Prf1
6.65514617328769e-13	0.253160347391234	1	1	1.41182270920125e-08	Rpl15	Tex-Prf1
1.08090824911276e-12	0.32963324410173	0.983	0.957	2.29303875966781e-08	Myl12b	Tex-Prf1
3.94023952867061e-12	-0.253900475026804	1	1	8.35882413612184e-08	Rpl4	Tex-Prf1
1.22017492503075e-11	0.332179637335281	0.849	0.687	2.58847908596024e-07	Gm10177	Tex-Prf1
1.26851910488962e-11	0.291251183120161	0.754	0.583	2.69103642911284e-07	Ndufb4	Tex-Prf1
1.74561836954363e-11	-0.468086490291227	0.997	0.99	3.70315480914985e-07	mt-Rnr1	Tex-Prf1
6.54913611985612e-11	-0.388227685748253	0.983	0.99	1.38933373646628e-06	Ncl	Tex-Prf1
6.57904552953783e-11	-0.223058441802508	1	1	1.39567871863616e-06	Rpl5	Tex-Prf1
1.69322617087835e-10	0.163478296172626	1	1	3.59200999890133e-06	Rpl30	Tex-Prf1
2.1262327060919e-10	-0.15017091717026	1	1	4.51059006270335e-06	Rpl26	Tex-Prf1
5.44349832209926e-10	-0.34632008665394	0.944	0.987	1.15478373405014e-05	Myh9	Tex-Prf1
6.97153312817192e-10	0.260262115235495	0.7	0.522	1.47894103781039e-05	Ubb-ps	Tex-Prf1
1.08437581850703e-09	-0.317214786533484	0.994	0.992	2.30039486138081e-05	Ahnak	Tex-Prf1
1.40900466250534e-09	-0.226907680365225	0.182	0.387	2.98906249103882e-05	Snx9	Tex-Prf1
1.60753365156638e-09	0.167198540773377	1	1	3.41022188843292e-05	Rpl24	Tex-Prf1
2.0194172477418e-09	0.227764979908696	1	1	4.28399174935946e-05	H2-D1	Tex-Prf1
3.3479903078946e-09	-0.157333867390276	1	1	7.1024266391676e-05	Rps18	Tex-Prf1
9.25058122805937e-09	0.247650801286113	0.852	0.774	0.000196241830172052	Sap18	Tex-Prf1
1.5465847784431e-08	-0.2968611434866	0.958	0.98	0.00032809249489892	mt-Co1	Tex-Prf1
1.67864317276774e-08	-0.12764014366262	1	1	0.000356107362670949	Rplp2	Tex-Prf1
2.99895028203616e-08	-0.241042569444701	0.986	0.987	0.000636197312831152	Eef1g	Tex-Prf1
3.38159347386702e-08	-0.272021845192199	0.829	0.916	0.000717371239546149	Ablim1	Tex-Prf1
5.47389988193001e-08	-0.252308994764936	1	1	0.00116123312095263	mt-Rnr2	Tex-Prf1
5.95425764006403e-08	-0.204896343808029	0.997	1	0.00126313621576318	Rpl31	Tex-Prf1
7.78499617217791e-08	0.257285335999905	0.899	0.774	0.00165150908796582	Rnaset2b	Tex-Prf1
8.58588682995748e-08	-0.133519805154552	1	1	0.00182141003210718	Rps14	Tex-Prf1
8.59929792367602e-08	0.304890553897608	0.902	0.824	0.00182425506152863	Rn7sk	Tex-Prf1
9.70820553712418e-08	-0.235522030145991	0.975	0.99	0.00205949872264552	Tpr	Tex-Prf1
1.44290204531557e-07	0.180903508206052	1	1	0.00306097239893246	Tmsb10	Tex-Prf1
2.2566274538445e-07	0.210017174943591	1	1	0.00478720948058572	Nkg7	Tex-Prf1
3.14709616153635e-07	-0.207525777010887	0.997	0.995	0.00667624979708321	Lcp1	Tex-Prf1
3.39895409244154e-07	-0.266495583565747	0.849	0.929	0.00721054121170547	Irf8	Tex-Prf1
4.11122757364005e-07	0.246075715414451	0.913	0.86	0.00872155817472	Rpl37rt	Tex-Prf1
4.22703794364015e-07	-0.224339846107083	0.975	0.975	0.00896723829363822	Prrc2c	Tex-Prf1
4.55230001896531e-07	-0.331709736198062	0.591	0.725	0.009657249260233	Tfrc	Tex-Prf1
5.22850996497252e-07	0.173374451107894	0.997	0.997	0.0110917610396927	Tomm7	Tex-Prf1
7.22817416958804e-07	-0.176285197146037	1	1	0.0153338486833641	Ddx5	Tex-Prf1
7.90289031643496e-07	-0.208377229118143	0.997	0.997	0.0167651915172851	Ptprc	Tex-Prf1
1.01357063483744e-06	0.132420096533687	1	1	0.0215018874474414	Rpl13	Tex-Prf1
1.12502447161981e-06	0.180313754186898	0.98	0.992	0.0238662691409427	Atp5c1	Tex-Prf1
1.44675421161574e-06	0.236917440391648	1	1	0.0306914438452163	Jund	Tex-Prf1
1.7311773354713e-06	0.117260360037707	1	1	0.0367251959946883	Rps28	Tex-Prf1
2.19132333809887e-06	0.109356980082682	1	1	0.0464867332944295	Rpl35a	Tex-Prf1
2.28432214604401e-06	-0.469142610497482	1	1	0.0484596100061777	CT010467.1	Tex-Prf1
2.30145528533245e-06	0.182196303819614	1	0.99	0.0488230724230427	Sec61b	Tex-Prf1
2.31104904482161e-06	0.214649048358094	0.608	0.481	0.0490265944368456	Bloc1s1	Tex-Prf1
2.58447197345161e-06	0.198923903602811	1	0.995	0.0548269884448024	Rbm3	Tex-Prf1
2.88534206417341e-06	-0.271384350763995	0.552	0.733	0.0612096465493748	Il7r	Tex-Prf1
3.41482485269378e-06	-0.187138215221607	0.997	0.997	0.0724420944250459	Serbp1	Tex-Prf1
3.81068666297759e-06	-0.200768281174435	0.639	0.763	0.0808399068684066	Hnrnph1	Tex-Prf1
3.90630145908538e-06	-0.0973817075277106	1	1	0.0828682791530372	Rps29	Tex-Prf1
3.91360244243532e-06	-0.149237475083759	0.174	0.321	0.083023162213823	Hipk3	Tex-Prf1
4.37229299701656e-06	0.14314685042882	1	1	0.0927538236387093	Oaz1	Tex-Prf1
4.60433462900858e-06	0.147792937713753	1	1	0.0976763548197881	Cox6c	Tex-Prf1
6.06654180947559e-06	0.220880901197849	0.98	0.964	0.128695617946215	Tmbim6	Tex-Prf1
6.40069760855192e-06	0.125182189329532	1	1	0.135784399067821	Rps7	Tex-Prf1
7.85149867764956e-06	0.175025129352574	0.983	0.972	0.166561692947658	Rap1a	Tex-Prf1
7.97757332173571e-06	-0.214517705925884	0.672	0.786	0.169236240447301	Ranbp2	Tex-Prf1
9.08244288658459e-06	-0.216137596937597	0.784	0.873	0.192674943396006	Macf1	Tex-Prf1
9.20612830740886e-06	0.237571264481579	0.359	0.221	0.195298805913372	Cd200r1	Tex-Prf1
1.02261799281836e-05	-0.417913614584972	0.218	0.354	0.216938180996487	Mt1	Tex-Prf1
1.08452552586163e-05	-0.287222173927163	0.277	0.433	0.230071245056286	Myo10	Tex-Prf1
1.08679684769257e-05	-0.157195909575655	0.997	0.997	0.230553083269501	Tpm3	Tex-Prf1
1.08797447754849e-05	0.202840851485494	0.966	0.962	0.230802905667137	Cd48	Tex-Prf1
1.14999102950356e-05	0.192342696156275	0.748	0.628	0.243959096998886	Eno1b	Tex-Prf1
1.22617873583597e-05	-0.278192753603342	0.557	0.723	0.260121557020242	Ifitm1	Tex-Prf1
1.25686939029704e-05	-0.242512264300766	0.966	0.972	0.266632272457615	mt-Nd2	Tex-Prf1
1.27876761798486e-05	-0.150069397839986	1	1	0.271277762479308	Rps19	Tex-Prf1
1.31578210306641e-05	0.109801513000384	1	1	0.279130015344508	Rpl18	Tex-Prf1
