p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
3.02925618363235e-25	0.434692737250194	1	1	6.42626406795768e-21	Rpl27a	Tpex
2.24134188465435e-23	0.393645068649269	1	1	4.75478267410574e-19	Rps10	Tpex
1.95072801351595e-20	0.569641921088015	0.981	0.86	4.13827440787274e-16	Gm11808	Tpex
2.11114221327074e-16	0.350431756245114	1	0.996	4.47857709123254e-12	Rpl15	Tpex
1.04404189387421e-13	0.287391218866237	1	1	2.21483047366474e-09	Rpl30	Tpex
3.71827406991762e-13	0.276104200247702	1	1	7.88794661192323e-09	Rps28	Tpex
1.98271329028802e-12	0.341958452176379	1	0.996	4.206127974017e-08	Uba52	Tpex
2.03147887386022e-12	0.314638530291217	1	0.996	4.30957928300707e-08	Rpl36al	Tpex
2.67775735972933e-12	0.251552769385049	1	0.996	5.6805944629298e-08	Rpl27	Tpex
1.06717366889072e-11	0.250951189836577	1	1	2.26390222118478e-07	Rpl35a	Tpex
4.97087210362220e-11	-0.423367375814536	0.976	0.996	1.05452080806241e-06	Lcp1	Tpex
5.13613604619689e-11	0.417797150233336	0.909	0.796	1.08957990084021e-06	Rnaset2a	Tpex
6.39566765708028e-11	0.363021145654582	1	1	1.35677693677301e-06	Ubb	Tpex
7.4581046279312e-11	0.231242882830954	1	1	1.58216231576932e-06	Rpl13	Tpex
1.09385636327803e-09	-0.500150247336876	0.962	0.985	2.32050688905801e-05	Ahnak	Tpex
3.40236681548555e-09	-1.83411480012873	0.178	0.415	7.21778096237104e-05	Ccl1	Tpex
6.90809528972498e-09	-0.395338372729389	0.928	0.966	0.000146548333476226	Rbpj	Tpex
3.74256714599808e-08	-0.415743754072823	0.788	0.894	0.000793948194352033	D16Ertd472e	Tpex
5.78105544222745e-08	0.205895362046746	1	1	0.00122639310151413	Rps7	Tpex
6.91595666751916e-08	-0.614806208471595	0.361	0.577	0.00146715104744751	Il2ra	Tpex
8.65268604492742e-08	-0.984724650413453	0.572	0.766	0.0018355808175709	Prf1	Tpex
8.96758090485785e-08	-0.223148137338422	1	1	0.00190238261315654	Rps15	Tpex
1.13209511476162e-07	0.193579228377519	1	1	0.00240162657645529	Rpl38	Tpex
2.08634655405084e-07	-0.301041145244522	0.462	0.694	0.00442597557976346	Zmiz1	Tpex
2.16042922004493e-07	-0.301820103175735	0.87	0.943	0.00458313454740332	Nop53	Tpex
3.0603354118567e-07	-0.684869383060445	0.721	0.815	0.00649219554271279	Irf8	Tpex
3.13656174559943e-07	0.171112506584335	1	1	0.00665390208711462	Rps24	Tpex
3.15349334745468e-07	0.191313738087146	1	1	0.00668982078729037	Rpl36	Tpex
3.30402380636375e-07	-0.209828038629134	1	1	0.00700915610282006	Rack1	Tpex
3.4801065843215e-07	-0.227976606253305	1	1	0.00738269810797963	Rpl23a	Tpex
4.13714449414526e-07	-0.318928055380169	0.889	0.955	0.00877653832987976	Cdc37	Tpex
4.24684830856256e-07	-0.252628885071035	0.51	0.717	0.00900926400178461	Tmx3	Tpex
4.33251871729892e-07	0.320104950841686	0.923	0.845	0.00919100520687793	Nop10	Tpex
4.74278936168234e-07	-0.159081385733612	1	0.996	0.0100613533518729	Rpl4	Tpex
6.39696274138974e-07	0.171020542057788	1	1	0.0135705167595842	Rps27a	Tpex
6.88809936163199e-07	-0.280834804561585	0.909	0.962	0.0146124139857661	Ptp4a2	Tpex
7.57533358887172e-07	0.333018055486923	0.995	0.958	0.0160703126754325	Dnaja1	Tpex
7.96047349342002e-07	-0.318845411796882	0.346	0.562	0.0168873484689412	Mapkapk3	Tpex
1.02190494046611e-06	-0.365586814639199	0.135	0.328	0.021678691407048	Myo10	Tpex
1.05697313179117e-06	-0.197768611519483	0.12	0.309	0.0224226280178179	Snx9	Tpex
1.14746370379499e-06	0.439750229469491	0.933	0.879	0.0243422950123068	Zfp36l2	Tpex
1.16006299956638e-06	-0.28176983942446	0.534	0.717	0.0246095764728012	Degs1	Tpex
1.27926302576059e-06	0.213214532691225	1	1	0.0271382858284851	Serf2	Tpex
1.32497359395341e-06	-0.28224974917421	0.284	0.509	0.0281079898221277	Calu	Tpex
1.45214857139353e-06	-0.40086438213498	0.303	0.525	0.0308058797935423	Ifitm2	Tpex
1.82289989250156e-06	0.177029553022401	1	1	0.0386709983195281	Rpl18	Tpex
1.84248695336271e-06	-0.404834173767029	0.885	0.947	0.0390865182286365	Dennd4a	Tpex
2.71146572127258e-06	-0.342492144131124	0.865	0.943	0.0575210338110765	Plek	Tpex
3.11100041532833e-06	-0.369409491524513	0.442	0.649	0.0659967628107751	Slc2a3	Tpex
3.6359798070742e-06	-0.567403675891212	0.5	0.691	0.077133675627272	Rgs2	Tpex
4.39389432439181e-06	0.284336996361539	0.938	0.932	0.0932120741976479	Atp5l	Tpex
4.62731505278428e-06	0.170692288399	1	1	0.0981638615297658	Rpl9	Tpex
5.49904419497737e-06	-0.352207636510659	0.764	0.891	0.11665672355225	Cd82	Tpex
5.85495167161996e-06	0.391430756607797	0.712	0.543	0.124206944761746	Itga4	Tpex
6.32576869925765e-06	-0.269888948666478	0.663	0.853	0.134194857186052	Srp72	Tpex
6.68705276311412e-06	0.183953064107594	1	0.996	0.141859137316703	Rps21	Tpex
6.7980307228239e-06	-0.429054846738659	0.139	0.313	0.144213423753986	Ccdc184	Tpex
7.04701531903013e-06	0.372363629974473	0.452	0.275	0.149495382977905	Cxcr3	Tpex
8.13742865135223e-06	-0.335971602166114	0.375	0.558	0.172627411409786	Clic4	Tpex
8.55372634997288e-06	-0.462941818825427	0.452	0.664	0.181458750788325	Pim1	Tpex
9.35583874287858e-06	-0.236746580652204	0.24	0.434	0.198474763091426	Il12rb2	Tpex
9.74046546377248e-06	-0.190544950554194	0.163	0.343	0.206634234348469	Snhg5	Tpex
1.05467981947059e-05	-0.285473604166815	0.793	0.909	0.223739776902491	Spag9	Tpex
1.07882421506587e-05	0.183538538588112	1	1	0.228861768984073	Rpl34	Tpex
1.08749230892412e-05	-0.494187435063554	0.861	0.947	0.230700618415163	Vim	Tpex
1.1721256633951e-05	-0.244971194137787	0.808	0.906	0.248654738232636	Prpf40a	Tpex
1.1845641846039e-05	-0.266717002354587	0.99	0.992	0.251293446121872	Ncl	Tpex
1.19715942361227e-05	-0.276604566176763	0.928	0.955	0.253965400125107	Eif4g2	Tpex
1.34985496128941e-05	-0.37757353521458	0.231	0.411	0.286358231487936	Sema6d	Tpex
1.38739003178832e-05	-0.273027908127166	0.99	0.989	0.294320921343573	Laptm5	Tpex
1.49386896997219e-05	-0.27903392609982	0.971	0.992	0.316909363289901	Thy1	Tpex
1.54414242165191e-05	-0.263577795809103	0.75	0.883	0.327574373329236	Rab21	Tpex
1.54533646853116e-05	0.193708477353099	1	0.996	0.327827678434199	Rpl24	Tpex
1.59145230081196e-05	-0.565978169713148	0.702	0.838	0.337610691094248	Rgs16	Tpex
1.70316441263467e-05	-0.340157651430288	0.938	0.97	0.361309298496318	S100a11	Tpex
1.89092457431397e-05	0.134315110654566	1	1	0.401140739194965	Rpl19	Tpex
2.05627851751479e-05	-0.257044450956841	0.87	0.951	0.436218924705587	Dusp11	Tpex
2.05750079471088e-05	-0.17521101228319	0.197	0.381	0.436478218589967	Bmp2k	Tpex
2.07757221122434e-05	0.147185779883806	1	1	0.440736168889132	Rpl18a	Tpex
2.22389080293673e-05	-0.169161351240475	1	1	0.471776194934998	Rps19	Tpex
2.22787306873667e-05	0.241530191857066	0.784	0.645	0.472620992801797	Ndufb4	Tpex
2.30796257051828e-05	0.235234740393833	0.981	0.943	0.489611179709748	Myl12b	Tpex
2.32682825149458e-05	0.250134282239431	1	0.992	0.493613345272059	Selenow	Tpex
2.56894717370873e-05	-0.25020479884627	0.803	0.891	0.544976453430569	Diaph1	Tpex
2.58864175282142e-05	0.23886882447584	0.538	0.374	0.549154461443537	Samd3	Tpex
2.68355860120978e-05	0.196986399582881	1	1	0.569290121660643	Trbc2	Tpex
2.72399713359423e-05	0.138020809718578	1	1	0.577868751920681	Rps16	Tpex
2.76654881836894e-05	-0.353913202319111	0.822	0.913	0.586895666328786	Odc1	Tpex
2.86456337778552e-05	-0.161581023041809	0.188	0.366	0.607688474963421	Mfhas1	Tpex
2.88301086954572e-05	0.160822997755589	1	1	0.61160192586543	Rpl7	Tpex
2.943770607738e-05	0.225324257513549	0.986	0.996	0.62449149672554	Itm2b	Tpex
3.32584740977426e-05	-0.314548490946177	0.668	0.792	0.705545269509511	Sqstm1	Tpex
3.41236862183061e-05	-0.388420394643913	0.942	0.97	0.723899879435145	Anxa2	Tpex
3.90642347619896e-05	-0.251662738262235	0.51	0.694	0.828708676240848	Sppl2a	Tpex
3.97987606869307e-05	0.212997983062825	1	1	0.844290909212547	Hspa8	Tpex
4.15873572527243e-05	-0.328754370320774	0.99	1	0.882234196759293	mt-Rnr1	Tpex
4.19336819454692e-05	0.266391683005528	0.726	0.638	0.889581128791183	Gm10177	Tpex
4.30519869721328e-05	-0.276517778467796	0.952	0.97	0.913304851626826	Chd4	Tpex
4.78374148036916e-05	0.166614094563426	1	1	1	Snrpg	Tpex
4.81924230594754e-05	0.243454453910921	0.745	0.615	1	Hmox2	Tpex
4.82351896607136e-05	0.262827766539351	0.885	0.842	1	Rpl37rt	Tpex
4.85049508022546e-05	-0.54487417965039	0.692	0.808	1	S100a4	Tpex
5.17885035492134e-05	-0.338045515762347	0.947	0.977	1	Tnfrsf18	Tpex
5.18786522713417e-05	0.348195670432104	0.981	0.974	1	Ly6a	Tpex
5.26828768867421e-05	-0.2543660752108	0.683	0.853	1	Thoc2	Tpex
5.35473963517982e-05	-0.177963836079701	0.322	0.506	1	Gm15500	Tpex
5.40433054337485e-05	-0.285762074327485	0.221	0.411	1	Slc16a11	Tpex
5.4149554775745e-05	-0.21408631623774	0.351	0.536	1	Chmp1b	Tpex
5.5218586654937e-05	-0.155324165646054	0.149	0.317	1	Abhd18	Tpex
6.05604679409723e-05	-0.181454094512654	0.418	0.63	1	Virma	Tpex
6.32408576094366e-05	-0.170886630854416	0.284	0.491	1	Usp24	Tpex
6.77831893584524e-05	-0.262947746381589	0.462	0.683	1	Relb	Tpex
7.13213418528983e-05	-0.323862179949528	0.548	0.709	1	Nfkb2	Tpex
7.13466963800408e-05	-0.27810098737628	0.625	0.789	1	Tmem30a	Tpex
7.48220307209866e-05	-0.354238642174711	0.389	0.532	1	Tfrc	Tpex
7.88964272027852e-05	-0.224106324508636	0.385	0.562	1	Agpat4	Tpex
7.92453211698834e-05	0.139175305303588	1	1	1	Rpl37	Tpex
8.28983698381612e-05	-0.198934542016657	0.495	0.713	1	Galnt1	Tpex
8.48025864891753e-05	0.140724374647819	1	1	1	Rpl21	Tpex
8.49219910502337e-05	0.462806207857242	0.995	0.992	1	Ifi27l2a	Tpex
8.56920015947186e-05	-0.167229912530409	0.303	0.487	1	Dcaf1	Tpex
9.02184823638073e-05	-0.148002337976179	1	1	1	Rpl5	Tpex
9.82641001745289e-05	-0.397115228690345	0.596	0.732	1	Igfbp7	Tpex
9.82729875065699e-05	-0.264852739634416	0.192	0.347	1	Dennd5a	Tpex
0.000101053302342687	-0.113569423414482	1	1	1	Tpt1	Tpex
0.000102330263983401	-0.209090159334695	1	1	1	Rps17	Tpex
0.000103916233365329	-0.251579581754089	0.875	0.955	1	Tax1bp1	Tpex
0.000105278113111815	-0.71253574647098	0.327	0.483	1	Ifitm1	Tpex
0.000110152483847356	-0.236081603472558	0.452	0.619	1	Galnt3	Tpex
0.000119937086079197	-0.311052946524357	0.716	0.811	1	Tab2	Tpex
