p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
5.47947692689768e-185	0.447612126798794	0.967	0.874	1.16241623527207e-180	Gm11808
1.12354449261366e-177	0.435759251269341	1	0.999	2.38348728663062e-173	Ubb
3.33400593962361e-166	0.311379522274885	1	0.998	7.07276020031752e-162	Serf2
9.91319712965873e-163	-0.296316471349129	1	1	2.1029856390858e-158	Rack1
1.11542242449191e-160	-0.290181803816832	1	1	2.36625713131713e-156	Rps15
6.04340956815164e-160	0.241965745800841	1	1	1.28204890578769e-155	Rps10
4.7685842508842e-155	-0.216232538755119	1	1	1.01160746298258e-150	Tpt1
7.55026442550824e-140	0.250727080972211	1	1	1.60171309522732e-135	Rpl27a
4.48885156996063e-125	-0.280303331363018	1	1	9.52264972051447e-121	Rpl23a
1.12752537381532e-121	0.337544361648359	0.973	0.938	2.39193232801182e-117	Atp5l
3.12619396411442e-119	0.259927067769007	0.998	0.998	6.63190787547234e-115	Rpl36al
4.460871606106e-116	-0.424398461086997	0.993	0.993	9.46329302519326e-112	mt-Rnr1
3.73302843552145e-115	0.259239812006336	0.999	0.997	7.9192465231152e-111	Rpl15
9.64799122396958e-113	0.338322932928047	0.985	0.968	2.04672485825291e-108	Myl12b
4.60047359578737e-108	-0.25567917331171	1	1	9.75944468610333e-104	Rpl12
5.18502166502349e-96	0.326098340729212	0.938	0.855	1.09995049601808e-91	Rnaset2a
1.00596162663563e-92	0.231407144927324	1	0.997	2.13404699474482e-88	Uba52
8.98163293857356e-88	-0.173039465353951	1	1	1.905363611589e-83	Rps14
9.15298176557377e-88	0.184598335893431	1	1	1.94171355174882e-83	Rpl27
1.79753774779341e-87	-0.24562890062786	0.997	0.999	3.81329657816894e-83	Rpl4
2.64781583431012e-87	-0.267448441277388	0.999	0.999	5.61707651090548e-83	mt-Rnr2
1.07641656370045e-85	-0.221860821635978	0.148	0.348	2.28351009823414e-81	Snx9
6.76925059360404e-82	0.338474921341383	0.894	0.785	1.43602882092716e-77	Rn7sk
8.65028026402301e-80	-0.216889434885754	0.999	0.999	1.83507045520984e-75	Rpl5
5.69081531497931e-75	-0.219042935865187	1	1	1.20724956091971e-70	Ddx5
3.54360850887924e-73	-0.179918816339492	1	1	7.51741109073643e-69	Rps18
5.33217218102002e-72	-0.345943794026097	0.984	0.993	1.13116700648159e-67	Ahnak
2.98501093618521e-71	0.272919368926908	0.78	0.654	6.33240220002331e-67	Gm10177
7.72738888387426e-71	0.230631467753855	1	1	1.63928827782508e-66	Tmsb10
3.92044285308889e-70	0.174282505874942	1	1	8.31682746854276e-66	Rpl24
1.27653849875528e-68	0.281189306088607	0.894	0.8	2.70804877125945e-64	Rnaset2b
1.45356325910531e-68	-0.156539232133166	1	1	3.08358909786602e-64	Rpl26
1.87058520481696e-68	0.239373554946424	1	1	3.9682594534987e-64	H2-D1
1.06619747072542e-67	0.24013652625806	1	1	2.2618313143969e-63	Hspa8
3.5943283676691e-66	-0.133401532228252	1	1	7.62500819917322e-62	Rplp2
5.94540564235018e-65	-0.257699502180168	0.889	0.946	1.26125835296817e-60	Nop53
2.44485312881637e-64	-0.15768576118942	1	1	5.18651142747104e-60	Rplp1
1.96804216919344e-62	-0.19476639168751	1	1	4.17500465772697e-58	Rps19
5.92693634192828e-58	-0.344896800452862	0.908	0.944	1.25734027557666e-53	Dennd4a
2.69707167515919e-55	0.170691114756126	0.999	1	5.72156785168271e-51	Oaz1
1.3890998743643e-54	0.241067270399539	0.667	0.518	2.94683647347643e-50	Ubb-ps
3.68843286176279e-54	-0.21633643185881	0.974	0.984	7.82464147294358e-50	Cox7a2l
8.68638839470187e-54	-0.221447151346449	0.999	0.999	1.84273043405205e-49	Ptprc
1.38447585172162e-51	0.221320051890796	0.753	0.642	2.93702707184225e-47	Ndufb4
1.32946976736079e-50	-0.252007725237267	0.955	0.974	2.82033716447917e-46	mt-Co1
1.85106009217086e-50	0.172798588277036	1	1	3.92683887953125e-46	Pfn1
3.42680139814919e-49	-0.19914629807138	0.999	0.998	7.2696164860337e-45	Rps17
2.93941964748272e-47	-0.345387378089081	0.776	0.86	6.23568484016984e-43	Irf8
3.08852654163787e-47	0.160373322401439	0.998	0.998	6.55200020543057e-43	Cox6c
1.08466739746437e-46	-0.266926757338129	0.815	0.895	2.30101341698092e-42	Macf1
3.12447617070199e-46	0.234123807009675	0.996	0.993	6.6282637485272e-42	Itm2b
3.82239441429813e-46	0.229004299240057	0.66	0.519	8.10882751049205e-42	Bloc1s1
4.64743167039824e-44	-0.177183903320115	0.998	0.999	9.85906154558282e-40	Rpl31
5.81525039503982e-44	-0.247734382153065	0.975	0.986	1.23364721880375e-39	mt-Nd2
8.54086284778985e-44	-0.104886327965608	1	1	1.81185864453014e-39	Rps29
2.34277557362391e-43	-0.219252627437394	0.741	0.841	4.96996410188577e-39	Use1
1.02890285105578e-42	0.145182797483795	0.998	0.999	2.18271450822973e-38	Atp5e
1.25767474708951e-42	0.21300390129946	0.994	0.988	2.66803120847569e-38	Selenow
1.38391085844441e-42	-0.18414164924951	0.993	0.996	2.93582849510398e-38	Lcp1
1.77282155635808e-42	0.12961781964808	1	1	3.76086364965803e-38	Rpl30
6.20150266363191e-42	-0.221377114150565	0.865	0.921	1.31558677506287e-37	Ablim1
2.79451357402383e-41	-0.199319586300078	1	1	5.92828109593416e-37	CT010467.1
7.37789049686385e-40	0.178104609642789	0.981	0.976	1.5651456900047e-35	Ndufa3
1.81965856060949e-39	0.188603937270951	0.47	0.343	3.86022367047696e-35	Nme2
3.62132561025152e-39	0.247775619626997	0.985	0.971	7.68228014958757e-35	H2-T23
4.66365791950409e-39	-0.110742365755399	1	1	9.89348391043597e-35	Rpl17
1.18768687428605e-38	-0.252367534826699	0.91	0.94	2.51955893511043e-34	Inpp4b
4.24967783027836e-38	-0.199934987716503	0.981	0.988	9.01526654915251e-34	Prrc2c
1.4539820378482e-37	-0.242785325403305	0.823	0.88	3.08447749509117e-33	Ptpn6
2.27326350766273e-37	-0.136474103780333	1	1	4.82250120515572e-33	Rps27
2.6107153941061e-37	-0.240938139736088	0.982	0.988	5.53837163705667e-33	mt-Nd1
2.92356907706772e-37	-0.228769595789721	0.862	0.91	6.20205944009147e-33	mt-Nd5
4.10191714155945e-37	0.159792938810623	0.995	0.996	8.70180702410422e-33	Elob
1.00313454937153e-36	0.175559350463369	0.991	0.989	2.12804963303675e-32	Cox5b
1.10283062778496e-36	-0.124200844746547	1	1	2.33954489378301e-32	Rps12
1.50997226681349e-36	0.209679177888283	1	0.999	3.20325516681814e-32	AW112010
1.57641500641718e-36	0.121350671261436	1	1	3.3442067946134e-32	Rps28
1.6828844529237e-36	-0.175317840554653	0.998	0.997	3.57007107843234e-32	Laptm5
3.10113516254319e-36	0.20142194348809	0.968	0.959	6.57874813381912e-32	Psmb3
4.01909514906118e-36	-0.201691044847824	0.915	0.945	8.52610844921839e-32	Diaph1
4.41226206660539e-36	0.191504715101062	0.904	0.884	9.36017274809667e-32	Psmb2
1.23028833984141e-35	0.193075584102709	0.966	0.963	2.60993368413957e-31	Cd48
1.54948574035688e-35	0.177479737621295	0.997	0.995	3.28707904959308e-31	Rbm3
4.15941254313575e-35	0.153526668413115	0.996	0.992	8.82377776900818e-31	Ndufb1-ps
4.97541521873545e-35	0.174281589667031	0.988	0.981	1.05548458450254e-30	Cox5a
6.39410679975351e-35	0.142264093191793	0.995	0.994	1.35644581649971e-30	Sem1
9.3788426320774e-35	-0.125872546405603	1	1	1.9896276759689e-30	Rpl3
6.34246964503611e-33	0.167777027685521	0.981	0.973	1.34549151049796e-28	Rap1a
1.03361428096189e-32	0.189593847936464	0.989	0.985	2.19270933563254e-28	Tspo
1.07636924935678e-32	0.242540015386202	0.945	0.937	2.28340972558548e-28	Prdx1
1.40287134182352e-32	-0.200456645692196	0.971	0.981	2.97605126454442e-28	mt-Nd4
1.54127283504397e-32	-0.0980092432921573	1	1	3.26965619226227e-28	Rps9
2.12687189286568e-32	-0.293829385041114	0.893	0.935	4.51194603352526e-28	Nr4a2
4.04052839351538e-32	-0.229029662456406	0.625	0.72	8.57157693400353e-28	Dgkh
1.27706940075384e-31	0.176525900751173	0.986	0.975	2.7091750267592e-27	Tmbim6
4.88619082487618e-31	0.233620770013175	0.952	0.93	1.03655652158923e-26	H2-T22
9.69003901192827e-31	0.144569800474009	0.994	0.99	2.05564487599046e-26	Sec61b
1.05536643932958e-30	-0.221398844597581	0.968	0.98	2.23885436439376e-26	Myh9
1.21177964798766e-30	0.180503469281307	1	1	2.57066934524102e-26	Actb
1.32513517207714e-30	-0.18040658066678	0.965	0.982	2.81114175404445e-26	Wnk1
1.65260128796719e-30	0.244778494351176	0.934	0.937	3.50582837229359e-26	Ndufa4
