p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.80805353634808e-193	0.55153756896454	1	1	5.95700477200882e-189	Tex-term	Malat1
1.40220505585987e-189	0.610482820459826	0.99	0.932	2.97463780550112e-185	Tex-term	Lag3
4.32894876173317e-181	0.604847661036685	1	0.997	9.18343190314074e-177	Tex-term	Btg1
3.90552062012418e-120	0.254645445076373	1	1	8.28517144353143e-116	Tex-term	Rps27
4.84504969137513e-106	0.415508411879247	0.996	0.987	1.02782884152832e-101	Tex-term	Hcst
1.96215093160154e-103	0.320290004329425	1	1	4.1625069862995e-99	Tex-term	Nkg7
8.40795393287707e-103	0.288164313818424	1	1	1.78366334732054e-98	Tex-term	Cd3e
3.97002436441182e-102	0.310513458264894	0.999	0.997	8.42200968666324e-98	Tex-term	Pfdn5
2.25745273814352e-101	0.49162110658225	0.969	0.93	4.78896023869767e-97	Tex-term	Samsn1
1.12581783607383e-98	0.544834496071038	0.959	0.893	2.38830995744703e-94	Tex-term	Nr4a2
2.98520203733811e-94	0.500454824457149	0.832	0.688	6.33280760200907e-90	Tex-term	Lyst
9.79420835190465e-93	0.373578354267381	1	0.994	2.07774335977305e-88	Tex-term	Klrd1
3.97349070561014e-84	0.453341221400244	0.889	0.761	8.42936318288135e-80	Tex-term	Bcl2l11
2.67304004918325e-78	0.349393089040125	0.978	0.959	5.67058716033734e-74	Tex-term	Cst7
3.10001860941383e-75	0.372200864847057	0.66	0.472	6.57637947801049e-71	Tex-term	Sdcbp2
6.08227859728782e-75	0.342347471798552	0.899	0.802	1.29029458162864e-70	Tex-term	Tnrc6b
1.23521698735327e-74	0.293236982250066	1	0.995	2.62038931697123e-70	Tex-term	Cd8a
2.96469331824683e-70	0.370369960794577	0.911	0.822	6.28930040532883e-66	Tex-term	Cd27
1.15017280017078e-68	0.385885656458893	0.939	0.877	2.43997657828228e-64	Tex-term	AC149090.1
3.26996945766024e-67	0.35139069830533	0.97	0.948	6.93691320748044e-63	Tex-term	Sh2d2a
1.27425366559119e-66	0.299568743206271	0.955	0.917	2.70320172618515e-62	Tex-term	Dock2
9.76889251557258e-63	0.314540134230372	0.975	0.935	2.07237285825357e-58	Tex-term	Gimap6
5.74934689816444e-62	0.28078092553495	0.979	0.964	1.2196664509766e-57	Tex-term	Ptpn22
8.44561853519165e-61	0.326909660716072	0.956	0.924	1.79165351605556e-56	Tex-term	Ptms
1.12210585161615e-60	0.425685183850584	0.769	0.633	2.3804353536185e-56	Tex-term	Tox
5.31914416997949e-59	0.309760627522806	0.852	0.761	1.12840324421945e-54	Tex-term	Use1
7.41179195949698e-59	0.300668389779948	0.859	0.76	1.57233754628769e-54	Tex-term	Rabgap1l
2.04001791574688e-57	0.411097630878149	0.732	0.599	4.32769400646542e-53	Tex-term	Xdh
3.89930959142182e-57	0.33226410372705	0.861	0.755	8.27199536724224e-53	Tex-term	Nrp1
5.30221064579827e-57	0.265217544825489	1	1	1.12481096639965e-52	Tex-term	Ms4a4b
3.52116915693522e-56	0.376169169121756	0.837	0.745	7.46980824952237e-52	Tex-term	Zfp36l1
6.92669873421558e-56	0.311947787627655	0.846	0.772	1.46942986947649e-51	Tex-term	Utrn
4.2103545727118e-54	0.320553681841704	0.807	0.689	8.93184619055081e-50	Tex-term	Tnfaip3
3.04560001164328e-52	0.410070725498334	0.668	0.555	6.46093586470005e-48	Tex-term	Il18rap
3.91361138635299e-52	0.367745643405695	0.992	0.979	8.30233519500924e-48	Tex-term	Junb
7.08311681680968e-52	0.286152500081115	0.918	0.878	1.50261240151801e-47	Tex-term	Cblb
1.10142707811988e-51	0.291644044612343	0.951	0.907	2.33656740352351e-47	Tex-term	Clk1
1.72112588462195e-51	0.262258278418746	0.988	0.977	3.65119645163701e-47	Tex-term	Ets1
5.54243070388129e-51	0.328084106026153	0.944	0.905	1.17577124952138e-46	Tex-term	Btg2
3.71633671525028e-49	0.283816848963903	0.972	0.92	7.88383670773194e-45	Tex-term	Plek
1.52194961816435e-48	0.287776871581777	0.629	0.485	3.22866391997385e-44	Tex-term	Nr4a3
1.53154416511928e-48	0.367593742362843	0.971	0.947	3.24901779188403e-44	Tex-term	Sdf4
2.66839789381609e-48	0.277770825167464	0.892	0.838	5.66073929194145e-44	Tex-term	Cnot6l
