p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
7.89438503176295e-33	-0.239164184847532	0.14	0.356	1.67471484063819e-28	Snx9	Tex-prolif
3.48795466675295e-17	0.28603810839533	0.808	0.662	7.39934703004971e-13	Tox	Tex-prolif
3.24676767479435e-13	-0.569432363258422	0.505	0.656	6.88769294530874e-09	Xcl1	Tex-prolif
1.2299898001067e-10	-0.159530074976326	0.338	0.465	2.60930036194635e-06	Il2ra	Tex-prolif
2.78383667543248e-10	0.684098611404378	0.752	0.673	5.90563112326246e-06	Ccl5	Tex-prolif
1.20417592667373e-08	0.1950014503731	0.99	0.981	0.000255453881084564	Cxcr6	Tex-prolif
2.11555235912826e-06	-0.198851332520749	0.93	0.94	0.044879327746547	Nr4a2	Tex-prolif
3.01664663805041e-29	-0.236688466098385	0.153	0.37	6.39951417796013e-25	Snx9	Tex-term
2.32257271836114e-11	0.747577125791362	0.796	0.735	4.92710576473133e-07	Ccl5	Tex-term
1.63327209963124e-08	-0.554464740540231	0.332	0.441	0.00034648234321577	Xcl1	Tex-term
7.41364256442467e-08	0.415103638226817	0.49	0.396	0.00157273013361705	Ccl3	Tex-term
2.94026141494897e-07	0.19636548896332	0.989	0.988	0.00623747056567274	Cxcr6	Tex-term
3.77493995140567e-07	0.482818522029292	0.854	0.812	0.00800815761291199	Ccl4	Tex-term
9.80641545306461e-07	-0.150021827898991	0.333	0.436	0.0208033297421313	Il2ra	Tex-term
1.40900466250534e-09	-0.226907680365225	0.182	0.387	2.98906249103882e-05	Snx9	Tex-Prf1
8.94368981947075e-08	-0.342276007885977	0.163	0.358	0.00189731435830253	Tox	Tem
6.91595666751916e-08	-0.614806208471595	0.361	0.577	0.00146715104744751	Il2ra	Tpex
1.05697313179117e-06	-0.197768611519483	0.12	0.309	0.0224226280178179	Snx9	Tpex
5.11778710780747e-08	-0.22380541200512	0.138	0.341	0.00108568735705028	Snx9	Tprolif
1.07641656370045e-85	-0.221860821635978	0.148	0.348	2.28351009823414e-81	Snx9	all_cells
2.12687189286568e-32	-0.293829385041114	0.893	0.935	4.51194603352526e-28	Nr4a2	all_cells
1.53453999741802e-26	-0.502544154560292	0.414	0.531	3.25537315052259e-22	Xcl1	all_cells
8.24157993942564e-26	0.226792095070228	0.972	0.967	1.74836876834975e-21	Cxcr6	all_cells
1.22043592392562e-23	-0.174060961954797	0.347	0.458	2.58903276901582e-19	Il2ra	all_cells
1.68058123694593e-18	0.505604171099534	0.756	0.702	3.5651850360571e-14	Ccl5	all_cells
9.58664050547767e-11	-0.122361785453681	0.494	0.566	2.03370991683203e-06	Nr4a3	all_cells
