SYMBOL	ES
HSPA1B	0.51 
ACTB	0.42 
TXNIP	0.41 
HSPA1A	0.39 
CCL5	0.37 
CD52	0.37 
ZNF683	0.36 
TRAF3IP3	0.35 
SH3BGRL3	0.33 
SIT1	0.32 
S100A4	0.32 
CISH	0.32 
IL32	0.31 
GZMA	0.31 
MYL12A	0.29 
HSPA6	0.29 
PTPRCAP	0.29 
PFN1	0.29 
ACTG1	0.28 
TNF	0.28 
HCST	0.27 
CLIC1	0.26 
TBC1D10C	0.26 
CKLF	0.25 
LCP2	0.25 
GIMAP4	0.25 
PPP1R18	0.24 
ZYX	0.24 
RAC2	0.24 
IFNG	0.24 
EMP3	0.24 
GIMAP7	0.23 
LINC00861	0.23 
CORO1A	0.22 
NKG7	0.21 
TMSB10	0.21 
S100A6	0.21 
CD2	0.21 
PTGDR	0.21 
EVL	0.20 
CYTH4	0.20 
RCSD1	0.20 
AGTRAP	0.20 
RGS19	0.20 
LAT	0.20 
GZMH	0.20 
GLIPR2	0.20 
SASH3	0.20 
B2M	0.20 
LGALS1	0.19 
TMSB4X	0.19 
MYO1F	0.19 
SH2D3C	0.19 
MALAT1	0.19 
PSMB9	0.18 
ACAP1	0.18 
LY6E	0.18 
PTPN6	0.17 
CD244	0.17 
CD99	0.17 
EGR1	0.17 
PDLIM2	0.17 
PYCARD	0.17 
SH3BP1	0.16 
LIME1	0.16 
FCRL6	0.16 
C5orf56	0.16 
CSK	0.16 
GSTK1	0.16 
PLEKHF1	0.16 
DENND2D	0.16 
GIMAP1	0.16 
CALHM2	0.15 
GIMAP6	0.15 
SAMD3	0.15 
CTSW	0.15 
THEMIS	0.15 
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
