SYMBOL	ES
FGFBP2	3.07 
FCGR3A	1.95 
CX3CR1	1.67 
S1PR5	1.43 
PRSS23	1.40 
GNLY	1.30 
GZMH	1.10 
NKG7	1.08 
KLRD1	1.02 
FGR	1.02 
PLEK	0.96 
C1orf21	0.96 
GZMB	0.94 
SPON2	0.93 
KLRF1	0.92 
PRF1	0.91 
PLAC8	0.88 
ITGAM	0.87 
EFHD2	0.83 
LILRB1	0.81 
FCRL6	0.80 
RAP1GAP2	0.79 
KLRG1	0.76 
TTC38	0.76 
ASCL2	0.73 
TGFBR3	0.68 
FLNA	0.67 
LAIR2	0.67 
S1PR1	0.65 
PXN	0.64 
VCL	0.64 
PLEKHG3	0.62 
KLF2	0.62 
OSBPL5	0.60 
CST7	0.60 
ITGB2	0.59 
KLF3	0.58 
ZEB2	0.58 
PROK2	0.57 
FCGR3B	0.57 
MYOM2	0.56 
ADRB2	0.55 
C12orf75	0.55 
PTGDS	0.54 
CTSW	0.54 
EMP3	0.53 
TM4SF19	0.53 
BIN2	0.52 
HLA-C	0.52 
S100A4	0.51 
TBX21	0.51 
CD300A	0.51 
CXCR2	0.50 
SLC1A7	0.50 
ITGB1	0.50 
SYNE1	0.50 
LPCAT1	0.49 
PATL2	0.49 
MYO1F	0.49 
LITAF	0.49 
CMKLR1	0.48 
DSTN	0.48 
B2M	0.48 
CEP78	0.48 
TPST2	0.48 
MTSS1	0.47 
AES	0.47 
SLCO4C1	0.47 
TYROBP	0.46 
GK5	0.46 
TMSB10	0.46 
SH3BP5	0.45 
RASGRP2	0.45 
LYN	0.44 
AKR1C3	0.44 
RAP1B	0.43 
AGPAT4	0.42 
PALLD	0.42 
RASA3	0.42 
TTC16	0.42 
SAMD3	0.42 
CXCR1	0.41 
PFN1	0.40 
COL6A2	0.40 
TSPAN2	0.39 
STK38	0.39 
GZMM	0.39 
ADD3	0.39 
KIF19	0.39 
SSBP3	0.38 
MYO1G	0.38 
CCND3	0.38 
SPN	0.38 
LGALS1	0.38 
PDGFD	0.37 
MATK	0.37 
MYBL1	0.36 
IFITM2	0.36 
MLC1	0.36 
RASSF1	0.36 
MYL12A	0.36 
TSPAN32	0.35 
CYBA	0.35 
CTBP2	0.35 
RAB11FIP5	0.35 
PRKCB	0.35 
PTGDR	0.34 
SUN2	0.34 
ARPC2	0.34 
TXNIP	0.33 
HOPX	0.33 
SH3BGRL3	0.33 
APMAP	0.33 
TFDP2	0.33 
TES	0.33 
P2RY8	0.33 
HLA-B	0.33 
SLC9A3R1	0.33 
C11orf21	0.33 
THEMIS2	0.33 
PLEKHA1	0.33 
NME8	0.33 
ITGAL	0.33 
CD52	0.32 
CALM1	0.32 
LINC00861	0.32 
KIR2DL3	0.32 
PTPN12	0.32 
NCR1	0.32 
PLEKHF1	0.31 
CD99	0.31 
CDC25B	0.31 
AHNAK	0.31 
SELPLG	0.31 
USP28	0.31 
EPHX4	0.31 
