SYMBOL	ES
TYROBP	1.59 
KIR2DL3	1.58 
KLRC2	1.49 
KIR3DL2	1.45 
KIR2DL4	1.31 
KIR2DL1	1.27 
KLRC3	1.14 
LAT2	1.09 
B3GNT7	0.99 
KIR3DL1	0.95 
XCL1	0.92 
SPRY2	0.92 
IKZF2	0.91 
KLRD1	0.85 
FCER1G	0.83 
GNLY	0.82 
LYN	0.80 
CD7	0.80 
HOPX	0.73 
NCR1	0.72 
CD160	0.71 
XCL2	0.68 
NCAM1	0.68 
CD63	0.65 
SH2D1B	0.64 
KRT81	0.63 
CTSW	0.60 
AREG	0.59 
NCR3	0.58 
KRT86	0.58 
PLCG2	0.57 
TNFRSF18	0.57 
FES	0.57 
PDE4A	0.56 
TXK	0.55 
ADAM28	0.55 
PIK3AP1	0.54 
FOSL2	0.51 
PABPC1	0.50 
SLC16A3	0.50 
LDLRAD4	0.50 
ATP8B4	0.50 
IL2RB	0.49 
MATK	0.49 
KLRC1	0.48 
REL	0.48 
ITGAX	0.48 
PIK3R1	0.48 
PIK3R6	0.48 
ABCB1	0.46 
ZNF683	0.45 
AOAH	0.45 
ZFP36	0.44 
SYNGR1	0.44 
RIN3	0.43 
ZFP36L2	0.42 
FCRL6	0.42 
NR4A2	0.42 
ADRB1	0.42 
CD300A	0.39 
VPS37B	0.39 
CTSA	0.39 
MAFF	0.39 
GPR65	0.39 
IRF8	0.38 
CLNK	0.38 
CAPN12	0.38 
PTPN22	0.38 
NR4A3	0.38 
SERPINB6	0.37 
UBASH3B	0.37 
CCDC50	0.37 
ZNF331	0.37 
LINC00996	0.36 
DGKD	0.36 
GSTP1	0.36 
SLA2	0.36 
DOCK5	0.36 
CXXC5	0.36 
TMSB4X	0.36 
FAM49A	0.35 
MAP3K8	0.35 
MGLL	0.35 
FOS	0.35 
FAM177A1	0.35 
SYK	0.35 
LITAF	0.35 
NR4A1	0.34 
CD9	0.34 
ID3	0.34 
TLE1	0.34 
EPAS1	0.34 
ARHGAP9	0.33 
CAPG	0.33 
SCML4	0.33 
CDIP1	0.33 
PDGFD	0.32 
RHOC	0.32 
IFITM3	0.32 
IFITM2	0.32 
FAM3C	0.32 
RRAS2	0.32 
IL32	0.31 
GADD45B	0.31 
SKAP2	0.31 
NUGGC	0.31 
SYTL3	0.31 
AUTS2	0.31 
IGFBP2	0.30 
RANBP2	0.30 
ABTB2	0.30 
DDIT4	0.30 
ID2	0.30 
ZNF667	0.30 
DUSP5	0.30 
PTP4A1	0.30 
GCSAM	0.29 
GLUL	0.29 
SRGN	0.29 
HCST	0.29 
MAPK1	0.29 
ELL2	0.29 
