SYMBOL	ES
CAPG	0.64 
TMSB4X	0.62 
ZNF683	0.58 
S100A4	0.56 
LGALS3	0.55 
ACTB	0.52 
SH3BGRL3	0.51 
CD52	0.50 
LGALS1	0.48 
HOPX	0.47 
CKLF	0.47 
ITGA1	0.47 
LDLRAD4	0.46 
ALOX5AP	0.46 
VIM	0.46 
GAPDH	0.45 
CXCR6	0.44 
CD63	0.43 
KLRC1	0.43 
S100A6	0.43 
PGK1	0.42 
ITGAE	0.41 
CD7	0.41 
CLIC1	0.41 
IL32	0.41 
S100A11	0.40 
SAMSN1	0.40 
ANXA2	0.39 
CD2	0.39 
GZMB	0.39 
COTL1	0.39 
MYL6	0.39 
TPM4	0.38 
CFL1	0.38 
XCL1	0.38 
PFN1	0.37 
ARHGDIB	0.36 
CTSD	0.35 
LSP1	0.35 
FKBP1A	0.34 
PFKFB3	0.34 
CCL5	0.34 
GPR25	0.34 
ADAM19	0.34 
CRIP1	0.33 
ACTG1	0.33 
ANXA1	0.33 
CTSA	0.33 
CORO1A	0.33 
RAC2	0.32 
CXCR3	0.32 
MYL12B	0.32 
PTPN22	0.32 
LCP1	0.31 
PTGER4	0.31 
ID2	0.31 
ARPC3	0.31 
GZMA	0.31 
MYL12A	0.31 
SPRY1	0.30 
ANKRD28	0.30 
OSTF1	0.30 
TXN	0.30 
ZFP36L2	0.30 
RGS1	0.30 
ZYX	0.30 
ATP5E	0.30 
CAPZB	0.30 
CD96	0.30 
GLIPR1	0.29 
NDUFS5	0.29 
CAP1	0.29 
S100A10	0.29 
ITM2C	0.28 
IFITM2	0.28 
TMEM14C	0.28 
TAGLN2	0.28 
PERP	0.28 
ABRACL	0.28 
EMB	0.28 
ARPC1B	0.28 
SMIM3	0.28 
ARPC2	0.28 
XCL2	0.27 
LDHA	0.27 
IDH2	0.27 
MSN	0.27 
ANXA5	0.27 
TNFAIP3	0.27 
MCL1	0.27 
PSME2	0.26 
PHLDA1	0.26 
CD3D	0.26 
GLUL	0.26 
PPP1CA	0.26 
FKBP11	0.26 
TPM3	0.26 
ACTR3	0.26 
CD53	0.26 
RBPJ	0.26 
PDCL3	0.26 
PLP2	0.26 
COX6C	0.26 
ENO1	0.26 
PDE4D	0.26 
ZFP36	0.26 
CD9	0.26 
PELO	0.26 
FAM46C	0.26 
RHOA	0.26 
RGL4	0.25 
G3BP2	0.25 
C12orf75	0.25 
MYH9	0.25 
SLA2	0.25 
NUDT14	0.25 
CD99	0.25 
APOBEC3G	0.25 
CLIC3	0.25 
TSPO	0.24 
STK17B	0.24 
CYTIP	0.24 
ATP5G3	0.24 
VAMP8	0.24 
GLIPR2	0.24 
TPI1	0.24 
ARHGAP18	0.24 
IL2RG	0.24 
MIF	0.24 
CD226	0.24 
COMMD8	0.24 
PSME1	0.24 
GYG1	0.23 
JUN	0.23 
TMEM200A	0.23 
FAM129A	0.23 
PPIB	0.23 
HCST	0.23 
COX8A	0.23 
COX7B	0.23 
DDIT4	0.23 
OXNAD1	0.23 
ACTN4	0.23 
TBCD	0.23 
IQGAP1	0.23 
ATP5L	0.23 
ARHGAP9	0.23 
SUSD3	0.23 
APOBEC3H	0.23 
FTH1	0.23 
LEPROTL1	0.23 
DBI	0.23 
USMG5	0.23 
CLEC2B	0.23 
CD8A	0.22 
POMP	0.22 
IL2RB	0.22 
SLC7A5	0.22 
ARL6IP5	0.22 
NDUFB2	0.22 
COX6A1	0.22 
NDUFA4	0.22 
TMEM50A	0.22 
IFI27L2	0.22 
BLOC1S1	0.22 
CD69	0.22 
WDR1	0.22 
YWHAZ	0.22 
TESC	0.22 
EVL	0.22 
PKM	0.22 
HLA-DRA	0.22 
LAG3	0.22 
ARPC5	0.22 
CD82	0.22 
UBC	0.22 
CD3E	0.22 
PPA1	0.22 
GNG2	0.22 
SUB1	0.22 
PBX4	0.21 
EZR	0.21 
LCK	0.21 
GABARAPL1	0.21 
ITGB7	0.21 
ATP5C1	0.21 
TYMP	0.21 
SRGN	0.21 
LPXN	0.21 
ATP1B1	0.21 
DHRS7	0.21 
GALNT2	0.21 
LY6E	0.21 
DAPK2	0.21 
UQCR11	0.21 
NCF4	0.21 
IRF4	0.21 
ARF6	0.21 
BRK1	0.21 
YWHAB	0.21 
MYADM	0.21 
SURF4	0.21 
SYTL3	0.21 
PGAM1	0.21 
COX7A2	0.21 
SEPT1	0.20 
HMGN1	0.20 
ATP5B	0.20 
LRRFIP1	0.20 
ACP5	0.20 
GPR65	0.20 
POLR2L	0.20 
PSMA7	0.20 
DOCK10	0.20 
RUNX3	0.20 
RGS10	0.20 
RHOC	0.20 
GPR171	0.20 
SUMO2	0.20 
PSMB3	0.20 
FOSL2	0.20 
REEP5	0.20 
TBCB	0.20 
RABAC1	0.20 
DRAP1	0.20 
EML4	0.20 
UBE2A	0.20 
TOB1	0.20 
OST4	0.20 
CREM	0.20 
CYBA	0.20 
CHCHD2	0.20 
CNN2	0.20 
CALCOCO2	0.20 
ANXA6	0.20 
CIB1	0.19 
SEC61B	0.19 
ATP1B3	0.19 
DYNLL1	0.19 
SNRPB	0.19 
SH2D2A	0.19 
GZMH	0.19 
COX6B1	0.19 
C4orf48	0.19 
YIPF5	0.19 
AGTRAP	0.19 
GPI	0.19 
HERPUD1	0.19 
PSMA1	0.19 
ARHGDIA	0.19 
CLIC5	0.19 
THEMIS	0.19 
APOBEC3C	0.19 
SRSF2	0.19 
RAB1B	0.19 
YWHAQ	0.19 
VDAC1	0.19 
PDCD1	0.19 
SLC25A5	0.19 
HMGB1	0.19 
ATP5J	0.19 
UBE2D3	0.19 
TANK	0.19 
YPEL5	0.19 
PDIA6	0.19 
NBL1	0.19 
SIT1	0.19 
DSTN	0.19 
RBM3	0.19 
PRDX1	0.19 
PDCD4	0.19 
ATP5J2	0.19 
DUSP4	0.19 
NOP10	0.19 
UBL5	0.19 
SEL1L3	0.19 
ISG15	0.19 
BHLHE40	0.19 
GNG5	0.19 
STK17A	0.19 
PTMS	0.19 
DAD1	0.19 
RGCC	0.18 
CAPZA1	0.18 
CAMK4	0.18 
COX5A	0.18 
PPP1R18	0.18 
ANXA11	0.18 
PSMB6	0.18 
CMTM3	0.18 
MINOS1	0.18 
PDE4B	0.18 
SRI	0.18 
PSMB1	0.18 
CCDC107	0.18 
CALM2	0.18 
ECH1	0.18 
APBB1IP	0.18 
MPC1	0.18 
