SYMBOL	ES
CXCL13	1.69 
TNFRSF9	1.40 
LAYN	1.35 
ENTPD1	1.30 
HAVCR2	1.23 
CTLA4	1.20 
KRT86	1.11 
TNFRSF18	1.09 
GEM	1.00 
TIGIT	0.95 
DUSP4	0.92 
PHLDA1	0.92 
VCAM1	0.91 
SNX9	0.89 
MYO7A	0.88 
MYO1E	0.87 
KIR2DL4	0.86 
AFAP1L2	0.86 
RBPJ	0.84 
TNS3	0.80 
ETV1	0.80 
PDLIM4	0.79 
PDCD1	0.79 
HMOX1	0.78 
CD82	0.77 
AKAP5	0.77 
TOX	0.76 
GAPDH	0.76 
TNFSF4	0.74 
NDFIP2	0.74 
LAG3	0.73 
FAM3C	0.73 
ZBED2	0.73 
GOLIM4	0.72 
MIR155HG	0.72 
MS4A6A	0.72 
SIRPG	0.71 
ACP5	0.71 
RGS1	0.70 
RGS2	0.69 
CD200	0.67 
CD27	0.67 
PDE7B	0.66 
LMCD1	0.66 
FKBP1A	0.66 
GZMB	0.66 
AHI1	0.65 
TBC1D4	0.64 
SNAP47	0.64 
SRGAP3	0.64 
SARDH	0.64 
TOX2	0.63 
KRT81	0.63 
ATP8B4	0.63 
IGFLR1	0.62 
LYST	0.62 
PKM	0.61 
CSF1	0.61 
INPP5F	0.59 
VDR	0.59 
PTMS	0.59 
CLNK	0.59 
CAMK1	0.58 
NAB1	0.58 
SYNGR2	0.58 
ITGAE	0.58 
CHN1	0.58 
CCND2	0.57 
IFITM10	0.56 
TSPAN13	0.56 
ZC3H12C	0.56 
CCL3	0.56 
PARK7	0.56 
ITM2A	0.56 
DNPH1	0.55 
PON2	0.55 
GALNT2	0.55 
MAST4	0.55 
FUT8	0.54 
RAB27A	0.54 
CD109	0.54 
TPI1	0.54 
IL2RA	0.54 
SOX4	0.54 
CD7	0.54 
UBE2F	0.54 
GNG4	0.54 
ID3	0.53 
CTSD	0.53 
FABP5	0.52 
PHEX	0.52 
RGS13	0.52 
GFOD1	0.51 
CXCR6	0.51 
ASB2	0.51 
LRRN3	0.51 
ICOS	0.51 
HLA-DRA	0.50 
CD63	0.50 
BATF	0.50 
HLA-DRB1	0.50 
HLA-DMA	0.49 
SAMSN1	0.48 
PON3	0.48 
HSPB1	0.48 
ARL3	0.48 
NBL1	0.48 
PGAM1	0.48 
RDH10	0.48 
IKZF4	0.47 
RIN3	0.47 
CD70	0.47 
UBASH3B	0.47 
LINC00158	0.46 
TRAF5	0.46 
PIP5K1B	0.46 
PRDM1	0.46 
LSP1	0.46 
DGKH	0.46 
TNFRSF1B	0.46 
CLECL1	0.45 
UNQ6494	0.45 
LAIR2	0.45 
SLC2A8	0.45 
TIAM1	0.45 
BST2	0.44 
CARD16	0.44 
NEBL	0.44 
NHS	0.44 
LAT2	0.44 
DUSP16	0.44 
PAM	0.43 
PELI1	0.43 
TSHZ2	0.43 
HLA-DQA1	0.43 
HTRA1	0.42 
APOBEC3C	0.42 
IFNG	0.42 
STAT3	0.41 
PTGIS	0.41 
CBLB	0.41 
MTHFD2	0.41 
MAOB	0.41 
EID1	0.41 
KCNK5	0.41 
STAM	0.40 
MYL6B	0.40 
HECTD2	0.40 
SQLE	0.40 
MCM5	0.40 
TTN	0.40 
ITGA2	0.40 
SOD1	0.39 
RHOB	0.39 
SLA	0.39 
CARS	0.39 
LIMS1	0.39 
SEMA4A	0.39 
NAP1L4	0.39 
GBP2	0.39 
PKIA	0.39 
CD9	0.38 
CD2BP2	0.38 
RANBP1	0.38 
NPW	0.38 
SMCO4	0.38 
PRF1	0.38 
ITGB1	0.38 
ANXA5	0.38 
PRDX5	0.38 
CD74	0.38 
GALM	0.38 
CCDC141	0.38 
BCL2L11	0.38 
CD3D	0.37 
METTL8	0.37 
PPM1G	0.37 
CDK6	0.37 
COL9A2	0.37 
CDK14	0.37 
HLA-DRB5	0.37 
RHOA	0.36 
PAG1	0.36 
AGFG1	0.36 
GLDC	0.36 
RYR2	0.36 
DYNLL1	0.36 
CD2	0.36 
NAMPT	0.36 
CTSW	0.36 
COL6A3	0.35 
SDC4	0.35 
CLEC2D	0.35 
PDIA6	0.35 
DBN1	0.35 
C16orf45	0.35 
CSGALNACT1	0.35 
BTNL8	0.35 
HAPLN3	0.35 
LHFP	0.35 
CREM	0.35 
SEC14L1	0.35 
PTTG1	0.35 
GCNT1	0.35 
IL2RB	0.35 
RALA	0.35 
HLA-DPA1	0.35 
MTSS1	0.35 
HMGN3	0.35 
NR5A2	0.35 
PRDX3	0.35 
KIAA1324	0.34 
TNIP3	0.34 
SUOX	0.34 
C9orf16	0.34 
CHST12	0.34 
BTG3	0.34 
SHC4	0.34 
REEP2	0.34 
SLC27A2	0.34 
BHLHE40-AS1	0.34 
BARX2	0.34 
PDLIM7	0.34 
RAB3GAP1	0.34 
CTNNB1	0.34 
TTYH3	0.34 
SH3BGRL2	0.34 
SLC7A5	0.33 
RHBDD2	0.33 
RNF19A	0.33 
FOXP3	0.33 
GK	0.33 
ZNF282	0.33 
SUMO2	0.33 
MYL6	0.33 
WARS	0.33 
GADD45G	0.33 
PMAIP1	0.33 
IFI16	0.33 
SCCPDH	0.33 
CDKN2A	0.33 
SRP14	0.33 
INPP1	0.33 
PTPN11	0.33 
LINC00299	0.33 
PCED1B	0.32 
SRI	0.32 
CALM3	0.32 
IL2RG	0.32 
PRRG4	0.32 
PTPN6	0.32 
ID2	0.32 
PTPN7	0.32 
BHLHE40	0.32 
IFI27L2	0.32 
PRKAR1B	0.32 
ZBTB32	0.32 
ATP5G3	0.32 
ARPC1B	0.32 
PLS3	0.32 
SYT11	0.32 
TNFRSF4	0.31 
SEC11A	0.31 
GATA3	0.31 
ANKS1B	0.31 
PSMB8	0.31 
MSI2	0.31 
HDLBP	0.31 
ZFHX3	0.31 
GNG5	0.31 
MTHFD1	0.31 
IL21R	0.31 
FASLG	0.31 
ARPC2	0.31 
GPR137B	0.31 
KLRC1	0.31 
LIMA1	0.31 
SMIM10	0.31 
BTLA	0.31 
ASXL2	0.30 
PHPT1	0.30 
SMC4	0.30 
ARID5B	0.30 
CMTM6	0.30 
FNDC9	0.30 
PRKAR1A	0.30 
HLA-DQB1	0.30 
SYNJ2	0.30 
NR3C1	0.30 
ENO1	0.30 
CDK2AP2	0.30 
C3orf14	0.30 
SERF2	0.30 
SH2D2A	0.30 
APOBEC3G	0.30 
COPZ1	0.30 
CD80	0.30 
SSH1	0.30 
STAC	0.30 
HIPK2	0.30 
PRDX6	0.30 
SRGN	0.30 
HMGN1	0.30 
ADCY3	0.29 
WIPF3	0.29 
SLC4A2	0.29 
WDR83OS	0.29 
TGIF1	0.29 
SQSTM1	0.29 
SGPP2	0.29 
COX5A	0.29 
ANKRD35	0.29 
NELL2	0.29 
TYMP	0.29 
ATXN1	0.29 
DBH-AS1	0.29 
SCPEP1	0.29 
TSPO	0.29 
STIP1	0.29 
PSMB3	0.29 
PMCH	0.29 
ALOX5AP	0.29 
TANK	0.29 
HNRNPLL	0.29 
CRTAM	0.29 
VDAC1	0.29 
RAB11FIP1	0.29 
NMB	0.29 
KDM5B	0.29 
TSPAN17	0.29 
PLAGL1	0.29 
REG4	0.29 
ETFB	0.28 
MIR181A1HG	0.28 
SIT1	0.28 
COX8A	0.28 
COTL1	0.28 
TRPS1	0.28 
MPG	0.28 
NCR1	0.28 
CTNNA1	0.28 
HDAC7	0.28 
FLT1	0.28 
SYNGR3	0.28 
PSMD8	0.28 
GPR25	0.28 
CD79B	0.28 
GMDS	0.28 
PDGFA	0.28 
ATP5J2	0.28 
FIBP	0.28 
NCF4	0.28 
CD38	0.28 
IFI6	0.28 
NKG7	0.28 
FAIM2	0.28 
CHST2	0.28 
MPST	0.28 
TSPAN5	0.28 
TP73	0.28 
MAP4K3	0.28 
NME1	0.28 
HLA-A	0.28 
CTSB	0.28 
UCP2	0.28 
TWF2	0.28 
GTF3C1	0.28 
CD86	0.28 
ACTB	0.28 
HSBP1	0.28 
ACSL4	0.28 
BIRC3	0.27 
VOPP1	0.27 
SH3BGRL3	0.27 
CD151	0.27 
NDUFV2	0.27 
LCP2	0.27 
ACSL1	0.27 
ARF5	0.27 
PITPNM2	0.27 
RPA3	0.27 
SPATS2L	0.27 
IKZF3	0.27 
HNRNPK	0.27 
TTC24	0.27 
RUNX2	0.27 
KLRC2	0.27 
NIPAL4	0.27 
MT2A	0.27 
