SYMBOL	ES
LHFP	1.47 
CD200	1.40 
GNG4	1.35 
CXCL13	1.15 
TNFRSF4	1.12 
IGFL2	1.12 
CPM	0.99 
NMB	0.94 
SESN3	0.93 
EBI3	0.90 
BTLA	0.87 
TSHZ2	0.86 
IGFBP4	0.85 
MS4A6A	0.82 
PASK	0.80 
CHN1	0.80 
CHGB	0.78 
PTPN13	0.76 
CAV1	0.75 
TCF7	0.73 
NR3C1	0.72 
COL9A2	0.72 
C1orf228	0.68 
GK	0.64 
TBC1D4	0.64 
FAAH2	0.63 
MAGEH1	0.63 
THADA	0.63 
CD79A	0.62 
PHACTR2	0.59 
SMCO4	0.58 
LIMS2	0.58 
LY96	0.57 
ITM2A	0.57 
UNQ6494	0.55 
PTPN14	0.54 
MYL6B	0.53 
RPS8	0.53 
CCR7	0.52 
EPHX2	0.52 
SELL	0.52 
FGFR1	0.52 
GEM	0.50 
CD27	0.49 
TIGIT	0.49 
TOX	0.49 
EEF1A1	0.49 
IL6R	0.48 
CORO1B	0.48 
BATF	0.47 
CD28	0.47 
KIAA1324	0.47 
LIMS1	0.47 
IKZF4	0.46 
FKBP5	0.46 
STAM	0.46 
TTN	0.45 
METTL8	0.45 
STAC	0.45 
RPL11	0.45 
CYSLTR1	0.45 
CTSL	0.43 
SH2D1A	0.43 
CXorf21	0.43 
CNIH1	0.42 
PHEX	0.42 
DUSP4	0.42 
CD80	0.41 
SEPT6	0.40 
RNF19A	0.40 
DNPH1	0.40 
SARDH	0.40 
NAB1	0.39 
ICOS	0.39 
PTK2	0.39 
TESPA1	0.39 
SMPDL3A	0.38 
DGKA	0.38 
TNFSF8	0.38 
CYBRD1	0.37 
CTHRC1	0.37 
CD40LG	0.37 
ELMO1	0.37 
RPL8	0.36 
AP3S1	0.36 
GPX4	0.36 
RPLP1	0.36 
SIRPG	0.36 
LRRC8D	0.36 
ZC2HC1A	0.36 
IFNAR2	0.35 
RPL12	0.35 
TNFRSF25	0.35 
RPL6	0.35 
NDFIP2	0.35 
RPL18	0.35 
C16orf45	0.35 
ATP5G2	0.35 
SMAP2	0.34 
BIRC3	0.34 
CTSB	0.34 
C9orf16	0.34 
RPL15	0.34 
ST8SIA1	0.34 
NINJ2	0.33 
NFATC1	0.33 
APP	0.33 
PRDX2	0.33 
MSI2	0.33 
RPL29	0.33 
PKIA	0.32 
RPS5	0.32 
RPS24	0.32 
CD82	0.32 
PELI1	0.32 
TSPAN5	0.31 
RGS2	0.31 
RBPJ	0.31 
PIK3IP1	0.31 
AHI1	0.31 
SOD1	0.31 
BARX2	0.31 
TLK1	0.31 
RHBDD2	0.31 
ZNRF1	0.31 
SYPL1	0.31 
CD84	0.30 
ZBTB46	0.30 
PEBP1	0.30 
ZEB1	0.30 
RPS23	0.30 
ADPRH	0.30 
VOPP1	0.30 
RPS28	0.30 
SH3BGRL2	0.30 
FXYD5	0.30 
SGPP2	0.30 
EEF2	0.29 
ZC3H7A	0.29 
CCDC6	0.29 
EEF1G	0.29 
RPL19	0.29 
RPL22	0.29 
GPX1	0.29 
PPP1CC	0.29 
KAT6B	0.29 
PON2	0.29 
GRSF1	0.29 
CAMK1	0.29 
RPS2	0.28 
FABP5	0.28 
CD79B	0.28 
HMGN1	0.28 
HIF1A	0.28 
PARK7	0.28 
ANP32B	0.28 
RPS4X	0.28 
FBXO32	0.27 
ACTN1	0.27 
RPL4	0.27 
PMAIP1	0.27 
PTP4A3	0.27 
RPL32	0.27 
EIF3F	0.27 
TMEM123	0.27 
ACTG1	0.27 
RPS3A	0.27 
RPS13	0.27 
RPL10A	0.27 
SPOCK2	0.27 
HNRNPA1	0.27 
CIRBP	0.27 
RPL5	0.26 
SREBF2	0.26 
RPL7	0.26 
NAP1L1	0.26 
TNFRSF9	0.26 
EIF3L	0.26 
TNIK	0.26 
EIF3E	0.26 
LIMA1	0.26 
ANKS1B	0.26 
TMEM245	0.26 
SMS	0.26 
RPL13	0.26 
LRMP	0.26 
VDR	0.25 
CCR4	0.25 
ZC3H12D	0.25 
OXA1L	0.25 
RPL7A	0.25 
FCRL3	0.25 
NCOA7	0.25 
RAB30	0.25 
TSHR	0.25 
NAP1L4	0.25 
KCNK5	0.25 
SMAD1	0.25 
C12orf57	0.25 
PPP1R2	0.25 
CCDC141	0.24 
INPP1	0.24 
RPL18A	0.24 
RPL37	0.24 
DGKH	0.24 
FHIT	0.24 
RPS6	0.24 
MARCH3	0.24 
RAB11FIP1	0.24 
UCP2	0.24 
MAGEF1	0.24 
BEX2	0.24 
EVI5	0.24 
TMEM243	0.24 
RPS18	0.24 
EIF3H	0.24 
TRAF1	0.24 
SLC7A6	0.24 
PAM	0.23 
EID1	0.23 
ITGB2-AS1	0.23 
RPL9	0.23 
LINC00158	0.23 
TP53INP1	0.23 
PPM1G	0.23 
RGS10	0.23 
GYPC	0.23 
SLC25A6	0.23 
MYCBP2	0.23 
