SYMBOL	ES
BIRC5	1.63 
RRM2	1.56 
CDC20	1.49 
CCNB2	1.47 
TYMS	1.40 
UBE2C	1.40 
MYBL2	1.34 
CENPW	1.28 
ZWINT	1.25 
TK1	1.22 
PLK1	1.22 
MKI67	1.21 
CCNA2	1.20 
DLGAP5	1.20 
GINS2	1.19 
CDKN3	1.18 
AURKB	1.17 
PKMYT1	1.14 
HMGB3	1.11 
GTSE1	1.11 
UHRF1	1.10 
TROAP	1.09 
ACTB	1.05 
DHFR	1.04 
MND1	1.03 
CDCA3	1.03 
TOP2A	1.03 
STMN1	1.03 
HMMR	1.01 
CDT1	1.01 
TUBB	0.99 
MCM10	0.99 
TPX2	0.98 
CEP55	0.98 
SHCBP1	0.98 
ASF1B	0.97 
ASPM	0.96 
SPC24	0.92 
SPC25	0.91 
CCNB1	0.91 
CDCA5	0.91 
CDC45	0.91 
PFN1	0.91 
CENPU	0.89 
NME1	0.88 
CDCA8	0.88 
ACTG1	0.87 
DEPDC1	0.86 
CENPA	0.86 
CLSPN	0.85 
RAD51	0.85 
PAICS	0.84 
TUBA1B	0.84 
CENPM	0.84 
KIFC1	0.84 
KIF2C	0.83 
MCM7	0.83 
SKA3	0.82 
CDK1	0.82 
NUF2	0.81 
KIF14	0.80 
HIST1H1B	0.80 
HJURP	0.79 
E2F2	0.79 
NUSAP1	0.79 
DUT	0.78 
PHF19	0.77 
FOXM1	0.77 
DTL	0.77 
CKS1B	0.77 
CDCA7	0.77 
MAD2L1	0.77 
KIF4A	0.76 
GAPDH	0.75 
ORC6	0.75 
RPLP0	0.75 
SMC2	0.75 
PPIA	0.75 
DIAPH3	0.74 
NCAPG	0.74 
HMGN2	0.74 
DEPDC1B	0.74 
KIF20A	0.73 
SKA1	0.73 
ENO1	0.73 
MT1E	0.73 
LDHB	0.73 
OIP5	0.72 
CENPF	0.71 
CDCA2	0.71 
FEN1	0.71 
RANBP1	0.71 
PRDX3	0.71 
MCM2	0.70 
KIF15	0.69 
ATP5G3	0.69 
COTL1	0.69 
TMSB10	0.68 
NME2	0.68 
MCM4	0.68 
UBE2T	0.68 
DTYMK	0.68 
CORO1A	0.68 
NEK2	0.68 
CCDC34	0.68 
C1QBP	0.67 
ANP32B	0.67 
PTTG1	0.67 
SNRPD1	0.67 
HMGB2	0.67 
COX5A	0.67 
PBK	0.67 
GGCT	0.66 
CDC6	0.66 
CENPE	0.66 
ARPC1B	0.66 
HMGA1	0.66 
RAN	0.66 
WDR34	0.66 
NUDT1	0.66 
PRR11	0.66 
POC1A	0.65 
GGH	0.65 
PKM	0.65 
MYL6B	0.65 
BUB1	0.65 
MELK	0.65 
FANCI	0.65 
PCNA	0.65 
NCAPH	0.65 
FAM111B	0.64 
CENPN	0.64 
ORC1	0.64 
CFL1	0.64 
H2AFV	0.63 
NEIL3	0.63 
TTK	0.63 
LSM5	0.63 
E2F8	0.63 
MCM5	0.62 
NHP2	0.62 
FABP5	0.62 
CHEK1	0.62 
ARPC5	0.62 
DDX39A	0.62 
SLC25A5	0.62 
HMGB1	0.62 
LSM4	0.62 
ANLN	0.62 
SNRPF	0.61 
PPP1CA	0.61 
YBX1	0.61 
TRIP13	0.61 
CKAP2L	0.61 
TALDO1	0.61 
ACOT7	0.61 
ANAPC15	0.61 
CCDC167	0.61 
MTFR2	0.61 
MRPL51	0.61 
SNRPE	0.61 
EIF5A	0.60 
GMNN	0.60 
RMI2	0.60 
DCTPP1	0.60 
CENPH	0.60 
TPI1	0.60 
SNRPG	0.60 
MCM3	0.60 
RPA3	0.60 
H2AFZ	0.59 
NDUFB3	0.59 
ANP32E	0.59 
RAD54L	0.59 
COX8A	0.59 
SHMT2	0.59 
CNN2	0.59 
KIF11	0.58 
RAD51AP1	0.58 
PPA1	0.58 
DSCC1	0.58 
ESCO2	0.58 
SPAG5	0.58 
PSME2	0.58 
BCAT1	0.58 
RUVBL2	0.58 
BRCA1	0.57 
TXN	0.57 
TPM4	0.57 
TIMELESS	0.57 
ANXA2	0.57 
MIF	0.57 
TUBA1C	0.57 
CYC1	0.57 
H2AFY	0.56 
ATP5A1	0.56 
SNRNP25	0.56 
ATP5J2	0.56 
RNASEH2A	0.56 
PHGDH	0.56 
ATP5J	0.56 
NDUFAB1	0.56 
CHAF1A	0.56 
MRPL52	0.56 
PDCD5	0.56 
CCT5	0.55 
EXO1	0.55 
BANF1	0.55 
ARPC2	0.55 
ATP5C1	0.55 
PRDX1	0.55 
AP2S1	0.55 
CDC25C	0.55 
MRPL11	0.54 
PSMA4	0.54 
TKT	0.54 
NDUFB9	0.54 
MRPS34	0.54 
SELL	0.54 
NUTF2	0.54 
COX6C	0.54 
TCF19	0.54 
MRPL37	0.54 
CALM3	0.54 
PRELID1	0.53 
POLQ	0.53 
PSMA2	0.53 
GINS1	0.53 
VIM	0.53 
EZH2	0.53 
CBX3	0.53 
ATP5G1	0.52 
AURKA	0.52 
COX6A1	0.52 
STOML2	0.52 
LGALS1	0.52 
ATP5F1	0.52 
NDUFA2	0.52 
TUBG1	0.52 
NCAPD2	0.52 
PSMB2	0.52 
TFDP1	0.52 
POLD2	0.52 
UQCRQ	0.51 
PSMA5	0.51 
IMPDH2	0.51 
ABRACL	0.51 
CARHSP1	0.51 
KIF23	0.51 
RPSA	0.51 
DBI	0.51 
MT2A	0.51 
SAE1	0.51 
PRC1	0.51 
TIMM13	0.51 
CHCHD2	0.51 
MZT2A	0.51 
WDR1	0.51 
NDC80	0.51 
