SYMBOL	DESCRIPTION	GENEBIOTYPE	ENTREZID	UNIPROTID	LENGTH	METABIOTYPE	logFC	logCPM	F	PValue	FDR
POU2AF1	POU class 2 homeobox associating factor 1	protein_coding	5450	Q16633.176	6996	protein_coding	4.78334570839627	4.17352009273314	291.624829125326	4.19025912502213e-10	4.9985601102389e-06
PLS3	plastin 3	protein_coding	5358	F2Z2Z9.67	4092	protein_coding	4.56517249661609	1.84738856996562	222.46418933091	2.14834647196095e-09	1.28138125320111e-05
RASGRP4	RAS guanyl releasing protein 4	protein_coding	115727	NA	4183	protein_coding	3.57513140853267	3.27884819605857	191.498362271367	5.26244409142595e-09	2.09252318555401e-05
DGKI	diacylglycerol kinase iota	protein_coding	9162	E9PFX6.79	15547	protein_coding	5.21660211231694	3.36664738319953	176.228942891852	8.61943310693918e-09	2.17931017750591e-05
RDH10	retinol dehydrogenase 10	protein_coding	157506	A0A024R7X6.55	5331	protein_coding	1.60025426713121	6.95488020694944	174.510017546172	9.13450489356154e-09	2.17931017750591e-05
DBN1	drebrin 1	protein_coding	1627	Q16643.202	5119	protein_coding	1.43250657756136	5.40623322643242	150.024537294391	2.22548513329122e-08	3.94375659738949e-05
CDKN2B	cyclin dependent kinase inhibitor 2B	protein_coding	1030	K7PPU3.71	4000	protein_coding	-3.48439084238459	3.72931249409693	149.026636403924	2.31421713318186e-08	3.94375659738949e-05
RNF157	ring finger protein 157	protein_coding	114804	A0A3B3ISM3.12	7913	protein_coding	-1.70850481499204	6.67205024905263	144.746497390543	2.74440225381045e-08	4.0922468107131e-05
KIF7	kinesin family member 7	protein_coding	374654	A0A7I2V527.1	5283	protein_coding	2.21528995430384	0.74235322155656	126.623009327698	5.97333906512172e-08	7.91732907864856e-05
AEBP1	AE binding protein 1	protein_coding	165	Q8IUX7.160	4971	protein_coding	2.38491460075033	2.62958741896655	117.075637125128	9.38494789401824e-08	0.000111953043427744
NREP	neuronal regeneration related protein	protein_coding	9315	D6REJ5.61	9308	protein_coding	2.14711103204358	1.06886991291777	105.945837113643	1.66126182721987e-07	0.000180156293971871
ASPH	aspartate beta-hydroxylase	protein_coding	444	Q12797.206	20047	protein_coding	1.61671504638678	2.48232073086222	104.035621394936	1.84227414883077e-07	0.000183137402678353
CDCP1	CUB domain containing protein 1	protein_coding	64866	Q9H5V8.146	6508	protein_coding	3.09426967707449	3.26495322638389	102.272359874755	2.02991817336146e-07	0.000186268414538683
SLC28A3	solute carrier family 28 member 3	protein_coding	64078	Q9HAS3.154	5138	protein_coding	2.5881669092172	1.11511089827841	97.6373547536487	2.63875226544002e-07	0.000224840541245957
FCER1G	Fc fragment of IgE receptor Ig	protein_coding	2207	NA	964	protein_coding	2.71770127540053	3.50743023258943	94.1931253026378	3.23018631749546e-07	0.000256885950542689
DAPK1	death associated protein kinase 1	protein_coding	1612	P53355.220	8908	protein_coding	3.56745519792826	2.29616077060578	92.8839822613179	3.49432640135079e-07	0.000257926901796101
TRIM17	tripartite motif containing 17	protein_coding	51127	A0A024R3R3.8	3553	protein_coding	1.94861094811992	0.184505874048656	92.0496912934374	3.67571240718728e-07	0.000257926901796101
GNG4	G protein subunit gamma 4	protein_coding	2786	B1APZ0.122	5194	protein_coding	4.17466934029627	3.97398207319282	90.8062899152339	3.96668333160796e-07	0.000262880919237507
AGTRAP	angiotensin II receptor associated protein	protein_coding	57085	Q6RW13.150	2435	protein_coding	-1.75316217020217	4.37600776061355	89.208769669216	4.38057585674072e-07	0.000272178699195918
MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	protein_coding	9223	Q96QZ7.193	11733	protein_coding	2.66957483693835	1.27402411992602	88.5582239867731	4.56331124479702e-07	0.000272178699195918
SH3BGRL2	SH3 domain binding glutamate rich protein like 2	protein_coding	83699	Q9UJC5.157	4603	protein_coding	2.83301235381291	-0.221088500083665	85.4873362568865	5.55458119746332e-07	0.000309120424774315
COL6A1	collagen type VI alpha 1 chain	protein_coding	1291	A0A384P5H7.16	5536	protein_coding	2.87016385763475	4.04591746454301	85.0881621626588	5.70093833937038e-07	0.000309120424774315
SCCPDH	saccharopine dehydrogenase (putative)	protein_coding	51097	A0A384NPM7.13	2141	protein_coding	0.949869557175757	4.23011252012165	82.4474788769823	6.78989858391774e-07	0.000352159566119803
PHLDA3	pleckstrin homology like domain family A member 3	protein_coding	23612	Q9Y5J5.153	3243	protein_coding	-1.74846532872477	2.51824665812007	79.4181054346162	8.34885304370846e-07	0.000411363440532204
SMIM24	small integral membrane protein 24	protein_coding	284422	O75264.109	1481	protein_coding	3.50481826297461	2.06306378819931	78.5139404438225	8.89197337930689e-07	0.000411363440532204
