SYMBOL	ES
1	GZMK	0.8
2	CD74	0.7
3	HLA-DRB1	0.7
4	HLA-DRA	0.66
5	HLA-DPA1	0.61
6	COTL1	0.6
7	HLA-DPB1	0.59
8	HLA-DQA1	0.58
9	GZMA	0.57
10	HLA-DQB1	0.55
11	HLA-DRB5	0.49
12	CCL5	0.46
13	ITM2C	0.46
14	CST7	0.45
15	APOBEC3G	0.45
16	GZMH	0.44
17	NKG7	0.43
18	SH2D1A	0.42
19	HLA-A	0.4
20	DUSP4	0.39
21	HLA-DMA	0.39
22	TMSB4X	0.39
23	RARRES3	0.36
24	TRAT1	0.34
25	IL32	0.34
26	CD27	0.33
27	CCR5	0.33
28	CORO1A	0.33
29	EOMES	0.33
30	ITM2A	0.33
31	GYG1	0.32
32	CCL4	0.32
33	DUSP2	0.32
34	HLA-DMB	0.32
35	CLIC1	0.31
36	CNN2	0.31
37	PFN1	0.3
38	PSMB9	0.3
39	LCP1	0.3
40	SUB1	0.29
41	LYST	0.29
42	CXCR3	0.29
43	ITGB2	0.29
44	APOBEC3H	0.28
45	CLEC2B	0.28
46	GLIPR2	0.28
47	APOBEC3C	0.28
48	ATP5E	0.27
49	F2R	0.27
50	RGS1	0.27
51	IDH2	0.27
52	CTSC	0.27
53	FABP5	0.27
54	ARHGDIB	0.27
55	HNRNPLL	0.27
56	HLA-DQA2	0.27
57	ACTB	0.26
58	CPNE7	0.26
59	GIMAP4	0.26
60	ANXA5	0.26
61	PSME2	0.26
62	CAP1	0.25
63	PSME1	0.25
64	CRTAM	0.25
65	WIPF1	0.25
66	AOAH	0.25
67	CD2	0.25
68	PTPRC	0.24
69	MYL6	0.24
70	NAA50	0.24
71	CD44	0.24
72	MYL12B	0.24
73	DTHD1	0.24
74	NFATC2	0.24
75	UBE2L6	0.24
76	HLA-C	0.24
77	GGA2	0.24
78	CXCR4	0.23
79	CD38	0.23
80	GBP5	0.23
81	CASP4	0.23
82	CCL4L2	0.23
83	ENC1	0.23
84	OASL	0.23
85	CMC1	0.23
86	CHI3L2	0.23
87	SAMD3	0.23
88	CFL1	0.23
89	PYHIN1	0.23
90	OAZ1	0.23
91	REEP5	0.22
92	RNF19A	0.22
93	PTPRCAP	0.22
94	FRMD4B	0.22
95	IFI16	0.22
96	CD8A	0.22
97	PSMA7	0.22
98	ADA	0.22
99	TERF2IP	0.22
100	ARAP2	0.22
