SYMBOL	ES
1	HAVCR2	1
2	CD27	0.84
3	VCAM1	0.78
4	LYST	0.76
5	PDCD1	0.71
6	DUSP4	0.69
7	CTLA4	0.64
8	TNFRSF9	0.63
9	HLA-DQA1	0.63
10	HLA-DRB1	0.62
11	RGS1	0.62
12	TMEM155	0.62
13	CD74	0.61
14	GZMK	0.61
15	CD200R1	0.6
16	LAG3	0.6
17	NAB1	0.58
18	HLA-DRA	0.57
19	CXCL13	0.57
20	HLA-DPA1	0.55
21	TOX	0.53
22	SIRPG	0.52
23	CXCR6	0.52
24	NKG7	0.52
25	ITM2A	0.51
26	HLA-DPB1	0.51
27	HLA-DMA	0.51
28	TIGIT	0.5
29	GZMA	0.5
30	PTMS	0.48
31	CST7	0.48
32	CCL3	0.48
33	CCL5	0.47
34	HLA-DRB5	0.46
35	TTN	0.45
36	FABP5	0.45
37	HLA-DQB1	0.44
38	SNAP47	0.42
39	MIR155HG	0.42
40	ICOS	0.42
41	HMOX1	0.42
42	HLA-A	0.41
43	CCL3L3	0.41
44	CD38	0.41
45	TNFSF4	0.41
46	TSC22D1	0.41
47	HNRNPLL	0.4
48	CADM1	0.39
49	ACP5	0.39
50	AKAP5	0.38
51	CTSC	0.37
52	CCL4	0.37
53	CCL4L2	0.36
54	PHLDA1	0.36
55	SEMA4A	0.36
56	CCDC141	0.36
57	IFNG	0.35
58	RNF19A	0.35
59	PRDM1	0.34
60	CD82	0.34
61	FKBP1A	0.34
62	SERP2	0.34
63	CARD16	0.34
64	TRAT1	0.33
65	DTHD1	0.33
66	TNIP3	0.33
67	APOBEC3C	0.33
68	NDFIP2	0.32
69	TRPS1	0.32
70	SLA	0.32
71	RGS2	0.32
72	CD8A	0.31
73	ANXA5	0.31
74	HLA-DQA2	0.31
75	LAYN	0.31
76	NAMPT	0.31
77	CBLB	0.31
78	GFOD1	0.3
79	APOBEC3G	0.3
80	MAP1LC3A	0.3
81	PRF1	0.3
82	SAMSN1	0.3
83	DUSP2	0.3
84	PMCH	0.3
85	COTL1	0.3
86	GALM	0.3
87	EOMES	0.3
88	BPGM	0.29
89	FASLG	0.29
90	BATF	0.29
91	PARK7	0.29
92	GGA2	0.29
93	CD2	0.29
94	IGFLR1	0.29
95	IFI16	0.29
96	CMC1	0.29
97	CSF1	0.28
98	DUSP5	0.28
99	CCR5	0.28
100	ETV1	0.28
