SYMBOL	ES
1	GZMK	1.16
2	DUSP2	0.57
3	CMC1	0.56
4	CST7	0.49
5	CXCR4	0.48
6	DKK3	0.45
7	SH2D1A	0.44
8	CD74	0.42
9	ENC1	0.42
10	TRAT1	0.42
11	DTHD1	0.36
12	PIK3R1	0.34
13	EOMES	0.34
14	CRTAM	0.34
15	CXCR5	0.34
16	TC2N	0.3
17	TUBA4A	0.3
18	MALAT1	0.29
19	RPS27	0.28
20	KLRG1	0.28
21	CD28	0.28
22	CCR4	0.27
23	CLDND1	0.27
24	GPR183	0.27
25	CD44	0.26
26	BTG1	0.26
27	YPEL5	0.25
28	SRGN	0.25
29	FYN	0.25
30	HLA-DPB1	0.25
31	TMEM2	0.24
32	RPL28	0.24
33	DNAJB1	0.24
34	ITM2C	0.24
35	EPHA4	0.24
36	TNFSF9	0.24
37	MS4A1	0.24
38	CCL4	0.24
39	GZMM	0.24
40	HLA-DPA1	0.23
41	LYST	0.23
42	HLA-DRB1	0.23
43	RPS15A	0.23
44	AOAH	0.22
45	EIF1	0.22
46	FCRL3	0.22
47	SRSF7	0.22
48	RPS29	0.22
49	RNF19A	0.21
50	HLA-A	0.21
51	RPL13A	0.21
52	NFATC2	0.2
53	APMAP	0.2
54	ZNF331	0.2
55	LGR6	0.2
56	RPL23A	0.2
57	HNRNPLL	0.2
58	HLA-DQB1	0.19
59	RPS25	0.19
60	RPL27A	0.19
61	HLA-DQA1	0.19
62	COTL1	0.19
63	GZMA	0.18
64	F2R	0.18
65	RPLP2	0.18
66	MARCKSL1	0.18
67	PTPRC	0.18
68	RPL13	0.18
69	CCL5	0.18
70	NAA50	0.18
71	H3F3B	0.17
72	FAM102A	0.17
73	NR4A2	0.17
74	PDCD4	0.17
75	SAMD3	0.17
76	CCL4L2	0.17
77	RGCC	0.17
78	RPS3	0.17
79	DUSP1	0.16
80	IFRD1	0.16
81	GGA2	0.16
82	PASK	0.16
83	ARAP2	0.16
84	CCL3L3	0.16
85	FAM46C	0.16
86	CHI3L2	0.16
87	RGS1	0.15
88	PLEK	0.15
89	PLCG2	0.15
90	PDLIM1	0.15
91	YBX3	0.15
92	PDE4B	0.15
