SYMBOL	ES
1	IL7R	0.55
2	ZFP36L2	0.5
3	CXCR4	0.41
4	ZFP36	0.4
5	BTG1	0.39
6	ANXA1	0.36
7	LMNA	0.36
8	CD55	0.32
9	TSC22D3	0.32
10	TNFAIP3	0.32
11	FTH1	0.31
12	RGCC	0.3
13	GPR183	0.3
14	FOSB	0.26
15	MYADM	0.26
16	PABPC1	0.26
17	YPEL5	0.26
18	FOS	0.25
19	JUNB	0.25
20	FAM177A1	0.24
21	PDE4B	0.24
22	PTGER4	0.23
23	LEPROTL1	0.23
24	VIM	0.23
25	SLC2A3	0.22
26	PFKFB3	0.22
27	EIF1	0.22
28	CDKN1A	0.21
29	EML4	0.2
30	PERP	0.2
31	TPT1	0.2
32	PER1	0.2
33	BTG2	0.2
34	AREG	0.2
35	MALAT1	0.2
36	NR4A2	0.19
37	FOSL2	0.19
38	RORA	0.19
39	RPS27	0.19
40	CSRNP1	0.19
41	CD44	0.19
42	PARP8	0.19
43	ARL4A	0.19
44	FAM46C	0.18
45	ZNF331	0.18
46	GLIPR1	0.18
47	KLF6	0.18
48	DUSP1	0.18
49	RPS3	0.18
50	SKIL	0.18
51	PLK3	0.18
52	EEF1A1	0.18
53	S100A10	0.17
54	CAMK4	0.17
55	MCL1	0.17
56	CREM	0.17
57	LINC-PINT	0.17
58	CD69	0.17
59	SC5D	0.17
60	PDCD4	0.17
61	GFPT2	0.17
62	GABARAPL1	0.17
63	SMIM3	0.17
64	EZR	0.17
65	RPLP2	0.17
66	PBX4	0.17
67	LSR	0.17
68	TIPARP	0.17
69	STAT4	0.17
70	RPS12	0.16
71	FAM129A	0.16
72	JUND	0.16
73	PIK3R1	0.16
74	SRGN	0.16
75	TOB1	0.16
76	PTMA	0.16
77	RPL39	0.16
78	TUBB4B	0.16
79	RPL30	0.16
80	RPS18	0.16
81	CCNH	0.16
82	KDM6B	0.16
83	AHNAK	0.16
84	ATP1B1	0.16
85	RPS29	0.15
86	SRSF2	0.15
87	TUBB2A	0.15
88	RPL13	0.15
89	RPS14	0.15
90	NR4A3	0.15
91	ELL2	0.15
92	RPLP1	0.15
