SYMBOL	ES
1	CMC1	1.12
2	TYROBP	1.06
3	KLRF1	0.9
4	CD160	0.82
5	IKZF2	0.77
6	KIR2DL3	0.75
7	GCSAM	0.73
8	KLRD1	0.73
9	KIR3DL2	0.71
10	DUSP2	0.7
11	KLRG1	0.68
12	KIR2DL1	0.65
13	PIK3R1	0.64
14	PLCG2	0.63
15	NCR1	0.62
16	CST7	0.62
17	KLRC3	0.6
18	AOAH	0.6
19	GZMK	0.56
20	XCL2	0.55
21	PDGFD	0.52
22	KIR3DL1	0.51
23	APMAP	0.49
24	PIK3AP1	0.48
25	EOMES	0.47
26	LYST	0.46
27	KLRC2	0.45
28	FCRL3	0.45
29	PTGDR	0.42
30	FAM49A	0.41
31	DUSP1	0.41
32	CHPT1	0.41
33	SH2D1A	0.41
34	ZFP36	0.41
35	FOS	0.4
36	SRGN	0.4
37	IFNGR1	0.39
38	S1PR5	0.39
39	CXCR4	0.38
40	NR4A2	0.38
41	FYN	0.37
42	LITAF	0.37
43	TUBA4A	0.37
44	NKG7	0.37
45	PDLIM1	0.37
46	XCL1	0.36
47	CD74	0.36
48	GZMM	0.36
49	TMEM2	0.36
50	VIPR2	0.35
51	FCGR3A	0.35
52	CRTAM	0.35
53	FAM177A1	0.34
54	PLAC8	0.34
55	FCRL6	0.33
56	FEZ1	0.33
57	TRIO	0.33
58	FGR	0.32
59	PITPNC1	0.32
60	DKK3	0.32
61	ZNF331	0.31
62	LPCAT1	0.31
63	CD300A	0.31
64	SKAP2	0.3
65	HCST	0.3
66	HLA-A	0.3
67	ADAM28	0.3
68	IDI1	0.3
69	IRF8	0.3
70	HLA-DQA1	0.3
71	IL2RB	0.3
72	LYN	0.29
73	TNFSF9	0.29
74	LGR6	0.29
75	CTSW	0.28
76	ABCB1	0.28
77	TRAT1	0.28
78	SH2D2A	0.28
79	PRKCH	0.28
80	PDE4A	0.27
81	OFD1	0.27
82	BTG1	0.27
83	MAPK1	0.27
84	RAB9A	0.26
85	HSPA5	0.26
86	PDCD4	0.26
87	IFRD1	0.26
88	DTHD1	0.26
89	YES1	0.26
90	H3F3B	0.26
91	CTBP2	0.25
92	MAFF	0.25
93	MATK	0.25
94	PABPC1	0.25
95	HLA-B	0.25
96	TUBB4A	0.25
97	REL	0.25
98	VPS37B	0.25
99	ERGIC1	0.25
100	IRF1	0.24
