SYMBOL	ES
1	TYROBP	1.59
2	KIR2DL3	1.58
3	KLRC2	1.49
4	KIR3DL2	1.45
5	KIR2DL4	1.31
6	KIR2DL1	1.27
7	KLRC3	1.14
8	LAT2	1.09
9	B3GNT7	0.99
10	KIR3DL1	0.95
11	XCL1	0.92
12	SPRY2	0.92
13	IKZF2	0.91
14	KLRD1	0.85
15	FCER1G	0.83
16	GNLY	0.82
17	LYN	0.8
18	CD7	0.8
19	HOPX	0.73
20	NCR1	0.72
21	CD160	0.71
22	XCL2	0.68
23	NCAM1	0.68
24	CD63	0.65
25	SH2D1B	0.64
26	KRT81	0.63
27	CTSW	0.6
28	AREG	0.59
29	NCR3	0.58
30	KRT86	0.58
31	PLCG2	0.57
32	TNFRSF18	0.57
33	FES	0.57
34	PDE4A	0.56
35	TXK	0.55
36	ADAM28	0.55
37	PIK3AP1	0.54
38	FOSL2	0.51
39	PABPC1	0.5
40	SLC16A3	0.5
41	LDLRAD4	0.5
42	ATP8B4	0.5
43	IL2RB	0.49
44	MATK	0.49
45	KLRC1	0.48
46	REL	0.48
47	ITGAX	0.48
48	PIK3R1	0.48
49	PIK3R6	0.48
50	ABCB1	0.46
51	ZNF683	0.45
52	AOAH	0.45
53	ZFP36	0.44
54	SYNGR1	0.44
55	RIN3	0.43
56	ZFP36L2	0.42
57	FCRL6	0.42
58	NR4A2	0.42
59	ADRB1	0.42
60	CD300A	0.39
61	VPS37B	0.39
62	CTSA	0.39
63	MAFF	0.39
64	GPR65	0.39
65	IRF8	0.38
66	CLNK	0.38
67	CAPN12	0.38
68	PTPN22	0.38
69	NR4A3	0.38
70	SERPINB6	0.37
71	UBASH3B	0.37
72	CCDC50	0.37
73	ZNF331	0.37
74	LINC00996	0.36
75	DGKD	0.36
76	GSTP1	0.36
77	SLA2	0.36
78	DOCK5	0.36
79	CXXC5	0.36
80	TMSB4X	0.36
81	FAM49A	0.35
82	MAP3K8	0.35
83	MGLL	0.35
84	FOS	0.35
85	FAM177A1	0.35
86	SYK	0.35
87	LITAF	0.35
88	NR4A1	0.34
89	CD9	0.34
90	ID3	0.34
91	TLE1	0.34
92	EPAS1	0.34
93	ARHGAP9	0.33
94	CAPG	0.33
95	SCML4	0.33
96	CDIP1	0.33
97	PDGFD	0.32
98	RHOC	0.32
99	IFITM3	0.32
100	IFITM2	0.32
