SYMBOL	ES
1	BIRC5	1.63
2	RRM2	1.56
3	CDC20	1.49
4	CCNB2	1.47
5	TYMS	1.4
6	UBE2C	1.4
7	MYBL2	1.34
8	CENPW	1.28
9	ZWINT	1.25
10	TK1	1.22
11	PLK1	1.22
12	MKI67	1.21
13	CCNA2	1.2
14	DLGAP5	1.2
15	GINS2	1.19
16	CDKN3	1.18
17	AURKB	1.17
18	PKMYT1	1.14
19	HMGB3	1.11
20	GTSE1	1.11
21	UHRF1	1.1
22	TROAP	1.09
23	ACTB	1.05
24	DHFR	1.04
25	MND1	1.03
26	CDCA3	1.03
27	TOP2A	1.03
28	STMN1	1.03
29	HMMR	1.01
30	CDT1	1.01
31	TUBB	0.99
32	MCM10	0.99
33	TPX2	0.98
34	CEP55	0.98
35	SHCBP1	0.98
36	ASF1B	0.97
37	ASPM	0.96
38	SPC24	0.92
39	SPC25	0.91
40	CCNB1	0.91
41	CDCA5	0.91
42	CDC45	0.91
43	PFN1	0.91
44	CENPU	0.89
45	NME1	0.88
46	CDCA8	0.88
47	ACTG1	0.87
48	DEPDC1	0.86
49	CENPA	0.86
50	CLSPN	0.85
51	RAD51	0.85
52	PAICS	0.84
53	TUBA1B	0.84
54	CENPM	0.84
55	KIFC1	0.84
56	KIF2C	0.83
57	MCM7	0.83
58	SKA3	0.82
59	CDK1	0.82
60	NUF2	0.81
61	KIF14	0.8
62	HIST1H1B	0.8
63	HJURP	0.79
64	E2F2	0.79
65	NUSAP1	0.79
66	DUT	0.78
67	PHF19	0.77
68	FOXM1	0.77
69	DTL	0.77
70	CKS1B	0.77
71	CDCA7	0.77
72	MAD2L1	0.77
73	KIF4A	0.76
74	GAPDH	0.75
75	ORC6	0.75
76	RPLP0	0.75
77	SMC2	0.75
78	PPIA	0.75
79	DIAPH3	0.74
80	NCAPG	0.74
81	HMGN2	0.74
82	DEPDC1B	0.74
83	KIF20A	0.73
84	SKA1	0.73
85	ENO1	0.73
86	MT1E	0.73
87	LDHB	0.73
88	OIP5	0.72
89	CENPF	0.71
90	CDCA2	0.71
91	FEN1	0.71
92	RANBP1	0.71
93	PRDX3	0.71
94	MCM2	0.7
95	KIF15	0.69
96	ATP5G3	0.69
97	COTL1	0.69
98	TMSB10	0.68
99	NME2	0.68
100	MCM4	0.68
