SYMBOL	ES
1	CXCL13	0.71
2	LAYN	0.59
3	HAVCR2	0.58
4	CTLA4	0.56
5	ENTPD1	0.53
6	TNFRSF9	0.47
7	TNFRSF18	0.47
8	PHLDA1	0.45
9	CSF1	0.45
10	ACP5	0.45
11	TIGIT	0.42
12	KIR2DL4	0.38
13	AHI1	0.35
14	MIR155HG	0.35
15	ETV1	0.34
16	MAST4	0.34
17	MYO7A	0.34
18	TNS3	0.33
19	AKAP5	0.32
20	CCL3	0.3
21	VCAM1	0.3
22	INPP5F	0.3
23	RIN3	0.29
24	IFITM10	0.29
25	LYST	0.28
26	FAM3C	0.28
27	PDCD1	0.27
28	LAG3	0.27
29	SNAP47	0.26
30	PRDM1	0.26
31	DBH-AS1	0.25
32	DUSP4	0.25
33	BATF	0.24
34	TOX	0.23
35	SARDH	0.21
36	FUT8	0.21
37	MAOB	0.21
38	KRT81	0.2
39	PAM	0.2
40	DGKH	0.2
41	NEBL	0.2
42	CD7	0.19
43	GCNT1	0.19
44	TNIP3	0.18
45	SHC4	0.18
46	TIAM1	0.18
47	RAB27A	0.17
48	ABCA2	0.17
49	CBLB	0.17
50	AFAP1L2	0.17
51	TMPO-AS1	0.15
