SYMBOL	ES
1	LHFP	1.47
2	CD200	1.4
3	GNG4	1.35
4	CXCL13	1.15
5	TNFRSF4	1.12
6	IGFL2	1.12
7	CPM	0.99
8	NMB	0.94
9	SESN3	0.93
10	EBI3	0.9
11	BTLA	0.87
12	TSHZ2	0.86
13	IGFBP4	0.85
14	MS4A6A	0.82
15	PASK	0.8
16	CHN1	0.8
17	CHGB	0.78
18	PTPN13	0.76
19	CAV1	0.75
20	TCF7	0.73
21	NR3C1	0.72
22	COL9A2	0.72
23	C1orf228	0.68
24	GK	0.64
25	TBC1D4	0.64
26	FAAH2	0.63
27	MAGEH1	0.63
28	THADA	0.63
29	CD79A	0.62
30	PHACTR2	0.59
31	SMCO4	0.58
32	LIMS2	0.58
33	LY96	0.57
34	ITM2A	0.57
35	UNQ6494	0.55
36	PTPN14	0.54
37	MYL6B	0.53
38	RPS8	0.53
39	CCR7	0.52
40	EPHX2	0.52
41	SELL	0.52
42	FGFR1	0.52
43	GEM	0.5
44	CD27	0.49
45	TIGIT	0.49
46	TOX	0.49
47	EEF1A1	0.49
48	IL6R	0.48
49	CORO1B	0.48
50	BATF	0.47
51	CD28	0.47
52	KIAA1324	0.47
53	LIMS1	0.47
54	IKZF4	0.46
55	FKBP5	0.46
56	STAM	0.46
57	TTN	0.45
58	METTL8	0.45
59	STAC	0.45
60	RPL11	0.45
61	CYSLTR1	0.45
62	CTSL	0.43
63	SH2D1A	0.43
64	CXorf21	0.43
65	CNIH1	0.42
66	PHEX	0.42
67	DUSP4	0.42
68	CD80	0.41
69	SEPT6	0.4
70	RNF19A	0.4
71	DNPH1	0.4
72	SARDH	0.4
73	NAB1	0.39
74	ICOS	0.39
75	PTK2	0.39
76	TESPA1	0.39
77	SMPDL3A	0.38
78	DGKA	0.38
79	TNFSF8	0.38
80	CYBRD1	0.37
81	CTHRC1	0.37
82	CD40LG	0.37
83	ELMO1	0.37
84	RPL8	0.36
85	AP3S1	0.36
86	GPX4	0.36
87	RPLP1	0.36
88	SIRPG	0.36
89	LRRC8D	0.36
90	ZC2HC1A	0.36
91	IFNAR2	0.35
92	RPL12	0.35
93	TNFRSF25	0.35
94	RPL6	0.35
95	NDFIP2	0.35
96	RPL18	0.35
97	C16orf45	0.35
98	ATP5G2	0.35
99	SMAP2	0.34
100	BIRC3	0.34
