SYMBOL	ES
1	SLC4A10	3.06
2	KLRB1	2.09
3	CCR6	1.82
4	IL23R	1.65
5	RORC	1.64
6	TMIGD2	1.48
7	IL4I1	1.48
8	ZBTB16	1.39
9	NCR3	1.27
10	CCL20	1.25
11	LTK	1.19
12	CA2	1.17
13	ME1	1.15
14	CEBPD	1.11
15	AQP3	1.09
16	CD40LG	1.08
17	LTB	1.07
18	ADAM12	1.06
19	DPP4	1.06
20	IL7R	1.06
21	COLQ	1
22	CTSH	1
23	LST1	0.97
24	BLK	0.91
25	TNFRSF25	0.91
26	TLE1	0.9
27	TNFSF13B	0.89
28	TSPAN15	0.87
29	RORA	0.86
30	IL17RE	0.76
31	HPGD	0.75
32	SPOCK2	0.74
33	TPBG	0.71
34	ERN1	0.7
35	B3GALT2	0.67
36	P2RY14	0.66
37	PRSS35	0.65
38	PLD1	0.64
39	MCAM	0.62
40	FSD1	0.62
41	SCRN1	0.62
42	S100A4	0.61
43	PTPN13	0.61
44	TRIQK	0.61
45	RPLP1	0.6
46	IL18RAP	0.6
47	IFNGR1	0.59
48	NFKBIA	0.59
49	COL5A1	0.56
50	FEZ1	0.56
51	SLAMF1	0.55
52	NR1D1	0.55
53	B3GNT8	0.55
54	RUNX2	0.54
55	TPT1	0.54
56	CERK	0.54
57	ODF2L	0.54
58	CXCR6	0.53
59	FLT4	0.53
60	MATN2	0.53
61	SESN1	0.52
62	EEF1A1	0.52
63	RPLP0	0.51
64	SATB1	0.5
65	KIF5C	0.5
66	NRIP1	0.49
67	MYBL1	0.49
68	ABCB1	0.49
69	GPR65	0.49
70	FKBP11	0.48
71	IL26	0.48
72	IL17A	0.48
73	KIT	0.47
74	PHACTR2	0.47
75	NTN4	0.47
76	TTC39C	0.46
77	PBXIP1	0.46
78	FURIN	0.44
79	ESPN	0.43
80	IL18R1	0.43
81	MGAT4A	0.42
82	RAB6B	0.42
83	CHD7	0.41
84	PLXND1	0.41
85	PDE4D	0.41
86	OSTF1	0.41
87	PERP	0.4
88	GNA15	0.39
89	COL5A3	0.39
90	DUSP1	0.38
91	CD69	0.38
92	SPON1	0.37
93	TNFAIP3	0.37
94	NEO1	0.37
95	TBXAS1	0.37
96	PRNP	0.37
97	DSE	0.37
98	PIM1	0.36
99	CD83	0.36
100	CCDC107	0.36
