SYMBOL	ES
1	FGFBP2	3.07
2	FCGR3A	1.95
3	CX3CR1	1.67
4	S1PR5	1.43
5	PRSS23	1.4
6	GNLY	1.3
7	GZMH	1.1
8	NKG7	1.08
9	KLRD1	1.02
10	FGR	1.02
11	PLEK	0.96
12	C1orf21	0.96
13	GZMB	0.94
14	SPON2	0.93
15	KLRF1	0.92
16	PRF1	0.91
17	PLAC8	0.88
18	ITGAM	0.87
19	EFHD2	0.83
20	LILRB1	0.81
21	FCRL6	0.8
22	RAP1GAP2	0.79
23	KLRG1	0.76
24	TTC38	0.76
25	ASCL2	0.73
26	TGFBR3	0.68
27	FLNA	0.67
28	LAIR2	0.67
29	S1PR1	0.65
30	PXN	0.64
31	VCL	0.64
32	PLEKHG3	0.62
33	KLF2	0.62
34	OSBPL5	0.6
35	CST7	0.6
36	ITGB2	0.59
37	KLF3	0.58
38	ZEB2	0.58
39	PROK2	0.57
40	FCGR3B	0.57
41	MYOM2	0.56
42	ADRB2	0.55
43	C12orf75	0.55
44	PTGDS	0.54
45	CTSW	0.54
46	EMP3	0.53
47	TM4SF19	0.53
48	BIN2	0.52
49	HLA-C	0.52
50	S100A4	0.51
51	TBX21	0.51
52	CD300A	0.51
53	CXCR2	0.5
54	SLC1A7	0.5
55	ITGB1	0.5
56	SYNE1	0.5
57	LPCAT1	0.49
58	PATL2	0.49
59	MYO1F	0.49
60	LITAF	0.49
61	CMKLR1	0.48
62	DSTN	0.48
63	B2M	0.48
64	CEP78	0.48
65	TPST2	0.48
66	MTSS1	0.47
67	AES	0.47
68	SLCO4C1	0.47
69	TYROBP	0.46
70	GK5	0.46
71	TMSB10	0.46
72	SH3BP5	0.45
73	RASGRP2	0.45
74	LYN	0.44
75	AKR1C3	0.44
76	RAP1B	0.43
77	AGPAT4	0.42
78	PALLD	0.42
79	RASA3	0.42
80	TTC16	0.42
81	SAMD3	0.42
82	CXCR1	0.41
83	PFN1	0.4
84	COL6A2	0.4
85	TSPAN2	0.39
86	STK38	0.39
87	GZMM	0.39
88	ADD3	0.39
89	KIF19	0.39
90	SSBP3	0.38
91	MYO1G	0.38
92	CCND3	0.38
93	SPN	0.38
94	LGALS1	0.38
95	PDGFD	0.37
96	MATK	0.37
97	MYBL1	0.36
98	IFITM2	0.36
99	MLC1	0.36
100	RASSF1	0.36
