SYMBOL	ES
1	CXCL13	1.69
2	TNFRSF9	1.4
3	LAYN	1.35
4	ENTPD1	1.3
5	HAVCR2	1.23
6	CTLA4	1.2
7	KRT86	1.11
8	TNFRSF18	1.09
9	GEM	1
10	TIGIT	0.95
11	DUSP4	0.92
12	PHLDA1	0.92
13	VCAM1	0.91
14	SNX9	0.89
15	MYO7A	0.88
16	MYO1E	0.87
17	KIR2DL4	0.86
18	AFAP1L2	0.86
19	RBPJ	0.84
20	TNS3	0.8
21	ETV1	0.8
22	PDLIM4	0.79
23	PDCD1	0.79
24	HMOX1	0.78
25	CD82	0.77
26	AKAP5	0.77
27	TOX	0.76
28	GAPDH	0.76
29	TNFSF4	0.74
30	NDFIP2	0.74
31	LAG3	0.73
32	FAM3C	0.73
33	ZBED2	0.73
34	GOLIM4	0.72
35	MIR155HG	0.72
36	MS4A6A	0.72
37	SIRPG	0.71
38	ACP5	0.71
39	RGS1	0.7
40	RGS2	0.69
41	CD200	0.67
42	CD27	0.67
43	PDE7B	0.66
44	LMCD1	0.66
45	FKBP1A	0.66
46	GZMB	0.66
47	AHI1	0.65
48	TBC1D4	0.64
49	SNAP47	0.64
50	SRGAP3	0.64
51	SARDH	0.64
52	TOX2	0.63
53	KRT81	0.63
54	ATP8B4	0.63
55	IGFLR1	0.62
56	LYST	0.62
57	PKM	0.61
58	CSF1	0.61
59	INPP5F	0.59
60	VDR	0.59
61	PTMS	0.59
62	CLNK	0.59
63	CAMK1	0.58
64	NAB1	0.58
65	SYNGR2	0.58
66	ITGAE	0.58
67	CHN1	0.58
68	CCND2	0.57
69	IFITM10	0.56
70	TSPAN13	0.56
71	ZC3H12C	0.56
72	CCL3	0.56
73	PARK7	0.56
74	ITM2A	0.56
75	DNPH1	0.55
76	PON2	0.55
77	GALNT2	0.55
78	MAST4	0.55
79	FUT8	0.54
80	RAB27A	0.54
81	CD109	0.54
82	TPI1	0.54
83	IL2RA	0.54
84	SOX4	0.54
85	CD7	0.54
86	UBE2F	0.54
87	GNG4	0.54
88	ID3	0.53
89	CTSD	0.53
90	FABP5	0.52
91	PHEX	0.52
92	RGS13	0.52
93	GFOD1	0.51
94	CXCR6	0.51
95	ASB2	0.51
96	LRRN3	0.51
97	ICOS	0.51
98	HLA-DRA	0.5
99	CD63	0.5
100	BATF	0.5
