SYMBOL	ES
1	CCR7	1.74
2	LEF1	1.56
3	SELL	1.44
4	MAL	1.14
5	IL7R	1.11
6	RPL32	1.05
7	RPL13	1.01
8	EEF1A1	1
9	TCF7	0.99
10	RPL34	0.96
11	LTB	0.95
12	ACTN1	0.95
13	RPS12	0.95
14	RPS3A	0.92
15	RPS6	0.91
16	RPL11	0.89
17	RPS13	0.89
18	RPS8	0.88
19	TRABD2A	0.86
20	RPS18	0.85
21	RPL19	0.83
22	RPS23	0.83
23	RPS14	0.82
24	RPL10	0.82
25	RPL3	0.82
26	TPT1	0.78
27	RPL30	0.77
28	RPS5	0.76
29	RPS4X	0.76
30	RPLP2	0.76
31	RPL18A	0.76
32	RPS27A	0.75
33	RPL39	0.75
34	RPL5	0.75
35	RPS28	0.73
36	EEF1B2	0.73
37	RPS3	0.72
38	RPL22	0.72
39	RPL18	0.71
40	RPL9	0.71
41	NELL2	0.71
42	NOSIP	0.7
43	RPL8	0.69
44	RPL37	0.69
45	KLF2	0.69
46	PABPC1	0.69
47	LDLRAP1	0.69
48	RPS25	0.68
49	RPL36	0.67
50	RPL14	0.67
51	RPS2	0.67
52	RPL21	0.66
53	RPLP0	0.66
54	RPL29	0.66
55	RPL35A	0.66
56	PASK	0.66
57	RPL12	0.65
58	TMEM123	0.65
59	LDHB	0.65
60	TXK	0.65
61	RPL10A	0.64
62	RPS10	0.64
63	RPL13A	0.64
64	RPS16	0.63
65	RPL4	0.63
66	SERINC5	0.63
67	SPINT2	0.63
68	RPS21	0.63
69	RPL7	0.62
70	BACH2	0.61
71	MYC	0.6
72	RPLP1	0.6
73	RPS9	0.59
74	RPSA	0.59
75	CD55	0.58
76	RPS15	0.57
77	EEF1G	0.56
78	SCML1	0.56
79	RPL31	0.56
80	RPS15A	0.55
81	S1PR1	0.55
82	RASGRP2	0.54
83	C1orf228	0.54
84	RPS27	0.52
85	C1orf162	0.51
86	EEF2	0.51
87	SATB1	0.51
88	RPL6	0.51
89	RPL26	0.5
90	EIF3E	0.5
91	NOG	0.5
92	CD248	0.5
93	RPL38	0.5
94	RPL28	0.49
95	THEM4	0.49
96	PLAC8	0.48
97	IL6R	0.48
98	ICAM2	0.47
99	VIPR1	0.47
100	FLT3LG	0.47
