SYMBOL	ES
1	HSPA1B	0.51
2	ACTB	0.42
3	TXNIP	0.41
4	HSPA1A	0.39
5	CCL5	0.37
6	CD52	0.37
7	ZNF683	0.36
8	TRAF3IP3	0.35
9	SH3BGRL3	0.33
10	SIT1	0.32
11	S100A4	0.32
12	CISH	0.32
13	IL32	0.31
14	GZMA	0.31
15	MYL12A	0.29
16	HSPA6	0.29
17	PTPRCAP	0.29
18	PFN1	0.29
19	ACTG1	0.28
20	TNF	0.28
21	HCST	0.27
22	CLIC1	0.26
23	TBC1D10C	0.26
24	CKLF	0.25
25	LCP2	0.25
26	GIMAP4	0.25
27	PPP1R18	0.24
28	ZYX	0.24
29	RAC2	0.24
30	IFNG	0.24
31	EMP3	0.24
32	GIMAP7	0.23
33	LINC00861	0.23
34	CORO1A	0.22
35	NKG7	0.21
36	TMSB10	0.21
37	S100A6	0.21
38	CD2	0.21
39	PTGDR	0.21
40	EVL	0.2
41	CYTH4	0.2
42	RCSD1	0.2
43	AGTRAP	0.2
44	RGS19	0.2
45	LAT	0.2
46	GZMH	0.2
47	GLIPR2	0.2
48	SASH3	0.2
49	B2M	0.2
50	LGALS1	0.19
51	TMSB4X	0.19
52	MYO1F	0.19
53	SH2D3C	0.19
54	MALAT1	0.19
55	PSMB9	0.18
56	ACAP1	0.18
57	LY6E	0.18
58	PTPN6	0.17
59	CD244	0.17
60	CD99	0.17
61	EGR1	0.17
62	PDLIM2	0.17
63	PYCARD	0.17
64	SH3BP1	0.16
65	LIME1	0.16
66	FCRL6	0.16
67	C5orf56	0.16
68	CSK	0.16
69	GSTK1	0.16
70	PLEKHF1	0.16
71	DENND2D	0.16
72	GIMAP1	0.16
73	CALHM2	0.15
74	GIMAP6	0.15
75	SAMD3	0.15
76	CTSW	0.15
77	THEMIS	0.15
