SYMBOL	ES
1	CAPG	0.64
2	TMSB4X	0.62
3	ZNF683	0.58
4	S100A4	0.56
5	LGALS3	0.55
6	ACTB	0.52
7	SH3BGRL3	0.51
8	CD52	0.5
9	LGALS1	0.48
10	HOPX	0.47
11	CKLF	0.47
12	ITGA1	0.47
13	LDLRAD4	0.46
14	ALOX5AP	0.46
15	VIM	0.46
16	GAPDH	0.45
17	CXCR6	0.44
18	CD63	0.43
19	KLRC1	0.43
20	S100A6	0.43
21	PGK1	0.42
22	ITGAE	0.41
23	CD7	0.41
24	CLIC1	0.41
25	IL32	0.41
26	S100A11	0.4
27	SAMSN1	0.4
28	ANXA2	0.39
29	CD2	0.39
30	GZMB	0.39
31	COTL1	0.39
32	MYL6	0.39
33	TPM4	0.38
34	CFL1	0.38
35	XCL1	0.38
36	PFN1	0.37
37	ARHGDIB	0.36
38	CTSD	0.35
39	LSP1	0.35
40	FKBP1A	0.34
41	PFKFB3	0.34
42	CCL5	0.34
43	GPR25	0.34
44	ADAM19	0.34
45	CRIP1	0.33
46	ACTG1	0.33
47	ANXA1	0.33
48	CTSA	0.33
49	CORO1A	0.33
50	RAC2	0.32
51	CXCR3	0.32
52	MYL12B	0.32
53	PTPN22	0.32
54	LCP1	0.31
55	PTGER4	0.31
56	ID2	0.31
57	ARPC3	0.31
58	GZMA	0.31
59	MYL12A	0.31
60	SPRY1	0.3
61	ANKRD28	0.3
62	OSTF1	0.3
63	TXN	0.3
64	ZFP36L2	0.3
65	RGS1	0.3
66	ZYX	0.3
67	ATP5E	0.3
68	CAPZB	0.3
69	CD96	0.3
70	GLIPR1	0.29
71	NDUFS5	0.29
72	CAP1	0.29
73	S100A10	0.29
74	ITM2C	0.28
75	IFITM2	0.28
76	TMEM14C	0.28
77	TAGLN2	0.28
78	PERP	0.28
79	ABRACL	0.28
80	EMB	0.28
81	ARPC1B	0.28
82	SMIM3	0.28
83	ARPC2	0.28
84	XCL2	0.27
85	LDHA	0.27
86	IDH2	0.27
87	MSN	0.27
88	ANXA5	0.27
89	TNFAIP3	0.27
90	MCL1	0.27
91	PSME2	0.26
92	PHLDA1	0.26
93	CD3D	0.26
94	GLUL	0.26
95	PPP1CA	0.26
96	FKBP11	0.26
97	TPM3	0.26
98	ACTR3	0.26
99	CD53	0.26
100	RBPJ	0.26
