	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
ACTB	12.11493962613	12.1032040930685	12.5824697613896	11.831547342187	12.1441656570895	12.1503032377305	12.624168405797	11.9670011105864	12.1283451472616	11.8859979652434	12.4437083308846	12.0989985883217	11.9286867584762	12.232575210142	12.7704012944294	12.3145120831542
CCL5	11.0220133963621	12.5994198979049	9.51501185369616	12.6849803286297	11.5209770940116	12.5403899846625	10.0944822503112	12.7873199402562	11.6181696156181	12.7228570766461	10.4795835276117	12.7685899215242	11.2747266242167	12.5230470600165	9.982748481067	12.3683005735892
TMSB4X	11.0164147008408	11.0322901130918	11.3633363432315	11.1672757673392	11.0545839483276	10.9964618010058	11.2303131276053	11.0859602839448	11.1319737881425	11.0948765605638	11.3998751370852	11.155737761703	11.1017195277753	11.2019195428	11.4930358785835	11.1752293499669
HLA-A	10.9853519769912	11.3432198041528	10.7720855518342	11.0071079473602	11.0439127449755	11.2056507457818	10.5420118176047	11.0818070099553	10.6391550773983	10.8008671761994	10.3830145569422	10.4395132518418	11.0095392503628	11.4894333541708	10.3711590310071	10.7761464947963
LCP1	10.4892105454771	10.6350722433158	11.2619807214842	10.3996507913958	10.8686710438102	10.7941196391614	11.3726746369236	10.5232065686784	10.8856689909471	10.7069452400442	11.3938125051921	10.7978277018279	10.6525469636264	10.7403522015735	11.4861144890004	10.6552180838104
IL32	10.6300787706866	10.7664346324235	10.7838777560546	10.3895665753067	10.678569623285	10.4876908064504	10.4544680844134	10.6571327186895	10.7344431534249	10.5311629436678	10.6453656207569	10.2486758999209	10.5337935243744	10.8867482858892	10.5002570618627	10.2081418824665
PTPRC	10.4871939586698	10.4914166258294	9.65426812191079	10.2483717016041	10.451891412173	10.5614979890704	9.79694884631702	10.5155339583501	10.3791960380169	10.6609642897897	10.0252591272598	10.565314469003	10.6690183178408	10.3030356600208	10.0567838440388	10.3542418891619
HLA-C	10.4579435200256	10.7183551038194	9.81737509619357	10.3838395559641	10.6433226594869	10.7959181227974	9.89001995360901	10.6436295404471	10.1704333162262	10.2906958988774	9.7247731767449	9.82753153422554	10.1442868424522	10.5720064188205	9.24799033191681	9.73038006361853
CD8A	10.1751904624938	10.5664032518589	9.45333866763605	10.4634673764765	10.251125490933	10.5061181906924	9.68611404792538	10.5860274785914	10.2420410415608	10.5851630884356	9.68196077262517	10.5563992292243	10.1924984017108	10.5171619008859	9.68884306342341	10.420716769917
PFN1	10.0847617351994	10.2321519324755	10.6511491916406	9.88195240433065	10.2486668734151	10.3549347472317	10.4467983611131	10.1248037610694	10.0944802085908	9.97639598791904	10.2885085633406	9.99122100461956	9.95783631436272	10.370488718889	10.535463843801	10.1759910013566
CD74	9.96272461489505	10.4558622913895	9.68517315542713	8.80240931443795	10.6164510356639	10.8580668914776	10.3987316380778	9.87974904360817	10.2828678938977	10.2415364906186	10.3166724452327	9.86076487561775	10.0262568902358	10.7683788873756	9.97602733132988	9.83659516633587
CORO1A	9.84083327876148	10.3364306023403	9.897968600161	10.0306741185432	10.038771371647	10.3821487428015	10.0878079118937	10.2400980315051	9.90275520371031	10.0996923882206	9.97977360569216	10.0157399692529	9.75957145129866	10.6796637624835	9.98316751507872	10.404418417663
ARHGDIB	9.76671794688321	10.1740898993416	9.70716433841459	9.80226189928336	9.83234444530138	10.1331886867895	9.9032124517257	9.97315548415327	9.87733787038419	10.0285181920917	10.0330423552608	10.0795111337886	9.8153576380048	10.1600686929079	10.2625830484369	10.1836076749317
CFL1	9.62039003527355	9.72360974415251	9.53189276688619	9.14920322290794	9.75989334538125	9.78885614960373	9.86159814917293	9.50601544330067	9.71373283609634	9.53942030124864	9.64923953718313	9.61454692065854	9.45181734395405	9.92786155864797	9.97279565005487	9.75222077567993
WIPF1	9.37780666466358	9.62066724858319	8.90030734728716	9.40290814149295	9.46884525403753	9.6943472714506	9.25332683342217	9.70921769909255	9.39454163096225	9.62570616863689	9.44806544095394	9.78339335804218	9.44903819690447	9.63378888865784	9.26614808060598	9.66232714583054
CAP1	9.15942202942486	9.3478386455617	9.23279513486169	9.07639112256718	9.47163397247016	9.52942089850064	9.20684908673578	9.30469972137299	9.38624441401164	9.40141387761131	9.21974367520401	9.31921800880256	9.27025257224809	9.42721324693152	9.36218979700131	9.20367114117482
CD2	9.04841258033898	9.41891973860851	8.66546058307111	9.29988750242262	9.36978271392307	9.29184607921596	8.75676600450116	9.52063587352448	9.49103916918778	9.64363909997879	8.85005585116662	9.65686791716946	9.42256820356215	9.65816973208479	8.89015630649927	9.56578225170429
GZMA	8.70202046812568	9.52031269642439	7.56759097875002	8.05971685900866	9.77091920320612	9.93290454215623	9.41465019257403	9.91299976496397	9.36818948789714	9.56051224068621	8.96152710388623	9.59721167305408	9.06380092584584	9.44396495766876	9.06322188215463	8.87323610298125
GBP5	9.76571233216211	9.70180087111369	7.86303875350847	8.50591314901019	9.52536258409982	9.65631675369156	8.1295791019189	9.11496912651024	9.6374823928945	9.7741148030079	7.96861712051691	8.93684999209332	9.76137282325744	9.6958346261056	8.17048895282938	8.75618825240569
COTL1	8.70742892405369	8.77949801378186	9.72265586370931	8.66501972561697	8.86311192271073	9.05111428675998	9.57739456911234	8.72399021042808	9.10141538776306	9.22213651253716	9.83397754385404	9.11727175100195	8.61135318223486	9.00134700938437	9.73992367906684	9.00666902767676
NKG7	7.78198340508821	9.02576715769028	8.71383567618091	8.49227788229947	9.38677274442031	10.1069480555279	8.96388247792301	9.85062076506802	8.62508076291532	9.10753191134446	8.67239146902516	8.8829056546567	8.34206248963547	9.86531441759853	8.2173099844188	8.56083366683757
MYL6	8.92392016398797	9.1642548652723	8.67138118057308	8.68432085889918	9.20183421854184	9.11637984074803	8.76538826507697	8.99843531514435	9.13175947748251	8.96298972434366	8.69724417031235	9.00500241667535	8.98012619035001	9.30891254014158	9.00366546735246	9.00261835566637
CLIC1	8.48803657060832	8.86668787430822	8.88556086292727	8.81906363311941	8.84584543023957	8.83009421186783	8.75802940092774	8.756919712448	8.74015521396787	8.6590156340174	8.76565650382223	8.69517557791322	8.61773115043203	9.05972794690124	8.98621169111536	8.84392959842553
LYST	7.84808419897729	8.3422983154667	8.11382384851111	9.27631425953147	8.40615283641071	8.70522331305104	8.71622084136539	9.07545517394747	8.27460848586666	8.72052323428717	8.83978323349404	9.324478813653	8.25234030134996	8.47083392104399	8.51014423059119	9.0311654347965
CD44	8.64595004678886	9.0976548711854	7.50712998818491	8.31822598268998	8.35653561563387	8.78318218394321	6.95189396758285	8.31776669184702	8.66926280241032	9.28971857959828	7.87985485561717	9.19400417656133	8.7956242167267	8.91905924955686	7.81249815082698	9.07146740843276
CNN2	8.18901679354607	8.96057767845887	7.12467793233752	8.26814194296053	8.5957845642054	9.56906861585426	7.76174283988966	9.07066477978096	8.19798757476082	8.97848768615754	7.59635241902359	8.7010081447954	8.20535492864652	9.07379407667879	7.83743279004327	8.57743637248808
IFI16	8.19753193227018	8.40704547920557	8.23412193661884	8.82510388969105	8.32162026748209	8.48129057722736	8.76214438418561	8.48059789167567	8.40281164708358	8.40878396386065	8.77525051198056	8.82568976982385	8.24903448052676	8.30998118577498	8.88352736085095	8.78397619540693
CCR5	8.06659484285783	9.22859634986964	4.6197898124671	6.49572634635503	9.07583955649544	9.54807728238702	6.45582367911021	9.07764780741353	8.84951928085209	9.37176343247758	6.89981602365703	8.93080526562339	8.61250684767606	9.18169459461297	6.75320960720268	7.7944702885651
ITGB2	8.42250119493002	8.90358558548091	8.15523776534008	8.44346814297576	8.69824836682684	9.13412884701653	8.06732478162609	8.63951446147261	8.23311019573923	8.46277994519373	8.02394970509708	7.82181771874798	8.53122043026415	9.27884589230144	7.68215880769338	8.24662048829468
OAZ1	8.1898244353061	8.39529693317936	8.99379372951911	8.02092498203124	8.21887408994784	8.4998811027199	9.01127195021051	8.36179904844676	8.10359287713495	8.18406450696122	8.87134930621025	8.17582279454462	8.00314004133484	8.71486126085818	8.78385102393867	8.41296903888962
HLA-DRB1	7.48631326237243	8.30698584470331	7.37477277843084	5.10963946879505	8.81377198396708	8.80616804305715	8.71997902875222	7.30702246737042	8.24715237342306	8.07912568882933	8.43514487917273	7.4462935728493	7.73534523026643	8.57734030355654	7.78891568796677	6.67801400736824
APOBEC3C	7.49399402615799	8.02604715821557	8.21046770721428	7.61814241100532	7.87526604108098	8.14930348164179	8.2683809570801	7.91892039440965	7.71556279492048	7.95211221526761	8.25554957950451	7.9966085092557	7.73501932310393	8.24351419256418	8.20691890645317	8.12507971358059
CST7	6.83952808608389	8.27917583594439	7.45270227222892	8.08284872152373	7.86796160252309	8.66351091851567	7.86112874897173	8.90230176565581	7.25849239832724	8.05259503130758	8.14003052561	8.29394859162842	7.03901489880034	8.44467940584917	7.12878904473595	8.08626788193936
GIMAP4	7.70352717714581	8.24960007785323	5.6639631674879	7.80902328849827	7.52190818248454	8.30166401468858	6.1627753890387	8.45582811367708	7.90882048846211	8.81225526015884	6.52928964292883	8.60304497009705	8.18330764937292	8.45053263407276	7.09113413513519	8.2980711383768
