	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
CCL5	11.0220133963621	12.5994198979049	9.51501185369616	12.6849803286297	11.5209770940116	12.5403899846625	10.0944822503112	12.7873199402562	11.6181696156181	12.7228570766461	10.4795835276117	12.7685899215242	11.2747266242167	12.5230470600165	9.982748481067	12.3683005735892
HLA-A	10.9853519769912	11.3432198041528	10.7720855518342	11.0071079473602	11.0439127449755	11.2056507457818	10.5420118176047	11.0818070099553	10.6391550773983	10.8008671761994	10.3830145569422	10.4395132518418	11.0095392503628	11.4894333541708	10.3711590310071	10.7761464947963
CD8A	10.1751904624938	10.5664032518589	9.45333866763605	10.4634673764765	10.251125490933	10.5061181906924	9.68611404792538	10.5860274785914	10.2420410415608	10.5851630884356	9.68196077262517	10.5563992292243	10.1924984017108	10.5171619008859	9.68884306342341	10.420716769917
CD74	9.96272461489505	10.4558622913895	9.68517315542713	8.80240931443795	10.6164510356639	10.8580668914776	10.3987316380778	9.87974904360817	10.2828678938977	10.2415364906186	10.3166724452327	9.86076487561775	10.0262568902358	10.7683788873756	9.97602733132988	9.83659516633587
PRF1	8.32273158858435	9.75191206037206	8.13516084876489	9.89752054368532	9.19208766574345	10.1844326695129	8.61571201916279	10.1109267211541	9.05217889484798	9.83128219503087	8.55978284720227	9.91722735999688	8.8234816989916	10.0684146429312	8.18231310495624	9.59235656675164
CD2	9.04841258033898	9.41891973860851	8.66546058307111	9.29988750242262	9.36978271392307	9.29184607921596	8.75676600450116	9.52063587352448	9.49103916918778	9.64363909997879	8.85005585116662	9.65686791716946	9.42256820356215	9.65816973208479	8.89015630649927	9.56578225170429
GZMA	8.70202046812568	9.52031269642439	7.56759097875002	8.05971685900866	9.77091920320612	9.93290454215623	9.41465019257403	9.91299976496397	9.36818948789714	9.56051224068621	8.96152710388623	9.59721167305408	9.06380092584584	9.44396495766876	9.06322188215463	8.87323610298125
COTL1	8.70742892405369	8.77949801378186	9.72265586370931	8.66501972561697	8.86311192271073	9.05111428675998	9.57739456911234	8.72399021042808	9.10141538776306	9.22213651253716	9.83397754385404	9.11727175100195	8.61135318223486	9.00134700938437	9.73992367906684	9.00666902767676
NKG7	7.78198340508821	9.02576715769028	8.71383567618091	8.49227788229947	9.38677274442031	10.1069480555279	8.96388247792301	9.85062076506802	8.62508076291532	9.10753191134446	8.67239146902516	8.8829056546567	8.34206248963547	9.86531441759853	8.2173099844188	8.56083366683757
LYST	7.84808419897729	8.3422983154667	8.11382384851111	9.27631425953147	8.40615283641071	8.70522331305104	8.71622084136539	9.07545517394747	8.27460848586666	8.72052323428717	8.83978323349404	9.324478813653	8.25234030134996	8.47083392104399	8.51014423059119	9.0311654347965
