	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
CCL5	11.0220133963621	12.5994198979049	9.51501185369616	12.6849803286297	11.5209770940116	12.5403899846625	10.0944822503112	12.7873199402562	11.6181696156181	12.7228570766461	10.4795835276117	12.7685899215242	11.2747266242167	12.5230470600165	9.982748481067	12.3683005735892
HLA-A	10.9853519769912	11.3432198041528	10.7720855518342	11.0071079473602	11.0439127449755	11.2056507457818	10.5420118176047	11.0818070099553	10.6391550773983	10.8008671761994	10.3830145569422	10.4395132518418	11.0095392503628	11.4894333541708	10.3711590310071	10.7761464947963
PTPRC	10.4871939586698	10.4914166258294	9.65426812191079	10.2483717016041	10.451891412173	10.5614979890704	9.79694884631702	10.5155339583501	10.3791960380169	10.6609642897897	10.0252591272598	10.565314469003	10.6690183178408	10.3030356600208	10.0567838440388	10.3542418891619
CD74	9.96272461489505	10.4558622913895	9.68517315542713	8.80240931443795	10.6164510356639	10.8580668914776	10.3987316380778	9.87974904360817	10.2828678938977	10.2415364906186	10.3166724452327	9.86076487561775	10.0262568902358	10.7683788873756	9.97602733132988	9.83659516633587
RPS3	9.84713668546485	9.88061832294613	10.695108946076	9.58863079411454	9.57716187989985	9.8868642398604	10.4116547180825	9.9702836949535	9.59698196548127	9.70144000727086	10.5240558707884	10.0289653770343	9.63606890406499	10.0099833408743	10.5041359262907	10.1639042269255
RPL13A	9.28442938526548	9.63991756160793	9.95405612259264	9.19109267259816	9.14068552641137	9.81257529240276	9.87682813302416	9.81217369752133	9.09239032894728	9.62537804315832	9.92370133248024	9.86023488329988	9.13605384753322	9.71966083702988	9.80795412744241	9.842917801061
RPL28	9.09016797968431	9.3349062268328	9.31545095672214	9.41897200622233	8.80124365657179	9.36330790496814	9.36165945176324	9.18865632681118	8.94913344671165	9.33983465778889	9.40509163306557	9.31342178633515	9.03985730541077	9.71272969592922	9.32551533055013	9.62843346071756
GZMA	8.70202046812568	9.52031269642439	7.56759097875002	8.05971685900866	9.77091920320612	9.93290454215623	9.41465019257403	9.91299976496397	9.36818948789714	9.56051224068621	8.96152710388623	9.59721167305408	9.06380092584584	9.44396495766876	9.06322188215463	8.87323610298125
COTL1	8.70742892405369	8.77949801378186	9.72265586370931	8.66501972561697	8.86311192271073	9.05111428675998	9.57739456911234	8.72399021042808	9.10141538776306	9.22213651253716	9.83397754385404	9.11727175100195	8.61135318223486	9.00134700938437	9.73992367906684	9.00666902767676
RPS15A	8.98647992049341	9.13728407259977	9.39491385571437	9.0816783458357	8.85493754330253	9.23056599700088	9.1393613772684	9.3052276014133	8.77870133641589	9.05788827122091	9.16269235405494	9.20510738219505	8.86629475762848	9.19462553560689	9.2761226374984	9.25785140583116
