	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
EEF1A1	11.0361163137721	10.9221878391059	11.8462615463267	10.5367732195309	10.8573474713486	10.9285133789017	11.5059466491275	11.0857647750075	10.8906636639137	10.8368813639252	11.6286739830301	11.1603554093393	10.87713042807	10.8386241701007	11.5987399185768	11.2440325288975
TPT1	11.1651546359685	10.7200725998991	10.6467326633503	10.5244949238881	10.9447546900525	10.9527797248114	10.412309457092	11.1658698395306	11.1394445895049	11.0877828784878	10.5964093858611	11.0658955006761	11.194893696478	10.7054310539399	10.5326993143314	10.8554625998839
RPLP0	9.44022647412317	9.4300478101936	10.8737880322457	9.10885245428887	9.12238508843998	9.46632333215287	10.6590352838589	9.51055864940547	9.25341598631864	9.19459610095417	10.762189015621	9.89622585798189	8.97233598496046	9.38531675992217	10.6155779734706	9.96944450613944
RPLP1	8.79995587656405	8.71506405159183	9.27250646471322	8.80571346241432	8.40646797937059	8.8331464779663	9.45239413104932	8.94376033540989	8.50597326076735	8.53593047438546	9.50852659085036	8.94236883021382	8.27583157589438	8.9280331629339	9.14464402951929	9.44317060382116
PBXIP1	8.66025652279657	9.32672084240856	6.18069565460193	8.8231626574977	8.5051125315951	9.03884725372853	7.11853685080602	9.09634596703564	8.66592499104086	9.23362233523053	7.32049519789633	8.96776589027795	8.7752442854052	9.36604529191359	7.2438606214243	8.94993374500845
SPOCK2	9.29111137499797	9.11890802121633	7.57044173116344	9.52103880824661	8.20136327828358	8.3164038962087	6.43834401672781	8.13246160210872	8.73043752611789	8.81324335393867	7.55195342250094	8.44920189186394	8.86040525835118	8.72420025017555	7.57133232296757	8.57584339577068
CXCR6	8.08370436014105	9.0535570041527	5.03578835362409	7.64445121536248	8.50878638762171	9.09759986129006	6.53677450927481	9.22532722564796	8.93206361636607	9.27209980205054	6.59066675441112	9.31593634238575	8.4404891607932	9.06006579398968	6.79759497439217	8.68292014099688
LTB	9.03383567184916	8.70780271250907	5.94753620550673	7.03981725594033	9.18448164509743	8.51419456095662	6.04438134469622	8.00674856475455	9.37008407378331	8.93209178078494	6.16325503571303	7.17827231029361	9.39550035431003	9.380320067438	6.31253425412694	7.7557468734981
FURIN	8.53091866293238	8.02533495762035	8.88613303158631	7.65758350195372	8.30548898643002	7.6311691310667	8.19653476491888	7.35267952896176	8.73624334728615	8.15135929618592	8.6703765687316	7.36419511593734	8.53581174836372	8.48851261660094	7.87621232573966	7.54977529147888
IL7R	8.94313880322975	8.23439680825845	2.43634256857945	8.24481695425804	8.25116671618586	8.0806883167376	4.36057461718562	8.33807606255615	8.54441870485703	8.45203548568185	4.99909603457782	8.73301022940032	8.89575144458934	7.63891252682471	4.7061449455993	8.32397365556396
TNFAIP3	7.04885268694239	7.74521478772737	9.04536872565196	8.06395033303937	7.35528134324682	7.77332295957209	7.69720830315126	8.05056866005707	7.42610745905733	7.89367915266872	8.78207785161116	8.22481631584493	7.39556393579283	7.74006999902074	6.95352905450352	7.75929701816679
S100A4	7.13907146368238	7.88336408018796	7.18562984321232	7.44411688285973	8.04396826954724	8.39277536975955	7.74627992565335	8.02539226830666	7.74830289467222	8.1020811815888	7.55435909405301	8.16613571615733	7.65923705385244	8.38713838111101	7.60642646923045	7.88364501187275
DPP4	8.48324453958274	7.61815642026407	7.71670183623223	7.11745284896244	8.02315778637782	7.23994715486555	7.62338972883811	6.96149202062729	8.23888172522965	7.85037426602454	7.92263497639974	7.50894650715154	8.63503922365349	7.70492590624409	7.96973451646632	7.54069258815421
ERN1	6.91431308544856	7.87279244806063	6.29299760971406	8.31240574788355	7.56489294744248	8.25671214823821	5.84405111000705	8.45669234050352	7.47073829556191	8.30887430956998	5.94394125012371	8.0935883454846	7.99227265138284	8.45182059661169	5.71203424059079	8.01900246360955
PIM1	8.0325267806635	7.56367180850449	8.60028301753661	6.39776145338023	8.19462749642001	7.37903886335227	6.6216290100308	6.95929835483228	8.11568849043349	7.76034154289376	8.0443198668845	6.40334863579081	8.25972249755984	8.00173178208335	6.84779070457127	6.66166615125814
CERK	7.36427257226505	7.53012586012887	6.4777463309503	6.72807352043566	7.14209982348255	7.26286082104593	6.68452713120993	7.13110639537303	7.29285516713925	7.44088540228843	6.74835800512126	7.02403958540925	7.28547938941177	7.51196315321891	6.65142782506394	7.00698737640232
