	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
AHNAK	10.67039978363	11.6849342961187	9.15136334510534	10.9175081101643	11.7824846847944	12.0275960094098	10.1758166872483	11.5740160177294	11.6129679669298	12.1870354442301	10.3622262470748	11.9337272068805	11.1123918168522	11.5788251328075	9.63578066744055	10.9520824254182
EEF1A1	11.0361163137721	10.9221878391059	11.8462615463267	10.5367732195309	10.8573474713486	10.9285133789017	11.5059466491275	11.0857647750075	10.8906636639137	10.8368813639252	11.6286739830301	11.1603554093393	10.87713042807	10.8386241701007	11.5987399185768	11.2440325288975
TPT1	11.1651546359685	10.7200725998991	10.6467326633503	10.5244949238881	10.9447546900525	10.9527797248114	10.412309457092	11.1658698395306	11.1394445895049	11.0877828784878	10.5964093858611	11.0658955006761	11.194893696478	10.7054310539399	10.5326993143314	10.8554625998839
RPS3	9.84713668546485	9.88061832294613	10.695108946076	9.58863079411454	9.57716187989985	9.8868642398604	10.4116547180825	9.9702836949535	9.59698196548127	9.70144000727086	10.5240558707884	10.0289653770343	9.63606890406499	10.0099833408743	10.5041359262907	10.1639042269255
PABPC1	9.91826999320302	9.75874105677527	10.4392060979468	9.70177613910932	9.44610938609585	9.78046986523499	10.2012151924038	9.75275723924479	9.72935580884896	10.0902467000759	10.4111293311517	10.1100355548655	9.65022440555613	9.51723495250429	10.2784438905657	9.80190833440466
MCL1	9.66060447094094	9.51808685591155	9.12343997013559	9.61006014627176	9.48419157116946	9.42792118978809	9.12809144244025	9.64708775563749	9.68582035860223	9.86574085592535	9.4614112145826	9.61789505966507	9.83194804835851	9.48098094343645	9.03843599686289	9.49057415865589
VIM	9.29540596978928	9.20916072894705	9.60871417389224	8.82302389805341	9.66413961755375	9.50205772618728	9.6442948402247	8.80576036902437	9.77360531343044	9.51821741552178	9.90312924400382	9.4756089970125	9.23525043879932	9.52133019769193	9.28335441143845	9.18283786575034
RPS18	9.16524145608897	9.02084484509615	10.0241978852085	9.13524479004452	8.72685710595958	8.95225851390545	9.62565625209783	9.01706889146113	8.54814241701888	8.56828555728513	9.72433622835717	9.05649551591808	8.883232236588	8.8919874348551	9.76112467096848	9.33521522247712
RPS14	9.04713978099912	9.07814572723741	9.62529348957802	9.1191735890594	8.82412978523888	9.0188521392633	9.3284752361033	9.17380702547618	8.8857275088733	8.97834086900464	9.46600675855354	9.24915729591132	8.86681545428635	9.07239920133824	9.38168850843895	9.22976325104772
RPL30	9.20081866319666	9.09011443439712	9.37034157144225	9.1384822633948	8.96060018993367	9.00227334123786	9.02061019536411	9.16044863148427	8.94165042309818	8.95465556325283	9.16319394258289	9.10561775501743	9.10776163949983	9.08108125604561	9.10129391120211	9.0890895662814
RPLP1	8.79995587656405	8.71506405159183	9.27250646471322	8.80571346241432	8.40646797937059	8.8331464779663	9.45239413104932	8.94376033540989	8.50597326076735	8.53593047438546	9.50852659085036	8.94236883021382	8.27583157589438	8.9280331629339	9.14464402951929	9.44317060382116
RPL13	8.77787334727832	8.69478282191927	9.19879264724419	8.41971495409047	8.41886138157517	8.7165914055342	9.05985260671375	8.77248225626378	8.46144868419529	8.46403875456062	9.00150462121185	8.59393559039368	8.46034023747427	8.88132077385722	8.93300928221536	8.99398057633385
RPLP2	8.76182406699835	8.70442526881686	9.07973950765393	8.64937506585742	8.44202727784702	8.65656228101813	8.97141196596697	8.75670920223761	8.19727632658089	8.23017073236421	8.83322419613585	8.42909228589951	8.37087622407954	8.85566682821413	8.78583797777737	8.93888803580262
PTMA	8.57971097587323	8.05103518144553	9.65023171548023	8.10161715318549	8.29693030546072	8.0464044824301	9.08799146484005	7.936126000192	8.3816810663109	7.87786726432629	9.23331965223497	8.02714871112715	8.43076212849312	8.06918935621918	9.36158828203755	8.27861790883291
CD44	8.64595004678886	9.0976548711854	7.50712998818491	8.31822598268998	8.35653561563387	8.78318218394321	6.95189396758285	8.31776669184702	8.66926280241032	9.28971857959828	7.87985485561717	9.19400417656133	8.7956242167267	8.91905924955686	7.81249815082698	9.07146740843276
RPS12	8.43773422388776	8.24066917423153	8.85502344288313	8.09577102518527	8.52687169947839	8.55622351368957	8.92225710680875	8.62066793005102	8.32800118197455	8.18533706722172	8.84103773037632	8.37916063149026	8.32624744858318	8.48289576850415	8.79808368337858	8.58737362851565
SRGN	7.64280539157931	7.97635624059081	8.61070640340109	8.46887782889754	8.0973555008529	8.02623085153888	9.13086586254762	8.46839471535428	8.21530451415672	7.96535835239593	9.22448921385571	8.5047401480273	7.99008931545177	8.16013927787129	9.06712732184932	8.42223659501677
EIF1	8.00433997601395	8.13199641035441	8.83696599689186	8.07704225343346	8.32404115972115	8.2744027104531	8.35810956721787	8.36216808368907	8.1724004078442	8.24599038681176	8.59674876868787	8.14177494826692	8.00015966036801	8.10870089866828	8.25453598827626	8.21033520346334
BTG1	7.92576632208921	8.37173300800667	7.23946113738973	8.81460402559861	7.8417513211782	8.60468319332795	6.76768941464489	8.7661518833641	7.94697679616454	8.68497821058966	7.32306260751973	8.69021419835628	8.26650346693488	8.36370083678287	6.98667465354237	8.48343868819075
PDCD4	8.59049825901751	8.30381777533202	7.00945132274256	8.5026246951448	7.98642277364757	8.03483067544597	7.14987678596387	8.0565096922073	8.51103807190295	8.55564697187931	7.54207005265851	8.50823998235767	8.71793599032806	8.11380872681261	7.71925545561921	8.43357593671976
RPS29	7.95795495740988	8.16379751244146	8.47687137840584	8.10880628652603	7.79304913590646	8.00600133208822	8.24552302390249	8.03062533837192	7.66467292819132	7.78102703542901	8.14758219811239	7.99258392364166	7.63568631557531	8.21061840027084	8.21302915705267	8.24567166158656
EZR	7.73958988925259	7.98619807851055	8.08739778835583	7.78884577918367	7.90222122670766	8.15502384824517	8.17289880552718	7.98498818451577	8.00502745330629	8.30525016524927	8.18940955528871	8.10556313963773	7.96446255603422	8.15012422828841	8.17499551032938	7.90329939019369
IL7R	8.94313880322975	8.23439680825845	2.43634256857945	8.24481695425804	8.25116671618586	8.0806883167376	4.36057461718562	8.33807606255615	8.54441870485703	8.45203548568185	4.99909603457782	8.73301022940032	8.89575144458934	7.63891252682471	4.7061449455993	8.32397365556396
PARP8	7.97732996304151	8.28597064948649	5.41013541873844	7.67920844888255	8.26139484031917	8.43416615517734	6.40205585252797	8.42868893705934	8.28032862511119	8.6680556500528	6.54477046876654	8.6032561332748	8.30455796844946	8.10149753819245	6.60281010390341	7.95478259390687
TSC22D3	6.4724674182392	7.82021904914224	7.72759740142247	8.90048881464093	6.84194083100152	7.97387984963404	7.8928323832466	8.21874379600397	6.76781872896229	8.01944421948385	8.78347673696955	8.60526064346167	6.66667420711501	7.71067567147865	7.77878166029336	8.36406604057657
TNFAIP3	7.04885268694239	7.74521478772737	9.04536872565196	8.06395033303937	7.35528134324682	7.77332295957209	7.69720830315126	8.05056866005707	7.42610745905733	7.89367915266872	8.78207785161116	8.22481631584493	7.39556393579283	7.74006999902074	6.95352905450352	7.75929701816679
ANXA1	7.29711593405947	8.08861061100303	6.54073397567353	7.6014119463733	8.1107618947074	8.32703838037915	7.61107889680676	7.84096998303982	7.87867603965927	8.23004741929311	7.51470486376226	8.37211449825195	7.83298514511455	8.19675559820092	7.60773147179527	7.94689089222706
SLC2A3	6.79472622715511	7.11989553538092	9.71517242359174	7.08263879686695	7.25787358537687	7.27914380802482	7.78645671041665	7.39945510662599	7.25690049488895	7.45445991713928	9.25203308681999	7.18223555288278	7.10279610539706	7.20793397122939	7.25111634189829	6.85849288223594
GLIPR1	7.02810017226015	8.27522731972802	4.92343673050894	7.49482266820691	7.56489294744248	8.48319352017386	6.27664690892787	8.77470173661151	7.5149814337633	8.6902764814752	6.47028968143483	8.7427232683665	7.46638121197359	7.7842274284865	6.39681120100307	7.93947745872222
ZFP36L2	7.49193734388425	7.8078479714074	6.96486357228586	8.27951284613343	7.40895727838978	8.13884434675248	6.11458500428813	8.06956227333732	7.60871628618052	8.30431342244546	7.23773469061335	8.25402505673378	7.62024015105077	7.74652153058001	6.28306922367604	7.90089066897332
BTG2	7.84545064595925	7.81660118144775	6.85692310587831	7.58383017328134	8.16550466089388	7.4734619000028	7.05698272037832	7.39873578014807	8.24875506359542	7.67468084258262	7.06659354301254	7.4244710402709	8.07120487062716	8.03797165269795	6.9487311870648	7.70725108362088
KLF6	7.91589827133749	7.75641665235074	6.58651489005104	6.47149761986107	8.21761751404038	7.86717010299655	6.39215432777354	7.31600353895778	8.25446446663287	8.31120764492979	6.46750747747027	7.60148850616273	8.09336728585032	7.7610021211469	6.25743106854198	7.17832086875104
SRSF2	7.66670561929752	7.47402367974975	7.66108817681957	7.23182968320986	7.60072471695762	7.37547959427031	7.68802794017976	7.29450898316642	7.70125285768144	7.45509309937905	7.39291114595078	7.52240820751364	7.60355609763001	7.31466676873221	7.80341512715411	7.49706133615974
