	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
HLA-B	11.0304272709198	11.1791584891826	10.4024025242535	10.8526296561719	11.5795143206842	11.6105627074834	10.7989216714662	11.4878838671656	11.3893461389134	11.4250661199239	10.8903047479564	11.0415006558998	11.3981499190097	11.749942118842	10.4909757352929	10.9318902152133
HLA-A	10.9853519769912	11.3432198041528	10.7720855518342	11.0071079473602	11.0439127449755	11.2056507457818	10.5420118176047	11.0818070099553	10.6391550773983	10.8008671761994	10.3830145569422	10.4395132518418	11.0095392503628	11.4894333541708	10.3711590310071	10.7761464947963
CD74	9.96272461489505	10.4558622913895	9.68517315542713	8.80240931443795	10.6164510356639	10.8580668914776	10.3987316380778	9.87974904360817	10.2828678938977	10.2415364906186	10.3166724452327	9.86076487561775	10.0262568902358	10.7683788873756	9.97602733132988	9.83659516633587
PABPC1	9.91826999320302	9.75874105677527	10.4392060979468	9.70177613910932	9.44610938609585	9.78046986523499	10.2012151924038	9.75275723924479	9.72935580884896	10.0902467000759	10.4111293311517	10.1100355548655	9.65022440555613	9.51723495250429	10.2784438905657	9.80190833440466
IL2RB	8.69675401046774	9.72558408981004	9.29646476254784	10.59139946644	9.02430678194169	9.70555301714832	9.18842244945154	9.74411134276631	9.01101683640948	9.57907514132525	9.2647758912959	9.75995521129801	8.85366627359546	9.85652408313578	8.98860675149724	9.95829034508718
NKG7	7.78198340508821	9.02576715769028	8.71383567618091	8.49227788229947	9.38677274442031	10.1069480555279	8.96388247792301	9.85062076506802	8.62508076291532	9.10753191134446	8.67239146902516	8.8829056546567	8.34206248963547	9.86531441759853	8.2173099844188	8.56083366683757
LYST	7.84808419897729	8.3422983154667	8.11382384851111	9.27631425953147	8.40615283641071	8.70522331305104	8.71622084136539	9.07545517394747	8.27460848586666	8.72052323428717	8.83978323349404	9.324478813653	8.25234030134996	8.47083392104399	8.51014423059119	9.0311654347965
PRKCH	8.69252695851875	8.67221194269307	7.99567762996648	8.27048436299177	8.7823054925905	8.7356653426977	8.27545622661016	8.78230526271373	8.74462455977553	8.770471300964	7.98605660910227	8.53172756853238	8.74739990563335	8.76151722624723	8.29874747709507	8.48629780416787
SRGN	7.64280539157931	7.97635624059081	8.61070640340109	8.46887782889754	8.0973555008529	8.02623085153888	9.13086586254762	8.46839471535428	8.21530451415672	7.96535835239593	9.22448921385571	8.5047401480273	7.99008931545177	8.16013927787129	9.06712732184932	8.42223659501677
FYN	7.72438120545826	8.26705674589617	7.99281155983511	8.60745174472761	8.1100848512774	8.63171400331347	8.44274817051364	8.78457852814772	8.09559966025281	8.68371813225948	8.54786940352578	9.08859948784913	7.76342098433927	8.50357805443922	8.31800973395624	8.72210526112524
