	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
TMSB4X	11.0164147008408	11.0322901130918	11.3633363432315	11.1672757673392	11.0545839483276	10.9964618010058	11.2303131276053	11.0859602839448	11.1319737881425	11.0948765605638	11.3998751370852	11.155737761703	11.1017195277753	11.2019195428	11.4930358785835	11.1752293499669
GNLY	6.23601329030998	8.6627174498301	7.84419885793327	11.5884923707394	9.20745176891097	10.7832478214315	8.77783249631486	10.9580147588267	9.24231096521047	10.4053248250934	10.7566680476817	11.3771110605995	8.84938191084706	10.1657570582333	8.95476555642031	10.3150531458294
PABPC1	9.91826999320302	9.75874105677527	10.4392060979468	9.70177613910932	9.44610938609585	9.78046986523499	10.2012151924038	9.75275723924479	9.72935580884896	10.0902467000759	10.4111293311517	10.1100355548655	9.65022440555613	9.51723495250429	10.2784438905657	9.80190833440466
IL2RB	8.69675401046774	9.72558408981004	9.29646476254784	10.59139946644	9.02430678194169	9.70555301714832	9.18842244945154	9.74411134276631	9.01101683640948	9.57907514132525	9.2647758912959	9.75995521129801	8.85366627359546	9.85652408313578	8.98860675149724	9.95829034508718
ARHGAP9	8.09471155616992	8.74850404738822	7.65800921446383	8.79485876069012	8.18996689457392	8.44022676138493	7.97941224772316	8.72642883423779	8.24164387950917	8.40387291671149	7.96187843403195	8.63468894323572	8.14248277108676	8.8160764075654	8.02743187308256	8.92301681540536
CTSW	7.01227228268951	7.5246934382423	6.79660344297638	8.61348151134593	8.776343589079	8.83890866865184	8.26651326254812	8.99057983840531	8.45541349238845	8.26837893444732	7.78713211324445	8.44414176720869	7.6398703621175	8.26252573048616	6.98555967375579	8.06765685184914
LITAF	6.80198867878398	7.9658530348713	7.79897450625791	8.29089516319653	7.44621973124519	8.48104218212652	8.17896831676499	8.43475439176441	7.11523594891969	8.10329347955944	8.5443531164155	8.42025036072994	7.10834260133548	7.95453769352404	7.9551131737728	7.92387640654959
AOAH	6.85735689957392	7.81478883968519	6.04994878207747	7.86212016315851	7.87253120870486	8.4330537038175	7.40512478799435	8.59577780787702	7.6465503182719	8.00913302171151	7.14530121268407	8.33826236586792	7.72487950991474	8.30286170276217	7.10249301817291	8.18184826950804
ZFP36L2	7.49193734388425	7.8078479714074	6.96486357228586	8.27951284613343	7.40895727838978	8.13884434675248	6.11458500428813	8.06956227333732	7.60871628618052	8.30431342244546	7.23773469061335	8.25402505673378	7.62024015105077	7.74652153058001	6.28306922367604	7.90089066897332
IFITM2	7.39721344632474	6.86579669352214	7.62958882515065	9.22797978100677	7.27385231031427	7.68363283665306	7.08289711090302	7.44563249525294	7.48790091590147	7.77647458658242	7.34748002063583	7.41824350163371	7.38126516479634	7.56830880038477	7.6350095531027	7.24293118844258
