	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
ACTB	12.11493962613	12.1032040930685	12.5824697613896	11.831547342187	12.1441656570895	12.1503032377305	12.624168405797	11.9670011105864	12.1283451472616	11.8859979652434	12.4437083308846	12.0989985883217	11.9286867584762	12.232575210142	12.7704012944294	12.3145120831542
GAPDH	10.2407643814711	10.3629712291	12.6651163942256	10.3947108631925	10.2681111069537	10.4451144865291	11.8060999631901	10.0964713675463	10.359357594202	10.2161116913143	12.31090569613	10.7512331406558	9.94995958507482	10.6548638333053	12.0268999686414	10.9807184118352
ACTG1	10.7640352669573	10.962294138821	11.4395617650236	10.849056613446	10.8002114969441	11.0495085598472	11.4064809007135	11.0268864932644	10.7091584192074	10.7161970749239	11.1560694964882	11.1333576513146	10.4811555673904	11.1766442558718	11.5316101411437	11.5961031878647
ENO1	9.73196916348035	9.28769809517574	12.3100854045987	9.05829180679342	9.67944395768741	9.02209963206745	11.1415051475094	8.77317621073576	9.84969302948062	9.10719625176443	11.5990299390842	8.92987953141754	9.44176728894616	9.47773912587602	11.2868061948434	9.04365372135539
PFN1	10.0847617351994	10.2321519324755	10.6511491916406	9.88195240433065	10.2486668734151	10.3549347472317	10.4467983611131	10.1248037610694	10.0944802085908	9.97639598791904	10.2885085633406	9.99122100461956	9.95783631436272	10.370488718889	10.535463843801	10.1759910013566
RPLP0	9.44022647412317	9.4300478101936	10.8737880322457	9.10885245428887	9.12238508843998	9.46632333215287	10.6590352838589	9.51055864940547	9.25341598631864	9.19459610095417	10.762189015621	9.89622585798189	8.97233598496046	9.38531675992217	10.6155779734706	9.96944450613944
TMSB10	9.41568030654312	9.94198288294714	10.4919759971691	9.85495908402544	9.49601163618986	9.90169450245103	10.0946927937919	9.73220491162012	9.48784365778333	9.76486644051014	10.0418752260609	9.71351938837428	9.3682301898587	10.0924510669783	10.2365046132308	9.86964662644695
TUBB	9.83608758403977	9.45141360119522	10.7200024504534	8.47674949556921	9.68977318229977	9.54930197453536	10.5726608947236	8.28408089269969	9.86518711167159	8.76077273130239	10.295519542782	9.41356708457407	9.27008387486258	9.58680664344194	10.8871097845615	9.76915758842579
MKI67	9.33051384261571	9.15581952018758	10.2803299574301	7.04005604596892	9.12664730960878	8.96628690025364	10.1386738184308	7.28947303983991	9.36803149337607	8.26429025636885	10.3404372091323	9.02302962160043	8.59546333750041	9.09180578738834	10.2891928730297	9.27629476996484
TUBA1B	9.25628647588074	8.78766863693292	9.94340210847003	6.86995759174173	9.21327271149191	8.86725266975966	10.0103252453528	7.14725619027606	9.36026848933673	7.86759887203373	9.63881820070263	8.63272493469514	8.59276795506839	8.9290199769432	10.296943974056	8.87705365349746
LDHB	9.03306437100916	8.95938505624342	9.89586776014708	8.96107488389361	8.6994705468147	8.88093615580359	9.54601958876592	9.10937440334575	8.75987816926072	8.8499771592208	9.594292475102	9.0009210739735	8.87615600051295	8.79376856214108	9.77538864267235	9.1045814827061
COTL1	8.70742892405369	8.77949801378186	9.72265586370931	8.66501972561697	8.86311192271073	9.05111428675998	9.57739456911234	8.72399021042808	9.10141538776306	9.22213651253716	9.83397754385404	9.11727175100195	8.61135318223486	9.00134700938437	9.73992367906684	9.00666902767676
TOP2A	8.09471155616992	7.52570098680539	8.85116041255848	5.77737123793174	7.7415215810726	7.69624201276214	8.71121753331548	6.08142595801231	8.07419447498618	6.86091677750602	8.85512051173197	8.13200210302069	7.38230608370574	7.33732914359253	9.15117238774092	8.28940078720772
PPIA	7.72214981591558	7.58702655989298	8.50590147591623	7.39175096870161	7.60471267599012	7.57020130821776	8.33655127297902	7.46809278565608	7.57022957912308	7.33959740839225	8.16041615368181	7.67002162600877	7.48355540060192	7.62360336419277	8.47894893460369	7.79389344351324
MCM7	7.60818235032492	7.4656479856049	8.73419036430267	6.75275974558009	7.49252325808638	7.40842088964738	8.87743835079982	6.8527673249434	7.42509531046508	6.83844418497649	8.57159871759006	6.96840550439676	7.05868148399658	7.59171015158501	8.80953340183788	7.28335573841993
STMN1	7.69753627308969	7.37284559954431	8.29027494065862	5.84015114780541	7.45660478098021	7.48275497785461	8.48785147474597	5.8796897044135	7.85000158051853	6.65110248234804	8.43348255054544	7.67545455164869	7.05137061666599	7.43086168267122	8.7705126894995	7.93647525273831
CENPF	7.46797721183988	7.20663713691864	8.03066899067166	5.60989254944715	7.03916229137838	7.09511825788815	8.22220073660909	5.63961649146319	7.38005173753673	6.49442315751738	8.10480429875312	7.49763166820322	6.69375889574685	6.98172738656796	8.45433619852778	7.79461446379701
PHF19	7.35071763213677	7.36678614011076	7.58799176502358	7.44987961093592	6.93181908028303	6.82795316143705	7.42836484454198	6.63703343317548	7.13567391089227	6.8293562087948	7.39852117940887	7.16574504896162	6.84487588733865	7.16836925850872	7.75411317417392	7.44492226434001
RRM2	7.04961559519179	6.29365616020816	8.41350918588441	3.88261482232062	7.06034576508208	6.58425288607963	8.3603003231086	4.02634241098901	7.30038144901475	5.61451924027975	8.3889631768468	6.36101859035594	6.44111199471663	6.52744880025567	8.32093006239996	6.53484238134839
HMGN2	7.46740638549786	7.13819321668302	7.07756296657398	6.46439805820689	7.27988500286625	7.11808955384615	7.21988066333806	6.58486505597583	7.52465266798496	6.85708910911388	7.0842571871824	7.17116789770657	7.07782659320566	7.00226662814023	7.55939201228697	7.40203745803273
NME2	6.69682865906736	6.57363057458101	8.13900662593286	6.49154177721547	6.61724082198909	6.6514273940341	7.8836013905837	6.58581337036689	6.57213163732105	6.33110262182991	7.9021763506483	6.61668594437214	6.56362909372883	6.72275612209789	7.99909262640094	6.8947219241719
TPX2	6.82979035753661	6.70822843948143	7.86930302492084	4.79343116331415	6.7702883591263	6.81644855726626	7.7317328968465	5.38598602509632	6.9692834375515	5.95014446050905	7.91193038052543	6.83559158561772	6.25861568432941	6.69923447098462	8.00130092894144	6.99197750958675
TYMS	6.72480157807306	5.77683675676574	8.27497737757973	3.58035891950103	6.55833155105285	6.04954488695128	8.10313722443057	3.70882111687694	6.99297357176011	5.0253749390433	8.17754157706735	6.07525528801704	6.05121645821887	6.08484598466002	8.213314941064	6.35256782059392
MCM4	6.7862069006245	5.70037298228319	8.34407411596953	4.50598508087605	6.1804970544437	5.31917436900577	7.97678738937211	3.89580330143042	6.92185175047315	5.19770448750441	8.26171881257446	5.79891781538586	6.18464878176951	6.05713162008976	8.41735581199924	6.10209477131512
ASPM	7.23743357576321	6.29081428033784	7.01929123885677	4.73445195836697	6.65804445039101	6.7558661021906	7.34444700304453	5.43522279134283	7.18314412462932	6.2321236348958	7.38899560762033	7.40691735302254	6.48247072525068	5.89741343440048	7.5994464486259	7.17211956645435
NUSAP1	6.65265407671994	6.52286436567269	7.43810516872198	4.91714894671821	6.56229684830205	6.64197809585349	7.38581209586275	5.30844628494826	6.82633687606836	5.97095478564166	7.54295132130369	6.87004655631841	6.14790761410152	6.4874820495946	7.55142678303705	6.90357195537867
PAICS	6.07597646684353	4.70673532562928	8.72193512576586	5.45159792522213	5.90075445932004	4.61358262912088	7.76147763718543	4.5655845571123	5.896484961846	4.64957213941681	7.89942648171728	4.91115441933021	5.73130421549623	4.81630556599926	7.99776602055648	5.29463688619039
MCM2	6.19016116631361	5.28840950481084	8.14303368892406	4.2057402211003	5.97445018357493	5.13441594630616	8.21088234455511	3.56491427532059	6.2386721982667	4.50703662944794	8.02189678020762	5.02901582284044	5.39334208594688	5.67490021715131	8.02048073617367	5.67646224388043
PRDX3	6.23332973819901	5.63763507175494	7.46501005345105	5.60924897436351	6.14694125621948	5.71186284948389	7.4081774148788	5.63717896788879	6.24740220360862	5.7067332974796	7.51560300269305	6.03699946632069	6.13512034522103	5.67313441734044	7.47626057544591	5.95969194300318
SMC2	6.12070883780263	5.48189348621455	7.19286280047956	4.42784340595169	6.05223728882699	5.58076329709927	7.02463953973793	4.74495328742942	6.34866554580274	5.32416415787324	7.341161008605	5.92252585498923	5.99842730943718	5.5119116912939	7.43780831999624	5.9947507557155
KIFC1	6.13323883746992	6.17486018689414	6.88100521840806	3.82169482098265	6.23047960867475	6.36271829979554	7.16479382474481	4.33987200104812	6.22710427072436	5.12847239560482	7.00556950550744	5.97111349462293	5.32396069626577	6.31174966361997	7.07487026109616	6.37472446224811
KIF2C	5.68628401789728	5.90749645280849	7.34128163897542	3.63449641569579	5.53966981535386	5.73870761615104	6.993814137669	4.09189124250685	5.74314360514347	4.77116994753166	7.14501103502311	5.78781308605501	4.9308334405798	5.77872122076949	7.09299899212374	6.13298247339216
FEN1	5.83529874211911	5.18914057213052	7.05290611859888	3.66206361514715	5.9633545314617	5.22896206547026	7.33930303084337	3.71807694815617	6.00829963253276	4.29517665822035	6.97455139819541	4.75113391484581	5.38920570531686	5.55217745005108	7.3544068902276	5.14707055276838
CDC20	5.49491291538857	5.52686810120772	6.97759076602029	3.34397106604536	5.34625505707801	5.72646573706323	7.07715477294888	3.88557104819601	5.43903699834028	4.55034722524461	7.16432503229706	5.68462420056482	4.81719635614428	5.72405367186845	7.27905183818167	6.07338617905346
FOXM1	5.89084639109021	5.75912582890945	6.7816746762511	3.69640409185349	5.8455773428805	5.70563992984586	6.87086591637113	4.21140528448453	5.98486187625661	4.83612840711316	6.79200793670765	5.84678800995437	5.14123849433543	5.84713955712518	6.98645172651094	6.1206146290845
CCNB1	5.56986022864867	5.50496481071388	6.99975533986136	3.75343608799097	5.54654901377761	5.62520056160993	6.87258591397321	4.39429329133358	5.76634691352935	4.79136761442684	6.98658540582775	5.86521830790578	4.8857423389589	5.25132024978939	7.23206220647343	6.01320528626693
CCNA2	5.73199286302328	5.28935900108559	6.82050803074661	3.17682425251569	5.78336059911016	5.79787396393843	6.84356456272042	4.33687100314485	6.04407658360179	4.96500958223877	7.03874897635359	5.86732980908622	5.17430672371511	5.19500692034292	6.99777731238948	5.6851981668642
