	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
LYST	7.84808419897729	8.3422983154667	8.11382384851111	9.27631425953147	8.40615283641071	8.70522331305104	8.71622084136539	9.07545517394747	8.27460848586666	8.72052323428717	8.83978323349404	9.324478813653	8.25234030134996	8.47083392104399	8.51014423059119	9.0311654347965
ENTPD1	7.84691432443433	7.81115731172894	9.16448831857157	8.78847708564544	7.45111612686037	7.01640260320847	8.97992854359871	7.58920997801109	7.86932991130476	7.40025528725782	8.91710019413336	7.92222093060284	8.23100473667564	8.06448219355695	9.7920662336049	8.88972884986603
LAG3	6.99362827735666	7.74036243591573	8.99118987456159	8.33116311440431	7.2088473070461	7.40213743835242	8.38856736220249	8.06253990402564	7.41146356107284	7.37415625661661	8.66076717401272	8.04886194743521	6.732803013568	7.92627758626286	7.7653311898471	7.93569104001088
CBLB	7.88117584760668	8.04458262716141	7.07876479405891	8.28183689126093	7.82852422114651	7.83215337214937	7.21814234652487	8.14409675679527	8.00340087228407	8.30138217480381	7.54844708740156	8.47988566279511	8.06369783537334	7.91573792443541	7.42749934003656	8.19151604777886
TIGIT	6.21349633497669	6.68857012403547	7.78333340464526	8.00168257425667	7.4474453889665	8.04057300072891	8.27545622661016	8.06299399306488	7.23211444067307	7.30395606451347	8.176832061742	8.00925290477586	7.12659559359066	8.00255229023198	8.10299671462939	8.29715556383652
CD7	7.14527082927863	6.91614911567611	7.42099171944522	7.97057622107593	6.43152705653066	6.46707092487196	7.07970974531104	7.03832143614934	6.69377433969559	6.78639551576889	7.62180832734234	7.03096312418262	6.58367742273614	7.04157600777295	6.84828149212059	7.61947266969056
HAVCR2	6.53844949866387	6.89914487247777	7.57229170407203	7.78058076726243	6.33814152385763	6.12312781686746	6.86889769060268	7.12263650810154	7.38046952288121	7.00653638754778	7.36053557207021	7.12837770041099	6.81435063618029	7.18457350413954	7.08469222474461	7.32846551170628
RIN3	6.75380373177361	7.31107433524562	6.82218335504505	7.42960854387831	6.85377553619381	7.19158211045576	7.26154672565037	7.13931155083808	6.70014772434483	6.94295503723352	7.28511708866174	6.97951007905119	6.51358510050899	7.37890738957577	6.73421644499694	7.4403221459274
ABCA2	6.1729923195106	7.57188904659807	3.40217003544698	7.92617892603063	6.83094770454402	7.88992641993923	4.94556411155702	7.79892580981437	6.4659025953597	7.64853059716603	4.54379964208857	7.24285531297177	6.73378201657862	8.11239773156223	4.50793512101235	7.45736088342638
RAB27A	6.75349160468956	6.58682037533356	6.78314994865481	6.56141235629829	6.94033234895247	6.86319783200964	7.1168792811628	7.176087828278	7.13294898994012	6.99700207462265	7.46698180824747	7.52330120375711	7.10304868198941	6.82833827624515	7.23581819887726	7.12405190266932
DUSP4	5.45323859039246	5.29787646362989	8.7962064874468	6.31018654470848	6.06586804372847	5.39003309439812	8.02143783406794	5.37870877577864	6.10146331233822	5.4189506957503	9.00957610398961	6.21058348104183	5.22995019098066	5.71321084855018	7.45353823618234	6.16009277706989
AHI1	5.89989990350194	6.25723865145281	7.00776973899658	7.70864854476632	5.76725525645753	5.77644234125628	7.34054635959582	6.57024563251649	6.57906436239974	6.68568412465804	7.55763310393806	7.83068221315886	5.5281085692469	5.54253829465442	7.27120374677969	7.23742635965379
PHLDA1	6.06293683455399	5.4016249845142	7.64967652232654	5.57142168508094	6.57665038669078	5.54635513785495	7.93683042249009	6.07873392439991	6.49049529039068	5.47247022250241	8.30651733951455	6.02128208439577	6.71043219679492	6.24358235552942	7.47101186225557	6.6518314423952
FUT8	6.36215324374949	6.8033569986865	6.90084655734586	7.1514465512503	6.40243522997963	6.55560168994725	6.71388080625014	6.98420647547537	6.67448349011541	6.86346292620063	6.7057090604233	7.03190467398781	6.51851686284604	6.65905977938727	6.92914658878054	7.10441378731025
CSF1	6.18229814084613	6.30402875243115	7.13569091489161	7.00794487553887	7.0601454777435	6.17236710742337	7.2262366316729	7.11192388106021	6.21263001216277	5.56610338670327	6.51004008136773	5.7232187732141	6.17122117788068	6.30454387693573	5.6367586933406	5.98770593609385
PRDM1	6.04825222130631	6.12414111568356	6.77501721781165	6.59332958752778	6.46821839776041	6.46539772917596	6.73807379093792	6.65672209191575	6.60109952740381	6.59206985494279	7.25907526508708	6.72777095701191	6.19036543069863	6.38477459446937	6.10723763797135	6.23254737631088
TNFRSF9	3.67110778140809	3.65600579568956	7.66162297840824	5.66419284159424	5.05128092969181	5.50655761594218	8.23323978497264	5.78927493206544	4.59865304300451	4.07998004034121	8.22113901702918	5.6408602613582	3.9860094609597	5.35334891123196	7.11376316661979	5.85629510990323
CCL3	5.22102901355159	5.60521244299905	7.8487851900461	5.8318998888294	6.4324558049755	5.31546410726836	7.01354685194445	6.21368446645206	6.63370904924103	4.91065068295498	6.7544577779944	5.88132805587882	5.47523453855071	6.33016859702518	6.26443516833266	5.85463654643821
AFAP1L2	5.48366605371236	5.54049038570406	6.91325059525956	6.6663016239445	5.592144899736	5.59613614072779	6.8679125698549	4.98239081800794	6.12409315264554	5.2829133510125	6.35960168008155	5.38689275057772	5.81571084389549	6.58649152188315	6.84508838457203	6.70372985894268
PAM	4.45833409770536	5.13945651124641	6.25912019123745	6.30304091602322	4.97173815516722	5.38154120386508	6.10792500813072	5.92934701902125	5.09556866924491	5.47995633546341	6.29306532439043	6.25211427540319	4.83919633029262	5.41240247797745	6.02583892594829	6.21110407978223
CTLA4	3.94920487807569	5.04479693770563	6.33014030911095	5.35739613806874	3.64805403797973	5.01779385765123	6.28700226223512	6.23882144214926	4.7627579393239	5.27719573502492	6.96175729040814	6.36998172434834	3.54027141318019	5.01526165509347	6.0643689964293	5.67332940709349
DGKH	5.33138190802444	5.25672031808385	5.40822456991656	5.95604227296599	5.37423624373214	5.47430914315467	5.21016303014325	5.49701856234458	5.49489854639713	5.97802120699499	5.50790446287	6.02001726533077	5.87192894745268	5.47590183368756	5.62248352497944	6.02946790304264
SNAP47	4.91205502813175	5.19826881026043	5.9276641007319	5.50516280294168	5.69634135515668	5.66189581960447	5.98474158110155	5.61319476123667	5.61053047410578	5.44383350941401	5.52138127129999	5.11446027175457	5.27995688064678	6.13188656710816	5.37248533732622	5.60723155462871
INPP5F	4.48565178850523	4.73209753491172	6.13019626423276	6.28098515277601	4.72119310564582	4.54932576004414	6.2310221117623	5.27198870118364	5.05531614246748	4.73269394712403	6.37996528445027	5.62929396808083	4.34667385156909	4.61518826204673	6.30968596358427	5.60854426592925
TIAM1	7.1373978421556	4.83191884486705	5.49600580335549	4.29968075044372	6.0650697897104	3.5464124648166	5.24016509296522	4.38705793010675	6.10854182049081	4.00816136962853	4.88834876550276	3.9101541508971	6.60844125436865	4.85108209545042	5.60283979903472	5.04022752735329
ACP5	4.79682388936541	5.36426424729024	5.26775466001756	5.4085985871728	4.93987077931605	5.41936715630368	5.20471137428377	6.20630383962194	4.86661210928157	5.4865782031228	5.07903971251853	5.86027942045091	5.3522848980752	6.12501363726079	5.12763846344843	6.07433655895373
MAST4	4.58301697738194	4.84230796809475	5.52920664943995	5.70029745784671	4.59857293540784	4.68893035428763	5.19295941952385	5.08611478540296	5.13076070306115	5.54325862273248	6.05621923700092	5.89725990025627	5.00190498525689	4.99089696506516	5.36152516985626	5.73713139099334
GCNT1	4.49613719132686	4.87430000988173	4.79770368301857	5.51687703205704	4.94508651881585	4.53790792754876	4.52207957271973	5.4609489200234	5.09455045946282	5.05463612165849	5.16969664832006	5.76609850336121	4.82579181077272	4.81096249220949	4.90606820679657	5.66956100081844
BATF	4.93865659604067	4.63832986265709	5.16135314048658	3.74408595032009	5.09260290276161	4.86981338146082	5.84605350308624	5.02776003017042	4.8019607987066	4.42667545948646	5.35371975655949	4.67603095254802	4.61809938589434	5.33782846126248	5.15962676720315	4.83572672104045
FAM3C	4.09034326601464	3.87168047004289	5.6184092723802	5.25743273938252	4.43520127943528	3.74483978102665	5.68255130027978	4.39140349977116	4.54599376127624	4.1895592293194	6.10118813937009	5.0784590429149	4.66538635068062	4.13859359340853	5.56033684628941	4.85244361581366
AKAP5	3.4485566611675	3.37753675948951	4.13964052264008	4.81368476168397	3.59152394424231	2.81735466398187	4.62478933153434	4.83703807407482	4.95566038137566	3.7492398729372	5.35673004520587	5.75701667185305	4.51101136946422	4.57414551816693	5.09078291718883	5.99022589397633
TOX	4.44602486209972	4.91792950303879	4.04279038233302	5.19789502159746	3.72688376616295	3.83052336937618	3.64671490446585	4.61596850693819	3.87777471770988	4.26852804086547	2.98592782352415	4.06044465492206	4.2404687858948	4.63709264080349	4.3615953708325	5.21414209599683
LAYN	1.90698886099718	2.5520280006444	6.63361611267868	5.47933349471087	0.73169210973828	1.06049302167654	3.62121846668929	2.49791928928098	2.3017512080637	1.23872508395826	4.07571207613728	2.54638949682897	2.26276658359871	2.61234982079029	5.12763846344843	4.38858920678825
PDCD1	3.32628661055288	4.10959076762399	4.93144180664479	4.67910445135706	2.74817877949599	3.31032117782755	3.1135860133694	4.77408882887936	3.26821180041875	3.72143871258304	3.98783274014839	4.54849358101895	2.30553500704817	4.27833476591495	2.63090279096862	4.68210840999745
TNFRSF18	2.06826641649058	1.68456795363086	4.91807522958337	4.33747499185645	1.8724709504114	0.708812634258211	4.75090888258973	0.196844602366127	2.29467547492503	0.329176777683259	4.97448412951659	0.51657595366925	1.82686606021017	2.27008374294449	3.57482575322763	2.43092939763552
TNIP3	1.60875415970541	2.00434175591778	4.45309593834587	1.70983403184029	2.48245763456553	2.46755670518731	4.47238991151156	2.36870875746956	2.96814608759188	2.50352858079783	4.48264903151426	2.31844243172906	2.82485290205071	3.08923895252395	4.5178412105469	2.28750064323658
VCAM1	1.15884306206167	2.02272824048159	4.53826676860818	1.63086463788014	3.27547465772389	3.58143731819417	4.84402214855242	4.0739799529579	0.518783567601722	0.73720144251765	3.49228906831094	0.82543094413673	0.970318413198706	1.95834110131714	3.59133808307153	2.46030856915836
KIR2DL4	0.122795007688754	0.847450231450022	1.07775018445146	4.36365923641776	0.486658707320781	0.0274443348325028	1.81118461489483	1.26818015196005	2.16099275207782	1.57330821293971	2.56788821489836	3.48072303697174	0.760895816685495	3.89372199017605	2.00685442304264	3.61189688181363
SHC4	-0.437024766009105	-1.28657005099732	4.22026675304676	2.39918890553142	0.346532701083152	-0.333493947812588	3.55420918450771	0.526815650125141	1.07600236570388	-0.379586377500426	4.1948824994465	1.86803874442165	0.0960133896506016	-0.699478577371103	3.16618135426843	2.35787787869197
IFITM10	-1.12498244729249	-0.239010713018087	0.158865502647272	2.75620333619172	-1.45942832064696	-0.869040564811812	0.350923159360362	0.248860594326212	-1.09593456716491	-1.38202351701709	1.40887275651394	0.51657595366925	-1.02555250654254	-0.140159785628319	-0.0556313129137302	3.03741943786895
TNS3	-0.348596367230157	0.272070144819091	1.36724072772803	1.82073098934152	-1.53487449090432	1.82445980029096	0.673112111567174	0.371243445495988	-1.62996561728343	-2.48714530379596	-0.313457698645941	0.00528585286834123	-0.890693057316977	-0.140159785628319	0.61394535106147	2.39486596338311
SARDH	-0.740379257109308	-0.963412281719066	-0.627306689264031	-0.0229057753366653	-0.771098309845116	-1.04101479954237	0.708761468267396	-1.21478860040584	0.824129545056525	0.572679100236728	0.979661801222417	0.999809908165745	0.41526801143416	1.20354410966503	0.30627200860195	0.635968001399893
ETV1	-1.2799277162021	-2.2927341938674	-1.60626815102162	-1.11556869556567	-0.0364434037769556	-0.296685548095219	1.58048951467868	-0.267788080040457	0.0659599237392756	-0.379586377500426	1.137350997256	-0.036212854791905	-1.864467878193	-1.22323161171872	-0.624493361956524	-0.363234422587311
