	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
EEF1A1	11.0361163137721	10.9221878391059	11.8462615463267	10.5367732195309	10.8573474713486	10.9285133789017	11.5059466491275	11.0857647750075	10.8906636639137	10.8368813639252	11.6286739830301	11.1603554093393	10.87713042807	10.8386241701007	11.5987399185768	11.2440325288975
RPL11	9.51449698464339	9.56058825473577	10.1229908395946	9.59924347149664	9.26831976173978	9.45279167531336	9.67179122048457	9.54343183388431	9.25444202874631	9.36138648576941	9.84656847628896	9.56846150353219	9.34193349203156	9.47042888279278	9.81566041282869	9.62499177442817
RPS8	9.23033396550045	9.05732439292328	9.91449782305479	8.86857564269416	8.64635911359062	8.88557289545846	9.46413458445639	9.0479630518094	8.64347335759145	8.66577815826853	9.47924589292529	9.11808475485054	8.69658745918963	8.88520291281536	9.48877593905691	9.18888367521294
RPL8	8.88704688149103	8.86636976605646	9.90783558685238	8.84067750952757	8.57469716855601	8.92506457504816	9.70174810912929	8.86542038809296	8.54804944125566	8.67731073600812	9.70167724371988	8.88533878443321	8.54197296775432	8.97722127270164	9.61509323014478	9.22131485622728
RPL18	8.78047989296998	8.96719370489558	9.34405300517969	8.93646521458083	8.51398724066786	8.99214087443276	9.19418153360114	9.05671050432413	8.503673899439	8.82194224912564	9.22304657122605	8.95441991625563	8.54727292785453	9.07797062906562	9.09675730927086	9.22923000654873
RPLP1	8.79995587656405	8.71506405159183	9.27250646471322	8.80571346241432	8.40646797937059	8.8331464779663	9.45239413104932	8.94376033540989	8.50597326076735	8.53593047438546	9.50852659085036	8.94236883021382	8.27583157589438	8.9280331629339	9.14464402951929	9.44317060382116
SMAP2	8.49112883626129	8.34367014074239	9.11794574329637	8.30616488882086	8.18400500527885	8.15305028488159	8.79270312205365	8.24118766760792	8.28925595000307	8.12348267625127	9.15161305441192	8.15767772528896	8.41365676588592	8.31234656066441	8.52334280882916	8.35822517725213
RPL6	8.2954402692608	8.12270402599628	8.82005771401102	7.94721210286225	8.01811415832366	8.11289436462617	8.65885422026446	8.30352219963994	7.97891744311001	7.92981203306018	8.54600244315047	8.22316850487482	7.99281796947443	8.02337686849396	8.7128621951298	8.21357381046486
DGKA	8.49075436899475	8.75358717066014	7.66815825924689	8.75002058634156	8.10028055042083	8.34389216843776	7.24437931272159	8.50528374327655	8.16841402334294	8.50955422969816	7.47669966689984	8.37977707473181	8.41741910597549	8.43602834622208	7.7998673387043	8.57768773441846
RPL12	8.13540610786888	7.89292208927107	9.13335427334192	8.32774410065801	7.62489508484166	7.63042271877008	8.59777538680908	7.79647026889983	7.84031536406029	7.67974614147871	8.90566930947654	8.12525385310781	7.91252230244009	7.90775105367565	8.78186132979039	8.37712215950357
