	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
B2M	12.0760442311376	11.9211551350814	11.3412440479345	11.8681527113743	12.2231774254765	12.0846347286153	11.388936583845	12.172029919665	12.2053542150186	12.2403672985677	11.5503934681076	12.0321861988358	12.321926292562	11.8846392402334	11.2796713471841	11.6382465045766
FLNA	10.2483436288827	11.0284922341489	10.6170016775074	10.5820617590821	10.7721940717163	11.4272435069585	10.9323816206092	10.8837471027789	10.5759919258415	11.2372950060737	10.8423852323157	10.9007585210509	10.4189356704897	11.4337603647539	10.5094402723078	10.7899164761556
HLA-C	10.4579435200256	10.7183551038194	9.81737509619357	10.3838395559641	10.6433226594869	10.7959181227974	9.89001995360901	10.6436295404471	10.1704333162262	10.2906958988774	9.7247731767449	9.82753153422554	10.1442868424522	10.5720064188205	9.24799033191681	9.73038006361853
PFN1	10.0847617351994	10.2321519324755	10.6511491916406	9.88195240433065	10.2486668734151	10.3549347472317	10.4467983611131	10.1248037610694	10.0944802085908	9.97639598791904	10.2885085633406	9.99122100461956	9.95783631436272	10.370488718889	10.535463843801	10.1759910013566
GNLY	6.23601329030998	8.6627174498301	7.84419885793327	11.5884923707394	9.20745176891097	10.7832478214315	8.77783249631486	10.9580147588267	9.24231096521047	10.4053248250934	10.7566680476817	11.3771110605995	8.84938191084706	10.1657570582333	8.95476555642031	10.3150531458294
TMSB10	9.41568030654312	9.94198288294714	10.4919759971691	9.85495908402544	9.49601163618986	9.90169450245103	10.0946927937919	9.73220491162012	9.48784365778333	9.76486644051014	10.0418752260609	9.71351938837428	9.3682301898587	10.0924510669783	10.2365046132308	9.86964662644695
PRF1	8.32273158858435	9.75191206037206	8.13516084876489	9.89752054368532	9.19208766574345	10.1844326695129	8.61571201916279	10.1109267211541	9.05217889484798	9.83128219503087	8.55978284720227	9.91722735999688	8.8234816989916	10.0684146429312	8.18231310495624	9.59235656675164
NKG7	7.78198340508821	9.02576715769028	8.71383567618091	8.49227788229947	9.38677274442031	10.1069480555279	8.96388247792301	9.85062076506802	8.62508076291532	9.10753191134446	8.67239146902516	8.8829056546567	8.34206248963547	9.86531441759853	8.2173099844188	8.56083366683757
MYO1G	8.30217827876464	8.99321284264591	9.16566702931056	9.14604521089177	8.76827412909832	9.30869371727368	9.20821191332523	8.86795634062598	8.51351621041113	9.06702982482517	9.1219157599525	8.9365986334984	8.35452722732267	9.20280828659873	8.98464997667765	8.91740051936832
SPN	8.77756638500572	9.20205645390086	8.13014596303401	9.08683069118533	9.04651692796572	9.47885873633738	8.76340308147798	9.26009931222855	8.8011101180166	9.2229422641214	8.39970568038921	9.13629373516077	8.85576622186757	9.1834013103422	8.54196922176686	9.00442698385682
GZMB	6.70039556276542	6.16247616157241	11.2520050142666	7.67275493154813	7.63299738322186	7.22697053337008	9.72257185682331	7.97126472609604	7.99319297947015	6.5460550515662	10.3875597139263	8.17865960037256	7.39432617490088	7.36384337710447	9.61368662354126	7.76828117762066
MYO1F	8.32062617712033	9.43852514472348	6.79757700243157	9.10314991208498	8.77573384399883	9.67919740968937	7.83199993757404	9.35868260268238	8.37435846561336	9.2683219260197	7.64559262841871	9.06387926882065	8.4606359340939	9.57657056597385	7.75306518962472	9.10161291809894
ITGB2	8.42250119493002	8.90358558548091	8.15523776534008	8.44346814297576	8.69824836682684	9.13412884701653	8.06732478162609	8.63951446147261	8.23311019573923	8.46277994519373	8.02394970509708	7.82181771874798	8.53122043026415	9.27884589230144	7.68215880769338	8.24662048829468
BIN2	8.01049184582604	8.82587987348643	6.39750668473229	8.20724735006475	8.47620583633182	9.08670323808327	6.75682098933365	8.82375807876194	8.17769851041371	8.9640281174307	6.48412078463193	8.5511220818719	8.30631395183457	8.70502942624328	6.70822655733018	8.22142418456936
CTSW	7.01227228268951	7.5246934382423	6.79660344297638	8.61348151134593	8.776343589079	8.83890866865184	8.26651326254812	8.99057983840531	8.45541349238845	8.26837893444732	7.78713211324445	8.44414176720869	7.6398703621175	8.26252573048616	6.98555967375579	8.06765685184914
SYNE1	8.13420782026495	8.59943174756785	5.71689748674085	7.20290170944032	8.51720092002007	8.93277428212071	6.91469413136028	8.44898246060374	8.16744596600655	8.56633332427379	6.86112120483216	8.27551684060065	8.26289091663622	8.7191461653636	6.96307718530557	8.05278609598652
CST7	6.83952808608389	8.27917583594439	7.45270227222892	8.08284872152373	7.86796160252309	8.66351091851567	7.86112874897173	8.90230176565581	7.25849239832724	8.05259503130758	8.14003052561	8.29394859162842	7.03901489880034	8.44467940584917	7.12878904473595	8.08626788193936
LITAF	6.80198867878398	7.9658530348713	7.79897450625791	8.29089516319653	7.44621973124519	8.48104218212652	8.17896831676499	8.43475439176441	7.11523594891969	8.10329347955944	8.5443531164155	8.42025036072994	7.10834260133548	7.95453769352404	7.9551131737728	7.92387640654959
