	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
GAPDH	10.2407643814711	10.3629712291	12.6651163942256	10.3947108631925	10.2681111069537	10.4451144865291	11.8060999631901	10.0964713675463	10.359357594202	10.2161116913143	12.31090569613	10.7512331406558	9.94995958507482	10.6548638333053	12.0268999686414	10.9807184118352
PKM	9.24500700056765	8.74184308693581	11.7388263058581	8.39425718359755	9.38960499079598	8.53540195395232	11.0246929551065	8.31614857116836	9.59814990710559	8.51998111550871	11.2298727324771	8.90953240136745	9.11892039368342	9.22487356488747	11.1060304160416	9.17510637403127
GZMB	6.70039556276542	6.16247616157241	11.2520050142666	7.67275493154813	7.63299738322186	7.22697053337008	9.72257185682331	7.97126472609604	7.99319297947015	6.5460550515662	10.3875597139263	8.17865960037256	7.39432617490088	7.36384337710447	9.61368662354126	7.76828117762066
LYST	7.84808419897729	8.3422983154667	8.11382384851111	9.27631425953147	8.40615283641071	8.70522331305104	8.71622084136539	9.07545517394747	8.27460848586666	8.72052323428717	8.83978323349404	9.324478813653	8.25234030134996	8.47083392104399	8.51014423059119	9.0311654347965
TPI1	7.8705652597299	7.66023605020304	10.2526652627599	7.53840784681578	7.91601039710469	7.50881901829529	9.31746753967494	7.43304082434328	7.95499343493437	7.30301848079905	9.71693659385688	7.44157754370331	7.66660395521592	7.8365703833416	9.43293684169109	7.69107813328756
CXCR6	8.08370436014105	9.0535570041527	5.03578835362409	7.64445121536248	8.50878638762171	9.09759986129006	6.53677450927481	9.22532722564796	8.93206361636607	9.27209980205054	6.59066675441112	9.31593634238575	8.4404891607932	9.06006579398968	6.79759497439217	8.68292014099688
ENTPD1	7.84691432443433	7.81115731172894	9.16448831857157	8.78847708564544	7.45111612686037	7.01640260320847	8.97992854359871	7.58920997801109	7.86932991130476	7.40025528725782	8.91710019413336	7.92222093060284	8.23100473667564	8.06448219355695	9.7920662336049	8.88972884986603
ASB2	8.04150306820098	8.32619655398053	7.95109297058907	9.32885915896505	8.0277742087696	7.57703528089729	8.80735780098609	8.26437401800891	8.36488874852928	7.96802262374068	8.89897356730399	8.25832228536218	7.83481126242073	8.31177922427837	8.83023966273256	8.94338149571912
IL2RA	7.32300926211482	7.00002897868842	10.652881764718	7.51162317583535	7.21479759462501	5.87097821631387	9.05044014433254	6.04096937505287	7.63013085682229	6.7169945388335	9.11252248978542	5.98154768679975	7.35690258131955	6.75955538182694	8.65253075584385	6.64096733554828
CCND2	8.19097742550652	7.69880227504264	9.11901705732172	7.55019162620793	8.58378234430267	7.99560531390653	8.09694964069828	7.68347672981467	8.6531012519343	8.08513752494629	8.1670049486884	7.4387405086378	8.68617291180727	8.11131141077479	7.79274548051958	7.46081729664355
LRRN3	9.42335302054653	8.26669521144323	6.59129481700029	8.46434766529248	7.92615657353533	6.78164278091626	6.29728381645294	7.29276776060928	8.86109132474645	8.27401191785885	6.75939492346515	7.77796940637591	9.56611021858388	8.00886628804873	7.53855982142151	8.60260531106007
RBPJ	7.3484460416771	7.54848422552385	8.72737346831729	9.07487692150926	7.39552592409944	7.26054717069372	8.36537010145333	7.96228613123987	7.75653407501021	7.70072151935634	8.83637266149113	8.36353866716464	7.61723707874923	7.16836925850872	7.98989187686058	8.29113903103909
LAG3	6.99362827735666	7.74036243591573	8.99118987456159	8.33116311440431	7.2088473070461	7.40213743835242	8.38856736220249	8.06253990402564	7.41146356107284	7.37415625661661	8.66076717401272	8.04886194743521	6.732803013568	7.92627758626286	7.7653311898471	7.93569104001088
HLA-DRA	7.03145099863307	7.80087354881565	7.17199298860772	5.13042157703842	8.42447388806018	8.5846312987665	8.62120328137015	7.24293985134603	7.91142479016522	8.084455622048	8.23756259425713	7.6599063063363	7.69402532791398	8.38408326237673	8.19587409652062	7.24081643161378
TIGIT	6.21349633497669	6.68857012403547	7.78333340464526	8.00168257425667	7.4474453889665	8.04057300072891	8.27545622661016	8.06299399306488	7.23211444067307	7.30395606451347	8.176832061742	8.00925290477586	7.12659559359066	8.00255229023198	8.10299671462939	8.29715556383652
CTSD	7.49865742867341	7.94792543308626	6.30365879595749	8.05901007065492	7.70368404440193	7.88179550644647	6.84130778189365	7.85690064891044	7.71125148442664	7.92890066049714	6.95051012165777	7.53928133219312	7.70538201933481	8.4615717157849	6.63388587495469	8.37664070069335
FKBP1A	7.38638361619565	6.96688188857967	7.90519933377652	7.36874035534165	7.35332107657503	7.01021882666166	7.65414354000371	7.33812082532137	7.33074868712444	7.04152839349701	7.61302319558895	7.3142476659941	7.3795981308121	6.94463783550771	7.85267859653378	7.30051376579011
CD27	6.93950208392428	7.49680922189431	6.49134818805547	8.10298927672691	6.3788603540657	6.86446798972062	6.51018717351019	7.98294996742906	6.60253276542329	7.19547095551645	6.59746939599607	7.94072101052897	7.02788336912612	7.85771285549956	7.39141595852407	8.5646430355933
PARK7	6.77978422786298	6.89852274389091	7.95981644247457	6.73310375133973	6.96792549098139	7.07638649534781	7.94327498953771	7.08131899610968	6.8908085928234	6.77562141996708	7.80487433377391	7.06570411951583	6.69375889574685	7.07338621176325	7.96034400143413	7.08944900110378
CD63	6.5578841978227	7.3138766234109	6.55087342635081	7.75112870595418	7.12936470043101	7.46996150466245	6.96393010958573	7.76597599104859	6.94435029133041	7.18125446867833	6.73839053712287	7.56834262155118	6.71142649352697	7.39381573400951	6.84238099334194	7.46245165921597
CD7	7.14527082927863	6.91614911567611	7.42099171944522	7.97057622107593	6.43152705653066	6.46707092487196	7.07970974531104	7.03832143614934	6.69377433969559	6.78639551576889	7.62180832734234	7.03096312418262	6.58367742273614	7.04157600777295	6.84828149212059	7.61947266969056
HAVCR2	6.53844949866387	6.89914487247777	7.57229170407203	7.78058076726243	6.33814152385763	6.12312781686746	6.86889769060268	7.12263650810154	7.38046952288121	7.00653638754778	7.36053557207021	7.12837770041099	6.81435063618029	7.18457350413954	7.08469222474461	7.32846551170628
CD82	6.38207725540269	6.60409408180498	7.80419111560744	7.24887075945009	6.84287255982493	6.56563198930871	7.52214292578249	6.69179206752206	6.8659614337482	6.46873368175756	7.78042212111335	6.69009507902546	6.60487852454445	6.98244052557836	7.11335488185722	7.39006487744975
