	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
EEF1A1	11.0361163137721	10.9221878391059	11.8462615463267	10.5367732195309	10.8573474713486	10.9285133789017	11.5059466491275	11.0857647750075	10.8906636639137	10.8368813639252	11.6286739830301	11.1603554093393	10.87713042807	10.8386241701007	11.5987399185768	11.2440325288975
TPT1	11.1651546359685	10.7200725998991	10.6467326633503	10.5244949238881	10.9447546900525	10.9527797248114	10.412309457092	11.1658698395306	11.1394445895049	11.0877828784878	10.5964093858611	11.0658955006761	11.194893696478	10.7054310539399	10.5326993143314	10.8554625998839
EEF2	10.5321719986416	10.6451670903632	11.1805240795539	10.1901196016941	10.1644830303894	10.7123813510546	11.1070745863731	10.7693130348452	10.1781437081555	10.6424362092731	11.3143635775562	10.6646473228158	10.1833305425278	10.8276697835655	10.9431488793404	10.9853520924497
RPS6	10.096437877597	9.83155654518018	11.05806170558	9.63335360812878	9.68315539676895	9.79439783211063	10.59439518081	9.93198575869612	9.74302556523058	9.60322187188001	10.7116248233473	10.0879105190474	9.77471280305168	9.73775981583985	10.7108006445459	10.136951414079
RPL3	9.99645086041921	9.87714897112771	10.8859539574271	9.24563564964846	9.6536577350981	9.84902738547109	10.5674744667568	9.83820599969512	9.70416872389989	9.74239085996652	10.7018433467899	10.0067088646557	9.78879437212001	10.0131857365634	10.6309556629793	10.2468808797278
RPL4	9.95514422545969	9.7700088572686	10.9198375867136	9.40842139243884	9.59493359938606	9.75552802455849	10.593929803969	9.85459332726769	9.70191401620656	9.68808098295227	10.6693480353175	10.0176820180911	9.65013798405813	9.62411042688472	10.5973364486024	9.93470637400436
RPS3	9.84713668546485	9.88061832294613	10.695108946076	9.58863079411454	9.57716187989985	9.8868642398604	10.4116547180825	9.9702836949535	9.59698196548127	9.70144000727086	10.5240558707884	10.0289653770343	9.63606890406499	10.0099833408743	10.5041359262907	10.1639042269255
PABPC1	9.91826999320302	9.75874105677527	10.4392060979468	9.70177613910932	9.44610938609585	9.78046986523499	10.2012151924038	9.75275723924479	9.72935580884896	10.0902467000759	10.4111293311517	10.1100355548655	9.65022440555613	9.51723495250429	10.2784438905657	9.80190833440466
RPLP0	9.44022647412317	9.4300478101936	10.8737880322457	9.10885245428887	9.12238508843998	9.46632333215287	10.6590352838589	9.51055864940547	9.25341598631864	9.19459610095417	10.762189015621	9.89622585798189	8.97233598496046	9.38531675992217	10.6155779734706	9.96944450613944
RPS4X	9.59561630596297	9.42837867419047	10.2309831355074	9.19302671088223	9.34031280008383	9.45473255708067	10.013446760075	9.67334762039748	9.41701413551603	9.34405691298627	10.0917348938931	9.84754543653647	10.0082993605513	10.0259823529469	10.7898786458494	10.4195720433566
RPL13A	9.28442938526548	9.63991756160793	9.95405612259264	9.19109267259816	9.14068552641137	9.81257529240276	9.87682813302416	9.81217369752133	9.09239032894728	9.62537804315832	9.92370133248024	9.86023488329988	9.13605384753322	9.71966083702988	9.80795412744241	9.842917801061
RPL11	9.51449698464339	9.56058825473577	10.1229908395946	9.59924347149664	9.26831976173978	9.45279167531336	9.67179122048457	9.54343183388431	9.25444202874631	9.36138648576941	9.84656847628896	9.56846150353219	9.34193349203156	9.47042888279278	9.81566041282869	9.62499177442817
RPL19	9.41976766306622	9.39629256402938	9.97292418408612	9.33451618398125	9.05854821275292	9.30701310839383	9.74219240538761	9.45662852553647	9.16863212327106	9.21024599003523	9.92670080804792	9.51542370900788	9.20197426045601	9.2929518132544	9.76496386909495	9.52990282565127
RPL37	9.30869165880586	9.39530067757986	9.77688353310417	9.64317200506387	8.92210519948239	9.28351408384919	9.41721985661725	9.4682457107997	8.96454146936377	9.16690626465138	9.5345688611995	9.39368363776709	9.04176904094823	9.31222543040191	9.48495413438919	9.40042239289358
RPL28	9.09016797968431	9.3349062268328	9.31545095672214	9.41897200622233	8.80124365657179	9.36330790496814	9.36165945176324	9.18865632681118	8.94913344671165	9.33983465778889	9.40509163306557	9.31342178633515	9.03985730541077	9.71272969592922	9.32551533055013	9.62843346071756
RPS18	9.16524145608897	9.02084484509615	10.0241978852085	9.13524479004452	8.72685710595958	8.95225851390545	9.62565625209783	9.01706889146113	8.54814241701888	8.56828555728513	9.72433622835717	9.05649551591808	8.883232236588	8.8919874348551	9.76112467096848	9.33521522247712
