	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
ACTB	12.11493962613	12.1032040930685	12.5824697613896	11.831547342187	12.1441656570895	12.1503032377305	12.624168405797	11.9670011105864	12.1283451472616	11.8859979652434	12.4437083308846	12.0989985883217	11.9286867584762	12.232575210142	12.7704012944294	12.3145120831542
CCL5	11.0220133963621	12.5994198979049	9.51501185369616	12.6849803286297	11.5209770940116	12.5403899846625	10.0944822503112	12.7873199402562	11.6181696156181	12.7228570766461	10.4795835276117	12.7685899215242	11.2747266242167	12.5230470600165	9.982748481067	12.3683005735892
B2M	12.0760442311376	11.9211551350814	11.3412440479345	11.8681527113743	12.2231774254765	12.0846347286153	11.388936583845	12.172029919665	12.2053542150186	12.2403672985677	11.5503934681076	12.0321861988358	12.321926292562	11.8846392402334	11.2796713471841	11.6382465045766
TMSB4X	11.0164147008408	11.0322901130918	11.3633363432315	11.1672757673392	11.0545839483276	10.9964618010058	11.2303131276053	11.0859602839448	11.1319737881425	11.0948765605638	11.3998751370852	11.155737761703	11.1017195277753	11.2019195428	11.4930358785835	11.1752293499669
ACTG1	10.7640352669573	10.962294138821	11.4395617650236	10.849056613446	10.8002114969441	11.0495085598472	11.4064809007135	11.0268864932644	10.7091584192074	10.7161970749239	11.1560694964882	11.1333576513146	10.4811555673904	11.1766442558718	11.5316101411437	11.5961031878647
IL32	10.6300787706866	10.7664346324235	10.7838777560546	10.3895665753067	10.678569623285	10.4876908064504	10.4544680844134	10.6571327186895	10.7344431534249	10.5311629436678	10.6453656207569	10.2486758999209	10.5337935243744	10.8867482858892	10.5002570618627	10.2081418824665
PFN1	10.0847617351994	10.2321519324755	10.6511491916406	9.88195240433065	10.2486668734151	10.3549347472317	10.4467983611131	10.1248037610694	10.0944802085908	9.97639598791904	10.2885085633406	9.99122100461956	9.95783631436272	10.370488718889	10.535463843801	10.1759910013566
CORO1A	9.84083327876148	10.3364306023403	9.897968600161	10.0306741185432	10.038771371647	10.3821487428015	10.0878079118937	10.2400980315051	9.90275520371031	10.0996923882206	9.97977360569216	10.0157399692529	9.75957145129866	10.6796637624835	9.98316751507872	10.404418417663
TXNIP	10.3562659231813	10.3381234878958	6.44114653024999	10.7367023098345	10.2870400529638	10.2805746611726	7.57456035050769	10.4741372695085	10.1785641841656	10.3990863647746	7.14239680629337	10.0902852476072	10.7679903139431	10.4589332867456	8.14474902056667	9.84375408465303
EVL	10.1732082433063	10.4753925466486	8.51673128595773	10.4371003329155	9.84544956313352	9.89434506201524	8.90609274998608	9.97273263208745	10.1308163593488	10.4197231124077	9.24622808029572	10.0614503707505	10.0681280436911	10.3425475899307	9.1159401141734	10.0277032654587
TMSB10	9.41568030654312	9.94198288294714	10.4919759971691	9.85495908402544	9.49601163618986	9.90169450245103	10.0946927937919	9.73220491162012	9.48784365778333	9.76486644051014	10.0418752260609	9.71351938837428	9.3682301898587	10.0924510669783	10.2365046132308	9.86964662644695
CD52	8.87683781460762	9.99357947782556	7.99822047669025	10.1699129989981	9.31258432547057	10.1091196105965	8.6668769275575	9.99417137231589	9.2289755106919	10.1016482674235	8.46706716113409	9.83941183206677	9.22385637958109	9.93355794686253	8.71326638494284	9.67016692726402
RAC2	9.28664217935176	9.46224214517354	9.1822550266655	9.50070923191847	9.31245820887964	9.46979082885061	9.22547603834578	9.34661112138566	9.24271315191196	9.26206370554474	9.17119573235604	9.18944040791076	9.19055097376832	9.63884891973997	9.27780874235004	9.50302404242164
CD2	9.04841258033898	9.41891973860851	8.66546058307111	9.29988750242262	9.36978271392307	9.29184607921596	8.75676600450116	9.52063587352448	9.49103916918778	9.64363909997879	8.85005585116662	9.65686791716946	9.42256820356215	9.65816973208479	8.89015630649927	9.56578225170429
GZMA	8.70202046812568	9.52031269642439	7.56759097875002	8.05971685900866	9.77091920320612	9.93290454215623	9.41465019257403	9.91299976496397	9.36818948789714	9.56051224068621	8.96152710388623	9.59721167305408	9.06380092584584	9.44396495766876	9.06322188215463	8.87323610298125
SH3BGRL3	8.92433617322065	9.32874268356787	8.43783147071309	9.3596539993638	9.15927107434046	9.27006281668808	8.73646719637326	9.14867775833959	9.1708075515481	9.28069797833783	8.55301846196415	9.06901021335218	9.07729748653145	9.47765482568419	8.81236596836436	9.16950281430715
TRAF3IP3	9.05146272507731	9.43552621543284	8.67018571485873	9.50291971528551	8.81091794298327	9.11882998955539	8.45927581750042	9.16616616624719	9.03821322189231	9.41536309817633	8.70681104090636	9.33780132978102	9.13277947441567	9.24952237159587	8.84020486030826	9.18657826428873
NKG7	7.78198340508821	9.02576715769028	8.71383567618091	8.49227788229947	9.38677274442031	10.1069480555279	8.96388247792301	9.85062076506802	8.62508076291532	9.10753191134446	8.67239146902516	8.8829056546567	8.34206248963547	9.86531441759853	8.2173099844188	8.56083366683757
MYO1F	8.32062617712033	9.43852514472348	6.79757700243157	9.10314991208498	8.77573384399883	9.67919740968937	7.83199993757404	9.35868260268238	8.37435846561336	9.2683219260197	7.64559262841871	9.06387926882065	8.4606359340939	9.57657056597385	7.75306518962472	9.10161291809894
CLIC1	8.48803657060832	8.86668787430822	8.88556086292727	8.81906363311941	8.84584543023957	8.83009421186783	8.75802940092774	8.756919712448	8.74015521396787	8.6590156340174	8.76565650382223	8.69517557791322	8.61773115043203	9.05972794690124	8.98621169111536	8.84392959842553
LCP2	9.02952395641899	8.85422938157274	8.1698792601158	8.50132455506276	9.08531878394536	8.57643884315918	8.40792817379548	8.59985178679485	9.01000465053382	8.73797264211026	8.09417171482126	8.43941868723682	9.14448352008058	8.80583881988996	8.45610824441982	8.4389356728859
MYL12A	8.64494073619259	8.67412154087752	8.41739357914389	8.58831197241907	8.83470650582286	8.781569460446	8.26511090319279	8.76761520599693	8.81979141758046	8.87724144971366	8.30677678753351	8.80692750002781	8.86807922146296	8.73213707048233	8.61639409727553	8.65714446898359
ACAP1	8.63107558525381	8.99844792542621	8.31996845470396	8.78256663672474	8.7338430405441	8.81460384081409	8.02773664392673	8.84073979358344	8.56358591506288	8.83164590025617	8.27768937952507	8.63530860139279	8.6673376315842	9.13563474424414	8.0385490084215	8.86055225788331
SASH3	8.46200663637701	9.02020156439664	7.5608694538457	8.48676996738192	8.61996920734672	8.93754938151334	7.91946320829633	8.95420157363651	8.62305201463246	8.87826472428852	7.83971731358934	8.7765407185859	8.52010345208482	9.0665820016065	8.05618138090249	8.88113270736551
RCSD1	8.29200569851766	8.76207644510018	7.65948258153014	8.96447565769204	8.18886809083616	8.71342299756765	8.16007916502343	8.69835189465897	8.15724195198142	8.74498004068219	7.94980181497137	8.84018547814044	8.3835114541668	8.77000935257821	8.4596458197896	9.03281642792643
GSTK1	7.92645871779687	9.01898569548569	7.48720461402902	8.75038546184928	8.21240000860779	9.15233826452866	7.88165047468106	9.13675613420646	7.9384898258598	8.91930019321284	7.48199374299692	8.8177046541588	8.09857012015863	8.83528386959568	7.81035869937134	8.72036081813075
PPP1R18	8.35508143946398	8.73567378991681	7.91319367974459	8.48422749301385	8.47462872028208	8.60794769212357	7.88725226240079	8.56765339957165	8.36150670232494	8.48082240784672	7.82620675070476	8.35365695621192	8.36762121282993	8.7945809071282	7.95009196405631	8.55956163875535
GIMAP6	8.27807656466448	8.8465894324026	5.88845075319092	8.85357361203642	8.3014278250183	8.76118862704472	6.6459693725957	8.91769841454064	8.28368284892868	8.78414227877012	6.44788035360803	8.68244021506464	8.54132075105113	8.99964544542136	7.19646228204141	8.88187928450137
CTSW	7.01227228268951	7.5246934382423	6.79660344297638	8.61348151134593	8.776343589079	8.83890866865184	8.26651326254812	8.99057983840531	8.45541349238845	8.26837893444732	7.78713211324445	8.44414176720869	7.6398703621175	8.26252573048616	6.98555967375579	8.06765685184914
DENND2D	8.0778575082136	8.27774126191692	7.08016566192155	8.53847640234701	8.00371001711589	8.50077986632878	7.21446567384404	8.7761564171494	8.00353649076952	8.28497492575857	7.00044591198874	8.34421253681792	7.98749230512294	8.28225561630062	7.37890173688787	8.15076155782732
PTPN6	7.27379963116326	8.12190474393167	8.17419603844431	8.51065951674738	7.6130653322557	8.05388353782853	8.13183781441289	8.28066864592984	7.36577456660934	7.6795655438481	7.74218155700119	7.96786980160567	7.18645885711549	8.25762445546023	8.05787978057297	8.11218098113408
GIMAP4	7.70352717714581	8.24960007785323	5.6639631674879	7.80902328849827	7.52190818248454	8.30166401468858	6.1627753890387	8.45582811367708	7.90882048846211	8.81225526015884	6.52928964292883	8.60304497009705	8.18330764937292	8.45053263407276	7.09113413513519	8.2980711383768
S100A4	7.13907146368238	7.88336408018796	7.18562984321232	7.44411688285973	8.04396826954724	8.39277536975955	7.74627992565335	8.02539226830666	7.74830289467222	8.1020811815888	7.55435909405301	8.16613571615733	7.65923705385244	8.38713838111101	7.60642646923045	7.88364501187275
PTPRCAP	7.57359223552219	8.26910373157037	6.16078317706349	8.24926439277515	7.8547427818891	8.36163115395398	6.67526545718963	8.37758293559015	7.65053955015976	8.1852098616958	6.45398399819467	7.93116422462449	7.63271525701041	8.6336588492239	6.52605293822222	8.37769969806725
