	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
ACTB	12.11493962613	12.1032040930685	12.5824697613896	11.831547342187	12.1441656570895	12.1503032377305	12.624168405797	11.9670011105864	12.1283451472616	11.8859979652434	12.4437083308846	12.0989985883217	11.9286867584762	12.232575210142	12.7704012944294	12.3145120831542
CCL5	11.0220133963621	12.5994198979049	9.51501185369616	12.6849803286297	11.5209770940116	12.5403899846625	10.0944822503112	12.7873199402562	11.6181696156181	12.7228570766461	10.4795835276117	12.7685899215242	11.2747266242167	12.5230470600165	9.982748481067	12.3683005735892
TMSB4X	11.0164147008408	11.0322901130918	11.3633363432315	11.1672757673392	11.0545839483276	10.9964618010058	11.2303131276053	11.0859602839448	11.1319737881425	11.0948765605638	11.3998751370852	11.155737761703	11.1017195277753	11.2019195428	11.4930358785835	11.1752293499669
GAPDH	10.2407643814711	10.3629712291	12.6651163942256	10.3947108631925	10.2681111069537	10.4451144865291	11.8060999631901	10.0964713675463	10.359357594202	10.2161116913143	12.31090569613	10.7512331406558	9.94995958507482	10.6548638333053	12.0268999686414	10.9807184118352
ACTG1	10.7640352669573	10.962294138821	11.4395617650236	10.849056613446	10.8002114969441	11.0495085598472	11.4064809007135	11.0268864932644	10.7091584192074	10.7161970749239	11.1560694964882	11.1333576513146	10.4811555673904	11.1766442558718	11.5316101411437	11.5961031878647
LCP1	10.4892105454771	10.6350722433158	11.2619807214842	10.3996507913958	10.8686710438102	10.7941196391614	11.3726746369236	10.5232065686784	10.8856689909471	10.7069452400442	11.3938125051921	10.7978277018279	10.6525469636264	10.7403522015735	11.4861144890004	10.6552180838104
MSN	10.3613444280504	10.8628500675399	10.1793050098627	10.585767294758	10.6374781961285	10.8499783388145	10.2581296571498	10.6802922723617	10.6075399985037	10.7850900412201	10.2799774877258	10.698643319847	10.5886425158767	11.0498151853828	10.4168946134574	10.7727839953985
IL32	10.6300787706866	10.7664346324235	10.7838777560546	10.3895665753067	10.678569623285	10.4876908064504	10.4544680844134	10.6571327186895	10.7344431534249	10.5311629436678	10.6453656207569	10.2486758999209	10.5337935243744	10.8867482858892	10.5002570618627	10.2081418824665
PFN1	10.0847617351994	10.2321519324755	10.6511491916406	9.88195240433065	10.2486668734151	10.3549347472317	10.4467983611131	10.1248037610694	10.0944802085908	9.97639598791904	10.2885085633406	9.99122100461956	9.95783631436272	10.370488718889	10.535463843801	10.1759910013566
CORO1A	9.84083327876148	10.3364306023403	9.897968600161	10.0306741185432	10.038771371647	10.3821487428015	10.0878079118937	10.2400980315051	9.90275520371031	10.0996923882206	9.97977360569216	10.0157399692529	9.75957145129866	10.6796637624835	9.98316751507872	10.404418417663
ARHGDIB	9.76671794688321	10.1740898993416	9.70716433841459	9.80226189928336	9.83234444530138	10.1331886867895	9.9032124517257	9.97315548415327	9.87733787038419	10.0285181920917	10.0330423552608	10.0795111337886	9.8153576380048	10.1600686929079	10.2625830484369	10.1836076749317
CFL1	9.62039003527355	9.72360974415251	9.53189276688619	9.14920322290794	9.75989334538125	9.78885614960373	9.86159814917293	9.50601544330067	9.71373283609634	9.53942030124864	9.64923953718313	9.61454692065854	9.45181734395405	9.92786155864797	9.97279565005487	9.75222077567993
CD52	8.87683781460762	9.99357947782556	7.99822047669025	10.1699129989981	9.31258432547057	10.1091196105965	8.6668769275575	9.99417137231589	9.2289755106919	10.1016482674235	8.46706716113409	9.83941183206677	9.22385637958109	9.93355794686253	8.71326638494284	9.67016692726402
MCL1	9.66060447094094	9.51808685591155	9.12343997013559	9.61006014627176	9.48419157116946	9.42792118978809	9.12809144244025	9.64708775563749	9.68582035860223	9.86574085592535	9.4614112145826	9.61789505966507	9.83194804835851	9.48098094343645	9.03843599686289	9.49057415865589
LSP1	9.1063297764603	9.85823693218681	9.42605579547649	9.51658395188259	9.00138430694435	9.53158129898019	9.34476450486688	9.35033619286721	9.18713894869628	9.70525960641729	9.59227183871951	9.62154821154772	9.05468903235472	10.0504750891391	9.22218878455462	9.90723446757347
VIM	9.29540596978928	9.20916072894705	9.60871417389224	8.82302389805341	9.66413961755375	9.50205772618728	9.6442948402247	8.80576036902437	9.77360531343044	9.51821741552178	9.90312924400382	9.4756089970125	9.23525043879932	9.52133019769193	9.28335441143845	9.18283786575034
CD96	9.78634119441988	9.44572918106702	8.1579884655305	9.66934110214035	9.59652271322326	9.03907224684257	8.81861844524068	9.43819432059012	9.99935421477552	9.6313662892531	9.12706712685182	9.53076943690978	9.93482106640957	9.25080548834094	9.08748519270323	9.54382159903859
RAC2	9.28664217935176	9.46224214517354	9.1822550266655	9.50070923191847	9.31245820887964	9.46979082885061	9.22547603834578	9.34661112138566	9.24271315191196	9.26206370554474	9.17119573235604	9.18944040791076	9.19055097376832	9.63884891973997	9.27780874235004	9.50302404242164
CAP1	9.15942202942486	9.3478386455617	9.23279513486169	9.07639112256718	9.47163397247016	9.52942089850064	9.20684908673578	9.30469972137299	9.38624441401164	9.40141387761131	9.21974367520401	9.31921800880256	9.27025257224809	9.42721324693152	9.36218979700131	9.20367114117482
CD2	9.04841258033898	9.41891973860851	8.66546058307111	9.29988750242262	9.36978271392307	9.29184607921596	8.75676600450116	9.52063587352448	9.49103916918778	9.64363909997879	8.85005585116662	9.65686791716946	9.42256820356215	9.65816973208479	8.89015630649927	9.56578225170429
GZMA	8.70202046812568	9.52031269642439	7.56759097875002	8.05971685900866	9.77091920320612	9.93290454215623	9.41465019257403	9.91299976496397	9.36818948789714	9.56051224068621	8.96152710388623	9.59721167305408	9.06380092584584	9.44396495766876	9.06322188215463	8.87323610298125
ARPC2	8.98641351684102	8.95475431054638	9.86902748542818	8.7007263545157	9.06300296753126	9.00457937572329	9.53244471026146	8.87805580776893	9.12989708564656	8.98208004711626	9.53915836981858	9.10181171447604	8.99183549060452	8.89571483115369	9.69181997914621	9.0040529709028
COTL1	8.70742892405369	8.77949801378186	9.72265586370931	8.66501972561697	8.86311192271073	9.05111428675998	9.57739456911234	8.72399021042808	9.10141538776306	9.22213651253716	9.83397754385404	9.11727175100195	8.61135318223486	9.00134700938437	9.73992367906684	9.00666902767676
LDHA	8.0995085966138	7.40079135777522	11.3771802519876	7.02758625628644	7.98304597994515	7.33957812353279	9.67696805272202	7.0750292851863	8.27775176182842	7.37236962316183	10.5243347857547	7.43114769302079	7.83739431158849	7.34381854162791	10.0192470443542	7.33640984537454
SH3BGRL3	8.92433617322065	9.32874268356787	8.43783147071309	9.3596539993638	9.15927107434046	9.27006281668808	8.73646719637326	9.14867775833959	9.1708075515481	9.28069797833783	8.55301846196415	9.06901021335218	9.07729748653145	9.47765482568419	8.81236596836436	9.16950281430715
PGK1	8.43520652908305	7.91830940865608	11.0900380930929	7.80228183453602	8.37501053078087	7.73425545156582	9.61487029614428	7.7563215880583	8.44995019698657	7.80258152170109	10.244188606685	7.88362448198335	8.34034950862335	8.01840167903291	9.87899795043954	7.87780497936806
MYL6	8.92392016398797	9.1642548652723	8.67138118057308	8.68432085889918	9.20183421854184	9.11637984074803	8.76538826507697	8.99843531514435	9.13175947748251	8.96298972434366	8.69724417031235	9.00500241667535	8.98012619035001	9.30891254014158	9.00366546735246	9.00261835566637
GZMB	6.70039556276542	6.16247616157241	11.2520050142666	7.67275493154813	7.63299738322186	7.22697053337008	9.72257185682331	7.97126472609604	7.99319297947015	6.5460550515662	10.3875597139263	8.17865960037256	7.39432617490088	7.36384337710447	9.61368662354126	7.76828117762066
CD53	8.70371783839321	9.00207225523439	8.24093747539358	8.72751271507238	9.20242418271742	9.11307086860892	8.45608373092097	9.05682449964958	9.0610021880823	9.04749931850254	8.34365847032272	8.88785449319426	8.93770613422365	8.96938866359217	8.47958266488108	8.60178162171387
CLIC1	8.48803657060832	8.86668787430822	8.88556086292727	8.81906363311941	8.84584543023957	8.83009421186783	8.75802940092774	8.756919712448	8.74015521396787	8.6590156340174	8.76565650382223	8.69517557791322	8.61773115043203	9.05972794690124	8.98621169111536	8.84392959842553
MYL12A	8.64494073619259	8.67412154087752	8.41739357914389	8.58831197241907	8.83470650582286	8.781569460446	8.26511090319279	8.76761520599693	8.81979141758046	8.87724144971366	8.30677678753351	8.80692750002781	8.86807922146296	8.73213707048233	8.61639409727553	8.65714446898359
ACTR3	8.6032854625494	8.21353987641229	9.05140094297753	8.22174033971358	8.57532798892982	8.26548839838729	8.86995431209028	8.24529477982731	8.73101097034786	8.31609539977008	8.88878467422201	8.55789261003099	8.6549873386626	8.07109027859358	9.09603426004141	8.4113716339766
TPM3	8.48681658322896	8.2850189198424	8.68886740201746	8.26814194296053	8.64034275788913	8.41686930030748	8.6821593778196	8.20595112003457	8.61721449982969	8.27365302210966	8.63051285546104	8.3711228076018	8.52473022928595	8.33402108385541	8.8600527877604	8.30142328257236
CXCR6	8.08370436014105	9.0535570041527	5.03578835362409	7.64445121536248	8.50878638762171	9.09759986129006	6.53677450927481	9.22532722564796	8.93206361636607	9.27209980205054	6.59066675441112	9.31593634238575	8.4404891607932	9.06006579398968	6.79759497439217	8.68292014099688
