	NGenes	Direction	PValue	FDR	meanlogfc	geneset	contrast
1	92	Up	5.01967404493915e-19	8.53344587639656e-18	0.751933365646591	Temra	Ttumor_vs_Trest
2	73	Up	2.27720693896388e-11	1.93562589811929e-10	0.32501488369414	ZNF683pos-CXCR6neg-Tm	Ttumor_vs_Trest
3	98	Up	6.47524030353939e-08	3.66930283867232e-07	0.343336275646836	GZMKpos-Tem	Ttumor_vs_Trest
4	85	Up	1.5795318901968e-06	6.71301053333639e-06	0.374520930852175	GZMKpos-earlyTem	Ttumor_vs_Trest
5	96	Up	0.000455697857154196	0.00154937271432427	0.249133831319981	GZMKpos-Tex	Ttumor_vs_Trest
6	90	Up	0.000923188843276399	0.00261570172261647	0.236770500639864	KIRpos-EOMESpos-NK-like	Ttumor_vs_Trest
7	98	Up	0.00607376736450965	0.0137518127614599	0.113768245477432	ZNF683pos-CXCR6pos-Trm	Ttumor_vs_Trest
8	98	Down	0.00647144129951054	0.0137518127614599	-0.333801032633572	NME1pos-T	Ttumor_vs_Trest
9	89	Up	0.033688068771914	0.063633018791393	0.0970114638917749	KIRpos-TXKpos-NK-like	Ttumor_vs_Trest
10	43	Up	0.335976129063815	0.49085672172671	0.101353531131338	OXPHOSneg-Tex	Ttumor_vs_Trest
11	85	Down	0.372699912332983	0.49085672172671	-0.0435204486337255	ISGpos-CD8pos-T	Ttumor_vs_Trest
12	85	Down	0.372699912332983	0.49085672172671	-0.0435204486337255	Tc17	Ttumor_vs_Trest
13	6	Up	0.375361022496896	0.49085672172671	0.0873297147468085	uncharacterized	Ttumor_vs_Trest
14	96	Up	0.485957661116625	0.590091445641615	-0.0119107185420345	Tn	Ttumor_vs_Trest
15	94	Up	0.561186867089742	0.636011782701707	0.0306663495305237	Tex-term	Ttumor_vs_Trest
16	79	Down	0.630064633286582	0.669443672866993	-0.110338724692166	TCF7pos-Tex	Ttumor_vs_Trest
17	85	Up	0.682499889898959	0.682499889898959	0.00249521235772495	Il7R-Tm	Ttumor_vs_Trest
18	94	Up	8.7203205149087e-12	1.48245448753448e-10	1.29931097588049	Tex-term	Teff_vs_Trest
19	98	Up	2.27422292606227e-10	1.93308948715293e-09	1.26455006536055	NME1pos-T	Teff_vs_Trest
20	73	Down	8.24630405086604e-07	4.67290562882409e-06	-0.581948383871724	ZNF683pos-CXCR6neg-Tm	Teff_vs_Trest
