SYMBOL	Cluster
CRTAP	cluster3
C4orf50	cluster3
JAKMIP1	cluster3
TFEC	cluster3
ELOVL4	cluster3
CRYBG1	cluster3
F8	cluster3
SPECC1	cluster3
TMEM178B	cluster3
CDON	cluster3
GLDC	cluster3
GAS2L1	cluster3
NEO1	cluster3
APOBEC3B	cluster3
TESC	cluster3
CDKN1A	cluster3
POMGNT2	cluster3
PRADC1	cluster3
GNB4	cluster3
CTSH	cluster3
E2F2	cluster3
CDC42EP4	cluster3
ANG	cluster3
RNASE4	cluster3
STX11	cluster3
CCSAP	cluster3
IFNG	cluster3
BTG3	cluster3
RAB23	cluster3
MBOAT2	cluster3
USP1	cluster3
NANP	cluster3
MAPK6	cluster3
RAD51C	cluster3
DMXL2	cluster3
CRTAM	cluster3
DNAJC6	cluster3
LDLR	cluster3
STK3	cluster3
LRRC42	cluster3
EBP	cluster3
KLHL23	cluster3
MYORG	cluster3
PTPDC1	cluster3
NTRK2	cluster3
B4GALNT1	cluster3
RRAS2	cluster3
RAB6B	cluster3
IL5	cluster3
CPNE2	cluster3
DPYSL2	cluster3
LONRF2	cluster3
FANCC	cluster3
DCLRE1B	cluster3
DSN1	cluster3
GINS3	cluster3
PCNA	cluster3
FEN1	cluster3
MCM10	cluster3
CDC6	cluster3
GINS2	cluster3
PSMC3IP	cluster3
E2F1	cluster3
NUDT15	cluster3
MAP3K20	cluster3
SCML2	cluster3
CHAC2	cluster3
C9orf40	cluster3
CCNE2	cluster3
SPATA5	cluster3
ZNF367	cluster3
LIN9	cluster3
E2F7	cluster3
FAM111B	cluster3
ASF1B	cluster3
KANK2	cluster3
CENPP	cluster3
HAUS8	cluster3
TTF2	cluster3
NCAPD3	cluster3
EXO1	cluster3
DTL	cluster3
GINS1	cluster3
RAD51	cluster3
CDC45	cluster3
FANCI	cluster3
CENPW	cluster3
MYBL2	cluster3
GINS4	cluster3
RAD54L	cluster3
TIMELESS	cluster3
LMNB1	cluster3
ADGRF3	cluster3
TUBB	cluster3
IQGAP3	cluster3
MKI67	cluster3
HASPIN	cluster3
CDCA5	cluster3
RACGAP1	cluster3
TPX2	cluster3
PRC1	cluster3
CDCA2	cluster3
KIF15	cluster3
POLQ	cluster3
HMGB3	cluster3
GGH	cluster3
POC1A	cluster3
KNSTRN	cluster3
CLSPN	cluster3
TCF19	cluster3
TRIP13	cluster3
ZWINT	cluster3
TUBA1C	cluster3
TUBA1B	cluster3
RRM2	cluster3
TYMS	cluster3
NCAPG2	cluster3
ERCC6L	cluster3
STIL	cluster3
SHCBP1	cluster3
SKA1	cluster3
MELK	cluster3
TK1	cluster3
PKMYT1	cluster3
RECQL4	cluster3
CHTF18	cluster3
UHRF1	cluster3
HIRIP3	cluster3
POLE	cluster3
LIG1	cluster3
OIP5	cluster3
ORC1	cluster3
HROB	cluster3
DMC1	cluster3
BRCA1	cluster3
EFCAB11	cluster3
DHFR	cluster3
MCM4	cluster3
PKP4	cluster3
RFX2	cluster3
SNRNP25	cluster3
DBF4B	cluster3
IFI27L1	cluster3
SYCE2	cluster3
ARHGEF39	cluster3
MCM5	cluster3
CENPM	cluster3
SPC24	cluster3
KIF2C	cluster3
AURKB	cluster3
CDC20	cluster3
BIRC5	cluster3
TRAIP	cluster3
TICRR	cluster3
CCDC150	cluster3
PCLAF	cluster3
CDT1	cluster3
PRR11	cluster3
CCNB2	cluster3
CDC25C	cluster3
CCNB1	cluster3
CDKN3	cluster3
BUB1	cluster3
MND1	cluster3
ARHGAP19	cluster3
ARHGAP19-SLIT1	cluster3
PTTG1	cluster3
EME1	cluster3
SPAG5	cluster3
CKAP5	cluster3
AURKA	cluster3
NCAPD2	cluster3
CDC7	cluster3
RDM1	cluster3
CBR3	cluster3
RHEBL1	cluster3
DDX11	cluster3
UBE2S	cluster3
NUDT1	cluster3
LMNB2	cluster3
WRAP53	cluster3
CDCA4	cluster3
DPP3	cluster3
FANCG	cluster3
CHAF1A	cluster3
SUV39H1	cluster3
RNASEH2A	cluster3
THSD8	cluster3
CEP72	cluster3
MCM2	cluster3
XRCC3	cluster3
ACOT7	cluster3
POLD1	cluster3
BRME1	cluster3
TONSL	cluster3
NCAPH2	cluster3
SLC25A10	cluster3
TEDC2	cluster3
DTYMK	cluster3
PAQR4	cluster3
WDR90	cluster3
BCL2L12	cluster3
FANCA	cluster3
SEC14L2	cluster3
EGR2	cluster3
CCL1	cluster3
TMEM217	cluster3
NCAPH	cluster3
CEP128	cluster3
SPDL1	cluster3
MTFR2	cluster3
CENPN	cluster3
DLGAP5	cluster3
CCNA2	cluster3
ECT2	cluster3
DIAPH3	cluster3
ARHGAP11A-SCG5	cluster3
C1orf112	cluster3
CEP55	cluster3
NCAPG	cluster3
NEIL3	cluster3
CDK1	cluster3
SPC25	cluster3
SKA3	cluster3
CKAP2L	cluster3
ESCO2	cluster3
CENPI	cluster3
PLK4	cluster3
PBK	cluster3
ARHGAP11A	cluster3
CIP2A	cluster3
BRIP1	cluster3
SGO1	cluster3
DSCC1	cluster3
DDIAS	cluster3
RAD51AP1	cluster3
CENPU	cluster3
CCDC15	cluster3
ERI2	cluster3
NRGN	cluster3
KIF20B	cluster3
C18orf54	cluster3
BRCA2	cluster3
NUF2	cluster3
TTK	cluster3
HMMR	cluster3
CENPE	cluster3
KIF18A	cluster3
DEPDC1	cluster3
SGO2	cluster3
H2BC11	cluster3
RASGEF1B	cluster3
TCAF2C	cluster3
SLC31A1	cluster3
MICAL2	cluster3
SLC25A3	cluster3
ATP5F1A	cluster3
PARK7	cluster3
UQCRFS1	cluster3
FABP5	cluster3
SNRPF	cluster3
HADHA	cluster3
HAUS4	cluster3
SOD1	cluster3
MRPL51	cluster3
TALDO1	cluster3
SNRPA	cluster3
SLC25A5	cluster3
BOLA2	cluster3
PPIAL4C	cluster3
TM4SF19-DYNLT2B	cluster3
CCDC124	cluster3
HSPBP1	cluster3
REEP4	cluster3
ILVBL	cluster3
MRPL36	cluster3
NANS	cluster3
MRPS26	cluster3
BNIP1	cluster3
MT2A	cluster3
BCL6B	cluster3
SPHK1	cluster3
SLC48A1	cluster3
PER1	cluster3
STARD3NL	cluster3
BPGM	cluster3
SETBP1	cluster3
LMNA	cluster3
ATF3	cluster3
SAP30	cluster3
ST3GAL4	cluster3
WDR54	cluster3
SQOR	cluster3
CCDC167	cluster3
DDB2	cluster3
EHD4	cluster3
CCNE1	cluster3
AARS1	cluster3
ADGRD1	cluster3
HMGN5	cluster3
FAAP24	cluster3
BLVRA	cluster3
HSPA2	cluster3
TUBB6	cluster3
PDSS1	cluster3
MIPEP	cluster3
COPRS	cluster3
COX6C	cluster3
NDUFB3	cluster3
DHRS11	cluster3
MRPS15	cluster3
GOT1	cluster3
PRDX1	cluster3
TXN	cluster3
DBI	cluster3
PSMB2	cluster3
CCT3	cluster3
CCT7	cluster3
FH	cluster3
YBX1	cluster3
SNRPG	cluster3
EIF4A1	cluster3
SENP3-EIF4A1	cluster3
YWHAE	cluster3
SNRPD1	cluster3
ATP5F1B	cluster3
FAM184A	cluster3
TNIP3	cluster3
ALCAM	cluster3
ACAT1	cluster3
HS6ST1	cluster3
MT1E	cluster3
EEF1AKMT4-ECE2	cluster3
NKD2	cluster3
GPX4	cluster3
ANKRD9	cluster3
SHMT1	cluster3
CBR1	cluster3
SPA17	cluster3
TNFSF4	cluster3
THOC3	cluster3
PUDP	cluster3
LGMN	cluster3
KHDC1	cluster3
MRPS18A	cluster3
PTTG2	cluster3
EIF3L	cluster3
EIF3D	cluster3
TMEM143	cluster3
EEF1B2	cluster3
ZNF90	cluster3
RPL3	cluster3
CHCHD3	cluster3
LTA	cluster3
ZNF280B	cluster3
PRDX4	cluster3
CYCS	cluster3
RAD18	cluster3
MCMBP	cluster3
ADO	cluster3
SELENOI	cluster3
MAGOHB	cluster3
TRIAP1	cluster3
PTP4A1	cluster3
SCMH1	cluster3
UTP20	cluster3
PNO1	cluster3
IFRD2	cluster3
NOP16	cluster3
