	SYMBOL	SampleGroup	cpm	donor	condition
1	GZMB	HD276_Trest	6.70039556276542	HD276	Trest
2	PTPN6	HD276_Trest	7.27379963116326	HD276	Trest
3	LAG3	HD276_Trest	6.99362827735666	HD276	Trest
4	TCF7	HD276_Trest	8.31344470786789	HD276	Trest
5	TNFRSF9	HD276_Trest	3.67110778140809	HD276	Trest
6	CTLA4	HD276_Trest	3.94920487807569	HD276	Trest
7	TOX	HD276_Trest	4.44602486209972	HD276	Trest
8	PDCD1	HD276_Trest	3.32628661055288	HD276	Trest
9	NR4A2	HD276_Trest	1.91594194923498	HD276	Trest
10	NR4A3	HD276_Trest	1.24662540364684	HD276	Trest
11	NR4A1	HD276_Trest	1.75562416208694	HD276	Trest
12	TOX2	HD276_Trest	-0.857545998056005	HD276	Trest
13	GZMB	HD276_Ttumor	6.16247616157241	HD276	Ttumor
14	PTPN6	HD276_Ttumor	8.12190474393167	HD276	Ttumor
15	LAG3	HD276_Ttumor	7.74036243591573	HD276	Ttumor
16	TCF7	HD276_Ttumor	7.62832300582967	HD276	Ttumor
17	TNFRSF9	HD276_Ttumor	3.65600579568956	HD276	Ttumor
18	CTLA4	HD276_Ttumor	5.04479693770563	HD276	Ttumor
19	TOX	HD276_Ttumor	4.91792950303879	HD276	Ttumor
20	PDCD1	HD276_Ttumor	4.10959076762399	HD276	Ttumor
21	NR4A2	HD276_Ttumor	1.96685051181486	HD276	Ttumor
22	NR4A3	HD276_Ttumor	-0.583766503933301	HD276	Ttumor
23	NR4A1	HD276_Ttumor	1.12780542337559	HD276	Ttumor
24	TOX2	HD276_Ttumor	-1.1987454319957	HD276	Ttumor
25	GZMB	HD276_Teff	11.2520050142666	HD276	Teff
26	PTPN6	HD276_Teff	8.17419603844431	HD276	Teff
27	LAG3	HD276_Teff	8.99118987456159	HD276	Teff
28	TCF7	HD276_Teff	4.97340118501867	HD276	Teff
29	TNFRSF9	HD276_Teff	7.66162297840824	HD276	Teff
30	CTLA4	HD276_Teff	6.33014030911095	HD276	Teff
31	TOX	HD276_Teff	4.04279038233302	HD276	Teff
32	PDCD1	HD276_Teff	4.93144180664479	HD276	Teff
33	NR4A2	HD276_Teff	4.41680789688892	HD276	Teff
34	NR4A3	HD276_Teff	5.9241024461619	HD276	Teff
35	NR4A1	HD276_Teff	5.55534307144286	HD276	Teff
36	TOX2	HD276_Teff	1.23550338955641	HD276	Teff
37	GZMB	HD276_Tex	7.67275493154813	HD276	Tex
