ENTREZID	SYMBOL	logFC.Tex	FDR	nr_overlaps	exhausted_CD8_scRNAcluster_HCC_Zheng2017_human	exhausted_signature_CD8_NSCLC_up_Guo2018_human	exhaustion_associated_variable_Tirosh2016_human	exhaustion_consistent_core_up_Tirosh2016_human	exhaustion_Mel75_up_Tirosh2016_human	PD1high_CD8_TILs_vs_EM_blood_up_Thommen2018_human	PD1high_CD8_TILs_vs_PD1int_low_TILS_up_Thommen2018_human	PD1int_CD8_TILs_vs_EM_blood_up_Thommen2018_human	PD1neg_CD8_TILs_vs_EM_blood_up_Thommen2018_human	tumor_specific_TILs_vs_tumor_specific_blood_up_Baitsch2011_human	selectedHit
54602	NDFIP2	-0.692290514334611	1.29294630200476e-07	7	1	1	1	0	0	1	1	1	1	0	TRUE
22822	PHLDA1	-0.369637278136221	2.26737434820872e-06	7	1	1	0	0	0	1	1	1	1	1	TRUE
1846	DUSP4	0.294217344365618	2.83824404994959e-06	7	1	1	0	0	0	1	1	1	1	1	TRUE
51429	SNX9	0.731159532930934	2.82417547976961e-05	6	1	0	1	0	1	1	1	0	0	1	TRUE
4643	MYO1E	1.49167325108736	1.79263982926537e-06	5	1	0	0	0	0	1	1	1	1	0	TRUE
953	ENTPD1	0.455833333715447	1.7997123955372e-06	5	1	1	1	0	0	1	1	0	0	0	TRUE
27115	PDE7B	2.15574768915655	7.17240505113046e-06	5	0	0	1	0	1	1	1	1	0	0	TRUE
2669	GEM	-0.440153125466351	0.000803718818901364	5	0	0	0	0	0	1	1	1	1	1	TRUE
10447	FAM3C	0.469094135515363	4.10202780303749e-06	4	0	0	0	1	1	1	1	0	0	0	TRUE
6846	XCL2	-0.259925284710149	6.71564098292265e-06	4	0	0	0	1	0	0	0	1	1	1	TRUE
9901	SRGAP3	1.76544431363008	8.98677847593039e-06	4	0	0	0	0	0	1	1	1	1	0	TRUE
9495	AKAP5	1.20712450931349	2.57816750517141e-05	4	1	0	0	0	0	1	1	1	0	0	TRUE
10252	SPRY1	-0.825744279189368	7.8318345215223e-05	4	0	0	0	0	0	1	1	1	0	1	TRUE
5763	PTMS	0.908120137544989	0.000139718963844743	4	0	0	0	0	0	1	1	1	1	0	TRUE
5358	PLS3	4.14843634276804	1.44260873081021e-07	3	0	0	0	0	0	1	0	1	1	0	TRUE
116449	CLNK	4.48392487355672	3.0126197665316e-05	3	0	0	0	0	0	1	1	1	0	0	TRUE
5054	SERPINE1	3.03171480242372	0.000512085932508405	3	0	0	0	0	0	1	0	1	1	0	TRUE
5251	PHEX	2.6156993921307	1.80533103824887e-06	2	0	0	0	0	0	1	1	0	0	0	TRUE
399694	SHC4	1.58018322155105	3.80963183498967e-06	2	0	0	0	0	0	1	1	0	0	0	TRUE
4914	NTRK1	2.33137346727461	1.08136735612877e-05	2	0	0	0	0	0	1	1	0	0	0	TRUE
64231	MS4A6A	4.15069577452742	5.77429354436158e-05	2	1	0	0	0	0	1	0	0	0	0	TRUE
8536	CAMK1	-0.463348692845138	5.92888274644314e-05	2	0	0	0	0	0	1	1	0	0	0	TRUE
2030	SLC29A1	-0.627166463226196	8.64427158210361e-05	2	0	0	0	0	0	1	1	0	0	0	TRUE
4938	OAS1	1.90370237671875	0.00177159799623702	2	0	0	0	0	0	1	1	0	0	0	TRUE
6261	RYR1	0.80535879760645	0.00400307344156623	2	0	0	0	0	0	1	1	0	0	0	TRUE
5028	P2RY1	0.866048588571333	0.00513490288859871	2	0	0	0	0	0	1	1	0	0	0	TRUE
83699	SH3BGRL2	2.67273186000988	4.57822943615475e-06	1	0	0	0	0	0	0	1	0	0	0	TRUE
10079	ATP9A	3.20936186314098	0.000283514555485696	1	0	0	0	0	0	0	1	0	0	0	TRUE
3604	TNFRSF9	1.41535602822051	2.61058229552908e-06	9	1	1	0	1	1	1	1	1	1	1	FALSE
1493	CTLA4	1.93987053260793	8.70571436966629e-07	8	1	1	1	0	1	1	1	1	0	1	FALSE
7412	VCAM1	0.813268076208543	1.80915051916253e-05	8	1	1	1	0	1	1	1	1	1	0	FALSE
3902	LAG3	0.990548021993501	0.000307018941833403	8	1	1	1	0	1	1	1	1	1	0	FALSE
3458	IFNG	-1.67509381835132	8.96854824144918e-06	7	1	1	0	0	0	1	1	1	1	1	FALSE
2171	FABP5	0.17099334350417	1.1934624043952e-05	7	0	1	1	0	1	1	1	1	1	0	FALSE
5996	RGS1	1.72517651113076	0.000199333170701029	7	1	1	0	0	0	1	1	1	1	1	FALSE
201633	TIGIT	1.09497642930415	0.000494534551936524	7	1	1	0	1	1	1	1	1	0	0	FALSE
939	CD27	1.40745103310181	6.46678488866701e-07	6	1	1	0	1	1	0	1	0	0	1	FALSE
23406	COTL1	0.0562243677309278	4.81089114137766e-06	6	0	1	1	0	1	1	0	1	0	1	FALSE
4664	NAB1	0.240500899673544	6.18880764606284e-06	6	1	0	1	0	1	1	1	1	0	0	FALSE
3002	GZMB	0.418681625794376	1.36562235256082e-05	6	1	1	0	0	0	1	1	1	1	0	FALSE
143903	LAYN	1.86339843238332	3.30023348281043e-05	6	1	1	0	0	0	1	1	1	1	0	FALSE
5997	RGS2	1.73237510024817	5.09000133970315e-05	6	1	1	0	1	1	1	1	0	0	0	FALSE
3399	ID3	1.6953158553686	0.000104671112629468	6	1	0	1	0	1	1	0	1	1	0	FALSE
5133	PDCD1	1.77891459496855	0.00294594203161834	6	1	1	1	0	1	1	1	0	0	0	FALSE
3329	HSPD1	-0.3579620365749	2.67261663529287e-08	5	0	0	1	0	0	1	0	1	1	1	FALSE
79931	TNIP3	-0.324505769509412	6.88282501112207e-07	5	0	1	0	0	0	1	1	1	1	0	FALSE
3662	IRF4	0.432610846552643	1.65596063325393e-06	5	0	0	1	0	0	1	0	1	1	1	FALSE
1390	CREM	-1.23406378486112	1.7154171799334e-06	5	1	0	1	0	0	1	0	1	1	0	FALSE
8140	SLC7A5	-0.530951378695933	2.1131908765219e-06	5	0	0	1	0	0	1	0	1	1	1	FALSE
3315	HSPB1	0.12129667263689	3.45259309085948e-06	5	0	0	1	0	1	1	0	1	1	0	FALSE
56253	CRTAM	-0.767038787584283	4.242029774305e-06	5	0	0	0	1	0	1	0	1	1	1	FALSE
