SYMBOL	DESCRIPTION	GENEBIOTYPE	ENTREZID	UNIPROTID	LENGTH	METABIOTYPE	logFC	logCPM	F	PValue	FDR
LIME1	Lck interacting transmembrane adaptor 1	protein_coding	54923	X6RKG5.40	2550	protein_coding	1.32133223346128	4.98373834478965	242.541345388112	1.27777097979974e-09	1.52425300180311e-05
S1PR4	sphingosine-1-phosphate receptor 4	protein_coding	8698	NA	1663	protein_coding	1.515716325216	6.25038624301674	197.166034796311	4.42306064686948e-09	2.6381345228253e-05
HTATSF1	HIV-1 Tat specific factor 1	protein_coding	27336	Q5H918.106	3055	protein_coding	-1.31153400184684	6.88177544054585	175.655440985081	8.78744877765459e-09	3.49418254895472e-05
VCL	vinculin	protein_coding	7414	NA	9992	protein_coding	1.25535777786729	6.31551833450282	164.143443199404	1.31164881346508e-08	3.91166467395622e-05
BIN1	bridging integrator 1	protein_coding	274	A0A024RAG9.50	6862	protein_coding	1.12943400235269	6.61850811756366	153.281116469804	1.96215705528152e-08	4.68131430249066e-05
KIF21B	kinesin family member 21B	protein_coding	23046	O75037.182	12164	protein_coding	0.741170565623817	7.66208654379306	141.007498905565	3.19747855794998e-08	6.35712028629754e-05
GSTK1	glutathione S-transferase kappa 1	protein_coding	373156	C9JNT3.70	4214	protein_coding	0.939917506355872	8.49457621339629	125.178664214964	6.38284626537424e-08	0.000101483741740621
CDC25B	cell division cycle 25B	protein_coding	994	B4DIG0.103	3903	protein_coding	1.18437299755704	8.09853306565558	123.795291795522	6.80585073287757e-08	0.000101483741740621
TIAM1	TIAM Rac1 associated GEF 1	protein_coding	7074	A0A2X0TW27.21	9198	protein_coding	-2.16380045012656	5.46575524170446	115.602322261661	1.0092570783996e-07	0.000133771418758098
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	protein_coding	64411	G5E9Y3.90	6195	protein_coding	1.27603160415186	5.19624304699566	111.749053719795	1.22554671562011e-07	0.000142699474114843
DOK2	docking protein 2	protein_coding	9046	O60496.173	2041	protein_coding	0.986922191708745	6.79932198491777	110.21407130039	1.32635164186727e-07	0.000142699474114843
TMEM200A	transmembrane protein 200A	protein_coding	114801	A8K2A1.103	5858	protein_coding	-1.46521279190811	3.5294491900952	108.697659205506	1.43548804541715e-07	0.000142699474114843
HS1BP3	HCLS1 binding protein 3	protein_coding	64342	F8WDN8.49	14625	protein_coding	0.860372144643558	4.37604174039034	97.4899555583237	2.6613393852779e-07	0.000187832963152512
GBP2	guanylate binding protein 2	protein_coding	2634	P32456.178	7223	protein_coding	0.617218014706924	8.52364392063513	97.4033720815245	2.67471164479322e-07	0.000187832963152512
KRR1	KRR1 small subunit processome component homolog	protein_coding	11103	Q13601.172	10747	protein_coding	-1.01368500277336	5.299357120552	97.262355504876	2.69665772962161e-07	0.000187832963152512
FARSB	phenylalanyl-tRNA synthetase subunit beta	protein_coding	10056	Q9NSD9.191	6761	protein_coding	-1.03319612854262	5.08459413490899	97.1809101787689	2.70942788784627e-07	0.000187832963152512
MOB2	MOB kinase activator 2	protein_coding	81532	NA	4537	protein_coding	0.677895950614785	4.81609209347328	96.7996668230561	2.77014400237603e-07	0.000187832963152512
NDFIP2	Nedd4 family interacting protein 2	protein_coding	54602	Q9NV92.154	4996	protein_coding	-1.5533537797283	5.70919340846372	96.4074203870861	2.83426384168432e-07	0.000187832963152512
TRAV12-3	T cell receptor alpha variable 12-3	TR_V_gene	NA	A0A0B4J271.38	399	protein_coding	1.85157441651329	4.62801979508541	93.078104790222	3.4536219814272e-07	0.000212443609220541
MAPK13	mitogen-activated protein kinase 13	protein_coding	5603	NA	7034	protein_coding	1.37278634710484	5.70648230525011	92.5678922744734	3.56180080845907e-07	0.000212443609220541
NIPSNAP1	nipsnap homolog 1	protein_coding	8508	Q9BPW8.164	2983	protein_coding	0.52595172852203	6.10560353151313	88.8340724760299	4.48476875551036e-07	0.000253035804476345
NLRP1	NLR family pyrin domain containing 1	protein_coding	22861	Q9C000.217	11682	protein_coding	0.850290017231636	8.29802351437687	87.8512680515424	4.77198706299983e-07	0.000253035804476345
CCL5	C-C motif chemokine ligand 5	protein_coding	6352	D0EI67.102	1499	protein_coding	1.24093812836837	12.0020693445376	87.5033899196765	4.87871867126827e-07	0.000253035804476345
ZNF736	zinc finger protein 736	protein_coding	728927	NA	11183	protein_coding	-0.820703151199682	3.84607830297572	86.6439456528809	5.15447420550076e-07	0.000256198844989244
TMEM64	transmembrane protein 64	protein_coding	169200	Q6YI46.123	5870	protein_coding	-1.48969144121863	3.78809084965141	85.8313159584572	5.4319439717664e-07	0.000259190638556805
GOLGA8Q	golgin A8 family member Q	protein_coding	728047	H3BV12.49	5348	protein_coding	-2.18497253489442	1.97012188861478	83.6996640128529	6.24599905412626e-07	0.000272363940003015
