SYMBOL	DESCRIPTION	GENEBIOTYPE	ENTREZID	UNIPROTID	LENGTH	METABIOTYPE	logFC	logCPM	F	PValue	FDR
LIME1	Lck interacting transmembrane adaptor 1	protein_coding	54923	X6RKG5.40	2550	protein_coding	-3.07607570652563	4.98373834478965	1146.95256884743	8.82613002003168e-14	1.05286905008958e-09
C16orf54	chromosome 16 open reading frame 54	protein_coding	283897	Q6UWD8.120	2569	protein_coding	-2.45399568547847	6.45987060880502	808.933733871472	7.79885378722563e-13	4.65162634139073e-09
ATP8B2	ATPase phospholipid transporting 8B2	protein_coding	57198	A0A5K1VW70.5	7597	protein_coding	-3.19645584381892	8.23688086249786	640.290478918758	3.33507888722043e-12	1.32613853485508e-08
CREBBP	CREB binding protein	protein_coding	1387	Q92793.247	15479	protein_coding	-1.56938990964269	7.1021446677462	567.529612433917	7.04228328590718e-12	2.10018493293967e-08
PCNX2	pecanex 2	protein_coding	80003	A6NKB5.108	13827	protein_coding	-1.7027966351256	5.91257858823133	539.089214318413	9.67887241944553e-12	2.2996793147066e-08
BIN2	bridging integrator 2	protein_coding	51411	S4R418.55	3986	protein_coding	-2.30789637005299	8.27053966265236	521.791292056187	1.18401846793733e-11	2.2996793147066e-08
BCL9L	BCL9 like	protein_coding	283149	Q86UU0.144	10788	protein_coding	-2.09525248954722	6.82589873227495	510.857948369149	1.34946392848908e-11	2.2996793147066e-08
HSP90AB1	heat shock protein 90 alpha family class B member 1	protein_coding	3326	A0A024RD80.58	2980	protein_coding	2.49830961251601	9.37915476561797	491.250594606847	1.71819065149083e-11	2.56203703520427e-08
HSPD1	heat shock protein family D (Hsp60) member 1	protein_coding	3329	A0A024R3X4.57	7629	protein_coding	2.72277849082612	7.69417851591595	473.90261605251	2.14466960924646e-11	2.64591245433143e-08
PRDX3	peroxiredoxin 3	protein_coding	10935	A0A384MTR2.16	3379	protein_coding	1.78308629236504	6.48167176231533	459.026049630982	2.61043132538063e-11	2.64591245433143e-08
NLRP1	NLR family pyrin domain containing 1	protein_coding	22861	Q9C000.217	11682	protein_coding	-2.00120612566149	8.29802351437687	457.83543743832	2.652524342925e-11	2.64591245433143e-08
MSH6	mutS homolog 6	protein_coding	2956	NA	10770	protein_coding	2.14132619353238	5.94888222068396	454.880156148627	2.76044798865261e-11	2.64591245433143e-08
PDLIM2	PDZ and LIM domain 2	protein_coding	64236	C9JSR2.83	12388	protein_coding	-2.50545243239856	5.62912868602594	451.670586616912	2.88346566403794e-11	2.64591245433143e-08
PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	protein_coding	10606	D6RF62.87	7516	protein_coding	3.400772235105	6.65509510698789	434.521520129156	3.65901160310757e-11	2.78250018613744e-08
NLN	neurolysin	protein_coding	57486	Q9BYT8.165	10939	protein_coding	3.29153211473864	2.80390646602402	434.149341148499	3.67834719380591e-11	2.78250018613744e-08
TSPAN14	tetraspanin 14	protein_coding	81619	Q8NG11.145	17889	protein_coding	-1.72224765385142	7.71200314904604	433.126822378676	3.73208173176285e-11	2.78250018613744e-08
RHBDF2	rhomboid 5 homolog 2	protein_coding	79651	NA	7055	protein_coding	-2.25814878422925	5.53117416931669	411.219825541467	5.13436695486019e-11	3.60281549438396e-08
IL10RA	interleukin 10 receptor subunit alpha	protein_coding	3587	NA	8080	protein_coding	-2.28975760019885	9.4561288431765	405.750701924937	5.57432309071728e-11	3.6942277860648e-08
FARSB	phenylalanyl-tRNA synthetase subunit beta	protein_coding	10056	Q9NSD9.191	6761	protein_coding	2.15438285718985	5.08459413490899	398.736975137328	6.20400511080293e-11	3.8951356298299e-08
PCSK7	proprotein convertase subtilisin/kexin type 7	protein_coding	9159	Q16549.197	22206	protein_coding	-1.61339202663671	8.24565658947329	391.036868504389	6.99236968075833e-11	4.01533567184016e-08
NRBP2	nuclear receptor binding protein 2	protein_coding	340371	Q9NSY0.156	4934	protein_coding	-2.55004055341483	3.78052040921282	390.345557444444	7.06866033268868e-11	4.01533567184016e-08
DHCR7	7-dehydrocholesterol reductase	protein_coding	1717	H0YCS7.43	6878	protein_coding	2.60600713029593	4.79985147727135	381.851880047893	8.08928140888867e-11	4.15128381888569e-08
UQCRC2	ubiquinol-cytochrome c reductase core protein 2	protein_coding	7385	H3BUI9.70	4589	protein_coding	1.13851629232789	7.27486045708916	379.594361943096	8.38862135498457e-11	4.15128381888569e-08
ANO9	anoctamin 9	protein_coding	338440	NA	6207	protein_coding	-1.9821838417921	6.11131984820964	378.439164139097	8.54674953531002e-11	4.15128381888569e-08
ZNF276	zinc finger protein 276	protein_coding	92822	H3BPT7.45	7456	protein_coding	-2.11916985805135	6.05412549581493	371.829576469456	9.52077323988089e-11	4.15128381888569e-08
PRR5	proline rich 5	protein_coding	55615	B1AHG4.76	5241	protein_coding	-2.50118183603619	4.48067949061126	368.987972907362	9.97865409124504e-11	4.15128381888569e-08
PSAT1	phosphoserine aminotransferase 1	protein_coding	29968	A0A024R280.38	2206	protein_coding	3.14585246776061	4.74729629962026	368.366751157639	1.0082122519148e-10	4.15128381888569e-08
STARD9	StAR related lipid transfer domain containing 9	protein_coding	57519	NA	20776	protein_coding	-1.44591101314614	6.12443049794318	362.323700339327	1.1156246006488e-10	4.15128381888569e-08
TRAP1	TNF receptor associated protein 1	protein_coding	10131	I3L253.57	5183	protein_coding	2.56306981793109	5.78360890160426	362.273133335015	1.11657775328343e-10	4.15128381888569e-08
LLGL2	LLGL scribble cell polarity complex component 2	protein_coding	3993	J3QSA6.55	7939	protein_coding	-2.45545799183854	4.42329933702365	361.807378867376	1.12540139715947e-10	4.15128381888569e-08
CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin	protein_coding	1201	A0A1B0GV71.29	9813	protein_coding	-1.34478669384141	5.81883474702003	359.029761462859	1.17973142747943e-10	4.15128381888569e-08
TMED8	transmembrane p24 trafficking protein family member 8	protein_coding	283578	Q6PL24.131	7761	protein_coding	1.4440479147374	5.40973670332386	356.808881489014	1.22536487127572e-10	4.15128381888569e-08
