SYMBOL	DESCRIPTION	GENEBIOTYPE	ENTREZID	UNIPROTID	LENGTH	METABIOTYPE	logFC	logCPM	F	PValue	FDR
HTATSF1	HIV-1 Tat specific factor 1	protein_coding	27336	Q5H918.106	3055	protein_coding	-1.96581290991871	6.88177544054585	379.633982564481	8.38325832747768e-11	6.15976205819624e-07
RDH10	retinol dehydrogenase 10	protein_coding	157506	A0A024R7X6.55	5331	protein_coding	2.38823158083585	6.95488020694944	366.923300856292	1.03273737248659e-10	6.15976205819624e-07
RASGRP4	RAS guanyl releasing protein 4	protein_coding	115727	NA	4183	protein_coding	5.14925328681207	3.27884819605857	333.54137075121	1.8500115256525e-10	7.35626249650287e-07
POU2AF1	POU class 2 homeobox associating factor 1	protein_coding	5450	Q16633.176	6996	protein_coding	5.02041940965625	4.17352009273314	313.304283683332	2.70940062943322e-10	8.08011002712723e-07
CDKN2B	cyclin dependent kinase inhibitor 2B	protein_coding	1030	K7PPU3.71	4000	protein_coding	-4.79832594161622	3.72931249409693	256.6895886891	9.07609431057252e-10	1.86698401431316e-06
TMEM200A	transmembrane protein 200A	protein_coding	114801	A8K2A1.103	5858	protein_coding	-2.3191587784494	3.5294491900952	255.246516971655	9.39048041401538e-10	1.86698401431316e-06
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	protein_coding	64411	G5E9Y3.90	6195	protein_coding	1.90352284276891	5.19624304699566	240.86228065583	1.3323830662903e-09	2.1114625383719e-06
GBP2	guanylate binding protein 2	protein_coding	2634	P32456.178	7223	protein_coding	0.970774460843969	8.52364392063513	238.439571987234	1.41601980945387e-09	2.1114625383719e-06
RNF157	ring finger protein 157	protein_coding	114804	A0A3B3ISM3.12	7913	protein_coding	-2.13726721781132	6.67205024905263	220.757674260774	2.24992683441423e-09	2.98215302308081e-06
DUSP16	dual specificity phosphatase 16	protein_coding	80824	A0A024RAR2.57	7132	protein_coding	1.23822554715196	7.31981026385099	211.793271427086	2.88433791859353e-09	3.44072670309022e-06
RPS6KA5	ribosomal protein S6 kinase A5	protein_coding	9252	O75582.207	27982	protein_coding	-1.46349670338421	5.88781812587299	197.427061397301	4.38830559208501e-09	4.75891794618019e-06
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	protein_coding	11093	NA	5708	protein_coding	1.8379298749582	2.21851067909392	191.252742660035	5.30280078107262e-09	4.87792193141591e-06
DBN1	drebrin 1	protein_coding	1627	Q16643.202	5119	protein_coding	1.62370196215538	5.40623322643242	190.964050071062	5.35069373641315e-09	4.87792193141591e-06
PLS3	plastin 3	protein_coding	5358	F2Z2Z9.67	4092	protein_coding	4.14843634276804	1.84738856996562	188.807310013911	5.72478053816940e-09	4.87792193141591e-06
STX3	syntaxin 3	protein_coding	6809	A0A286YF28.19	7308	protein_coding	-3.06701149618358	5.92296914823757	186.169069844229	6.2243235775714e-09	4.94999706378995e-06
DGKI	diacylglycerol kinase iota	protein_coding	9162	E9PFX6.79	15547	protein_coding	5.30407313917251	3.36664738319953	182.851022477285	6.9259883202608e-09	5.16375716702444e-06
RPA1	replication protein A1	protein_coding	6117	I3L524.59	5492	protein_coding	-1.00978452558039	7.71522997766149	161.029717143437	1.46834383645816e-08	9.48754396844026e-06
EFCAB8	EF-hand calcium binding domain 8	protein_coding	388795	A0A096LNH2.44	4772	protein_coding	-4.09843414520561	2.65772696832723	160.651096173057	1.48883800239419e-08	9.48754396844026e-06
SMPD3	sphingomyelin phosphodiesterase 3	protein_coding	55512	Q9NY59.150	6984	protein_coding	-5.18774644179645	2.59960629741833	160.245959606275	1.51113534579902e-08	9.48754396844026e-06
RNF144A	ring finger protein 144A	protein_coding	9781	P50876.173	6450	protein_coding	-2.29060675002601	5.81206370212759	155.830544775518	1.78101302720418e-08	1.03592849430167e-05
NIPSNAP1	nipsnap homolog 1	protein_coding	8508	Q9BPW8.164	2983	protein_coding	0.696315659659351	6.10560353151313	155.20404096781	1.82366488224788e-08	1.03592849430167e-05
FYN	FYN proto-oncogene, Src family tyrosine kinase	protein_coding	2534	P06241.258	7411	protein_coding	0.877454169130441	8.4380085926895	153.154472879868	1.97169782904842e-08	1.06910833648721e-05
CD27	CD27 molecule	protein_coding	939	P26842.198	1322	protein_coding	1.40745103310181	7.40152650463719	151.069542809907	2.13676013288359e-08	1.1082352880508e-05
VCL	vinculin	protein_coding	7414	NA	9992	protein_coding	1.19068537955043	6.31551833450282	147.917280712711	2.41770969048918e-08	1.20170245407689e-05
RB1	RB transcriptional corepressor 1	protein_coding	5925	A0A2R8YFL6.17	6434	protein_coding	-1.39676598686918	6.04435800977601	145.511242877315	2.66115776286497e-08	1.26979803812865e-05
CD72	CD72 molecule	protein_coding	971	Q5TLG3.140	2925	protein_coding	1.62193807413006	4.38756143817134	142.94152086881	2.95312700498277e-08	1.35491738624767e-05
CYBRD1	cytochrome b reductase 1	protein_coding	79901	Q53TN4.140	5172	protein_coding	2.15797715187197	2.68077862900858	131.049961152197	4.89543564554317e-08	2.1551938198454e-05
TSPAN15	tetraspanin 15	protein_coding	23555	O95858.163	2651	protein_coding	-3.68437799089469	0.619747259007924	129.614794163627	5.21809894884343e-08	2.1551938198454e-05
ZNF329	zinc finger protein 329	protein_coding	79673	A0A024R4Q4.50	4315	protein_coding	-2.04055445935977	2.44710825941625	129.012917986684	5.36070337646704e-08	2.1551938198454e-05
TNFSF8	TNF superfamily member 8	protein_coding	944	NA	4605	protein_coding	-2.25975119707307	6.69451522945864	128.767869145264	5.42005319769988e-08	2.1551938198454e-05
FHL3	four and a half LIM domains 3	protein_coding	2275	NA	2004	protein_coding	1.54950991053636	3.79552462863902	127.263032216012	5.80166327270982e-08	2.23251745742437e-05
TTLL3	tubulin tyrosine ligase like 3	protein_coding	26140	C9JWZ9.60	10415	protein_coding	1.16988674008583	6.83678062687513	124.961644533108	6.44714677438995e-08	2.35676899831225e-05
ANKRD28	ankyrin repeat domain 28	protein_coding	23243	A0A024R2I9.8	11276	protein_coding	1.03974968273575	6.84623596012691	124.719796396452	6.51968957534616e-08	2.35676899831225e-05
POLE3	DNA polymerase epsilon 3, accessory subunit	protein_coding	54107	NA	2607	protein_coding	-0.957244252235645	5.62989606300426	122.06363801456	7.38194096758224e-08	2.43929139612169e-05
ASPH	aspartate beta-hydroxylase	protein_coding	444	Q12797.206	20047	protein_coding	1.75925189567336	2.48232073086222	122.039094770731	7.39050296936538e-08	2.43929139612169e-05
DAPK1	death associated protein kinase 1	protein_coding	1612	P53355.220	8908	protein_coding	4.25202438262765	2.29616077060578	121.768775394082	7.48557002073094e-08	2.43929139612169e-05
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	protein_coding	23239	O60346.189	9051	protein_coding	0.996395687220035	4.52264476165029	121.543404439241	7.56591345934297e-08	2.43929139612169e-05
DPF3	double PHD fingers 3	protein_coding	8110	Q92784.165	17947	protein_coding	-3.16615203637528	2.11517877606797	120.567510034441	7.92554509893535e-08	2.46745400358511e-05
ARHGAP10	Rho GTPase activating protein 10	protein_coding	79658	NA	10755	protein_coding	1.09492218790626	4.36090605965418	119.850594890302	8.20238138332322e-08	2.46745400358511e-05
DPP4	dipeptidyl peptidase 4	protein_coding	1803	NA	14432	protein_coding	-1.0674854208793	7.82781412456573	119.670185730978	8.27379999525562e-08	2.46745400358511e-05
IGBP1	immunoglobulin binding protein 1	protein_coding	3476	P78318.183	1864	protein_coding	0.730115067744484	6.45571309561722	118.992956385828	8.54839947112419e-08	2.48716725100099e-05
CTLA4	cytotoxic T-lymphocyte associated protein 4	protein_coding	1493	P16410.222	2140	protein_coding	1.93987053260793	5.64617973605949	118.410380525836	8.79309372290999e-08	2.49744797668079e-05
PAM	peptidylglycine alpha-amidating monooxygenase	protein_coding	5066	D6RF09.57	7523	protein_coding	1.32940247314908	5.74401845312832	117.438087752271	9.21978371242281e-08	2.50797390103684e-05
WHRN	whirlin	protein_coding	25861	Q9P202.179	5704	protein_coding	3.25680294833918	5.03680478840564	117.369811589252	9.25063724080989e-08	2.50797390103684e-05
TMEM38A	transmembrane protein 38A	protein_coding	79041	Q9H6F2.128	2987	protein_coding	2.95844449141156	0.78856009825066	116.060258755639	9.86620711624175e-08	2.61542188199217e-05
