SYMBOL	DESCRIPTION	GENEBIOTYPE	ENTREZID	UNIPROTID	LENGTH	METABIOTYPE	logFC	logCPM	F	PValue	FDR
INSIG1	insulin induced gene 1	protein_coding	3638	A0A024RD68.44	3650	protein_coding	1.92271366231324	6.10593094917677	482.027838401405	1.93125989645697e-11	1.2659330971788e-07
ATP8B2	ATPase phospholipid transporting 8B2	protein_coding	57198	A0A5K1VW70.5	7597	protein_coding	-2.53556713009389	8.23688086249786	425.995736990555	4.13317090245998e-11	1.2659330971788e-07
C16orf54	chromosome 16 open reading frame 54	protein_coding	283897	Q6UWD8.120	2569	protein_coding	-1.71835095612509	6.45987060880502	415.800211711669	4.79664173083722e-11	1.2659330971788e-07
LIME1	Lck interacting transmembrane adaptor 1	protein_coding	54923	X6RKG5.40	2550	protein_coding	-1.75474347306435	4.98373834478965	406.746841321153	5.49103385979521e-11	1.2659330971788e-07
NRBP2	nuclear receptor binding protein 2	protein_coding	340371	Q9NSY0.156	4934	protein_coding	-2.59590257403042	3.78052040921282	403.946357204208	5.72894310754704e-11	1.2659330971788e-07
PCNX2	pecanex 2	protein_coding	80003	A6NKB5.108	13827	protein_coding	-1.44678284095519	5.91257858823133	394.411620302067	6.63336505600759e-11	1.2659330971788e-07
UQCRC2	ubiquinol-cytochrome c reductase core protein 2	protein_coding	7385	H3BUI9.70	4589	protein_coding	1.14991944497026	7.27486045708916	387.196908383617	7.42856205905908e-11	1.2659330971788e-07
CREBBP	CREB binding protein	protein_coding	1387	Q92793.247	15479	protein_coding	-1.22281718897926	7.1021446677462	350.451839397739	1.36772620366308e-10	1.94041639617427e-07
PDLIM2	PDZ and LIM domain 2	protein_coding	64236	C9JSR2.83	12388	protein_coding	-2.16628324052722	5.62912868602594	346.573589768565	1.46397414415026e-10	1.94041639617427e-07
ZNF641	zinc finger protein 641	protein_coding	121274	Q96N77.161	8502	protein_coding	-1.84864410148882	5.38099893071757	328.535817321251	2.02879034230599e-10	2.28370943594958e-07
PPFIA4	PTPRF interacting protein alpha 4	protein_coding	8497	NA	9718	protein_coding	6.12240542859129	3.11456616527262	317.205131220948	2.51272657141356e-10	2.28370943594958e-07
FLT3LG	fms related receptor tyrosine kinase 3 ligand	protein_coding	2323	M0R2K0.46	2846	protein_coding	-2.15681595628272	5.61946366090622	304.826015364689	3.20170666609753e-10	2.28370943594958e-07
SLC35D2	solute carrier family 35 member D2	protein_coding	11046	A0A3B3ITR5.7	3827	protein_coding	-1.80155599428318	5.40115807553813	300.379843007175	3.50095482503213e-10	2.28370943594958e-07
ANO9	anoctamin 9	protein_coding	338440	NA	6207	protein_coding	-1.7511831473091	6.11131984820964	299.311571398771	3.57760551502784e-10	2.28370943594958e-07
PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	protein_coding	55824	Q9NWQ8.153	11023	protein_coding	-1.43691417795597	8.01871581370376	297.020055303258	3.74867941909536e-10	2.28370943594958e-07
NIPSNAP1	nipsnap homolog 1	protein_coding	8508	Q9BPW8.164	2983	protein_coding	0.96152879977495	6.10560353151313	293.935379579406	3.99415332412125e-10	2.28370943594958e-07
DHCR7	7-dehydrocholesterol reductase	protein_coding	1717	H0YCS7.43	6878	protein_coding	2.24257291582871	4.79985147727135	290.988361049162	4.24622291310039e-10	2.28370943594958e-07
AGK	acylglycerol kinase	protein_coding	55750	E9PC15.71	10697	protein_coding	1.81022942479878	6.22549139009309	289.221956493498	4.40613343228551e-10	2.28370943594958e-07
LTB	lymphotoxin beta	protein_coding	4050	NA	1535	protein_coding	-3.1308530066291	8.40041765091513	288.730889128789	4.45182106722446e-10	2.28370943594958e-07
IL17RA	interleukin 17 receptor A	protein_coding	23765	NA	9036	protein_coding	-2.02961387226813	6.35804124717036	286.742796480123	4.64248392267053e-10	2.28370943594958e-07
SEC31B	SEC31 homolog B, COPII coat complex component	protein_coding	25956	NA	7934	protein_coding	-1.38068369453752	7.11276077434603	284.554462590259	4.86338112610533e-10	2.28370943594958e-07
RASGRP4	RAS guanyl releasing protein 4	protein_coding	115727	NA	4183	protein_coding	4.66660712043067	3.27884819605857	284.209005191779	4.8993543700604e-10	2.28370943594958e-07
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	protein_coding	23239	O60346.189	9051	protein_coding	1.53471851479462	4.52264476165029	282.282413552852	5.10571881632865e-10	2.28370943594958e-07
TRAP1	TNF receptor associated protein 1	protein_coding	10131	I3L253.57	5183	protein_coding	2.221582147891	5.78360890160426	280.919253823332	5.25782197146917e-10	2.28370943594958e-07
BIN2	bridging integrator 2	protein_coding	51411	S4R418.55	3986	protein_coding	-1.65361534943766	8.27053966265236	280.126153610262	5.34873057187978e-10	2.28370943594958e-07
POU2AF1	POU class 2 homeobox associating factor 1	protein_coding	5450	Q16633.176	6996	protein_coding	4.67003538165695	4.17352009273314	278.035957976678	5.59717352050943e-10	2.28370943594958e-07
HSPD1	heat shock protein family D (Hsp60) member 1	protein_coding	3329	A0A024R3X4.57	7629	protein_coding	2.02428745506435	7.69417851591595	276.749987013891	5.75666421219313e-10	2.28370943594958e-07
SLFN12L	schlafen family member 12 like	protein_coding	100506736	NA	13640	protein_coding	-1.7379311492276	8.34482340760251	276.331084101114	5.80975032951753e-10	2.28370943594958e-07
ZNF276	zinc finger protein 276	protein_coding	92822	H3BPT7.45	7456	protein_coding	-1.80811772000235	6.05412549581493	276.329078392231	5.81000586659232e-10	2.28370943594958e-07
NFATC2	nuclear factor of activated T cells 2	protein_coding	4773	Q13469.227	8286	protein_coding	-1.22031087575558	7.146059293053	274.651891064789	6.02831937919236e-10	2.28370943594958e-07
CCL22	C-C motif chemokine ligand 22	protein_coding	6367	O00626.176	2917	protein_coding	6.91854938644119	4.05149902593378	274.314146503856	6.07342360880775e-10	2.28370943594958e-07
VDR	vitamin D receptor	protein_coding	7421	F1D8P8.89	5674	protein_coding	3.28553241946841	6.73724708302756	273.417860503833	6.19502616868427e-10	2.28370943594958e-07
FAM13B	family with sequence similarity 13 member B	protein_coding	51306	A0A2X0SG06.13	6808	protein_coding	-1.79990441988088	6.13127257949456	272.534948870361	6.31757996364624e-10	2.28370943594958e-07
FDFT1	farnesyl-diphosphate farnesyltransferase 1	protein_coding	2222	P37268.213	5197	protein_coding	1.39495954542859	7.18466800230649	269.097133916995	6.82229828629113e-10	2.39362341932844e-07
FHIP1B	FHF complex subunit HOOK interacting protein 1B	protein_coding	84067	Q8N612.126	4726	protein_coding	-1.283142024646	5.34890507032372	266.715870273207	7.19933477719292e-10	2.45373898734669e-07
COPG2	COPI coat complex subunit gamma 2	protein_coding	26958	A0A140VK12.28	4139	protein_coding	2.14838328967597	4.80595541791115	260.659967058507	8.27211740484748e-10	2.71755019686765e-07
PABPC4	poly(A) binding protein cytoplasmic 4	protein_coding	8761	A0A7I2V5W9.1	10274	protein_coding	1.14484968529406	6.39365651502566	258.038442233499	8.79321056402064e-10	2.71755019686765e-07
ATP5MC3	ATP synthase membrane subunit c locus 3	protein_coding	518	P48201.177	3883	protein_coding	1.31638203594233	6.8098733283637	257.852873653524	8.8315158991737e-10	2.71755019686765e-07
TSPAN14	tetraspanin 14	protein_coding	81619	Q8NG11.145	17889	protein_coding	-1.31404298315755	7.71200314904604	257.597219647578	8.8846053883677e-10	2.71755019686765e-07
CCNB1IP1	cyclin B1 interacting protein 1	protein_coding	57820	A0A384MR52.15	3680	protein_coding	1.52999227676294	5.29241661077855	256.20864625726	9.17949766924037e-10	2.73755569240921e-07
ZNF683	zinc finger protein 683	protein_coding	257101	Q8IZ20.160	2379	protein_coding	-4.51845651188482	4.37311973081673	253.892506576532	9.69698641670629e-10	2.79594272010303e-07
LAMP1	lysosomal associated membrane protein 1	protein_coding	3916	A0A024RDY3.43	5741	protein_coding	-1.18710509751512	6.94940813059677	253.260359017721	9.84404344407137e-10	2.79594272010303e-07
FDPS	farnesyl diphosphate synthase	protein_coding	2224	A0A087X090.51	3718	protein_coding	1.59317052714807	6.97748619689132	248.502098309528	1.10378066333642e-09	3.06209291463725e-07
GOLGA8B	golgin A8 family member B	protein_coding	440270	NA	7782	protein_coding	-1.55761664135656	9.32714524297569	246.13194491825	1.16945588101069e-09	3.1222216344198e-07
