gene	STARS	p_value	significant	# sgRNAs	# signif. sgRNAs
P2RY1	1.98324229405	0.045801526717557328	True	5	0
CLNK	1.90679813171	0.061068702290076327	True	5	0
DUSP4	1.74947960367	0.091603053435114559	True	5	0
SERPINE1	1.66888917546	0.10687022900763364	True	5	1
SLC29A1	1.53121463723	0.12977099236641221	True	5	1
PHEX	1.2324350469	0.25954198473282442	False	5	0
GEM	1.22359101606	0.27480916030534353	False	5	1
NDFIP2	1.13727247168	0.31297709923664119	False	5	0
SNX9	0.859560704746	0.48854961832061072	False	5	1
SH3BGRL2	0.774080332611	0.64122137404580148	False	5	0
Intergenic	0.738626514509	0.64122137404580148	False	20	1
SHC4	0.720346124079	0.69465648854961826	False	5	0
PTMS	0.633858435826	0.83206106870229002	False	5	0
SPRY1	0.588840447434	0.96183206106870245	False	5	0
ATP9A	-1.0	N/A	False	5	0
FAM3C	-1.0	N/A	False	5	1
SRGAP3	-1.0	N/A	False	5	0
PHLDA1	-1.0	N/A	False	5	0
PTPN22	-1.0	N/A	False	5	0
XCL2	-1.0	N/A	False	5	0
CAMK1	-1.0	N/A	False	5	0
NTRK1	-1.0	N/A	False	5	0
OAS1	-1.0	N/A	False	5	0
PDE7B	-1.0	N/A	False	5	0
ZAP70	-1.0	N/A	False	5	0
MYO1E	-1.0	N/A	False	5	0
PLS3	-1.0	N/A	False	5	0
ENTPD1	-1.0	N/A	False	5	0
MS4A6A	-1.0	N/A	False	5	0
LAMP1	-1.0	N/A	False	5	0
AKAP5	-1.0	N/A	False	5	0
RYR1	-1.0	N/A	False	5	0
LAT	-1.0	N/A	False	5	0
