SYMBOL	DESCRIPTION	GENEBIOTYPE	ENTREZID	UNIPROTID	LENGTH	METABIOTYPE	logFC	logCPM	F	PValue	FDR
LIME1	Lck interacting transmembrane adaptor 1	protein_coding	54923	X6RKG5.40	2550	protein_coding	2.4637330776492	4.98373834478965	769.607395965721	1.0635244359522e-12	1.26867829964738e-08
C16orf54	chromosome 16 open reading frame 54	protein_coding	283897	Q6UWD8.120	2569	protein_coding	2.06170254488852	6.45987060880502	586.446379894601	5.74852333804674e-12	2.91642198865936e-08
PCNX2	pecanex 2	protein_coding	80003	A6NKB5.108	13827	protein_coding	1.74382070491366	5.91257858823133	563.813906955273	7.33445047026412e-12	2.91642198865936e-08
ATP8B2	ATPase phospholipid transporting 8B2	protein_coding	57198	A0A5K1VW70.5	7597	protein_coding	2.77519688395543	8.23688086249786	499.058600639139	1.55887868367702e-11	4.43388686138377e-08
MSH6	mutS homolog 6	protein_coding	2956	NA	10770	protein_coding	-2.21679195820258	5.94888222068396	485.040956474382	1.85844868026816e-11	4.43388686138377e-08
HSP90AB1	heat shock protein 90 alpha family class B member 1	protein_coding	3326	A0A024RD80.58	2980	protein_coding	-2.43733602493143	9.37915476561797	470.56333414382	2.2402122621841e-11	4.45391534593235e-08
ANO9	anoctamin 9	protein_coding	338440	NA	6207	protein_coding	2.10783763673175	6.11131984820964	423.924153050656	4.25889894895685e-11	6.34481060585304e-08
RENBP	renin binding protein	protein_coding	5973	P51606.173	2047	protein_coding	2.32172316906662	3.27382681252363	409.085210194185	5.30111863441429e-11	6.34481060585304e-08
DHCR7	7-dehydrocholesterol reductase	protein_coding	1717	H0YCS7.43	6878	protein_coding	-2.70216118289531	4.79985147727135	406.978115519788	5.47190329539008e-11	6.34481060585304e-08
PRDX3	peroxiredoxin 3	protein_coding	10935	A0A384MTR2.16	3379	protein_coding	-1.64993507914333	6.48167176231533	395.913320328315	6.48050956906204e-11	6.34481060585304e-08
NLN	neurolysin	protein_coding	57486	Q9BYT8.165	10939	protein_coding	-3.11478699239322	2.80390646602402	394.679693923687	6.60577465029018e-11	6.34481060585304e-08
SLC35D2	solute carrier family 35 member D2	protein_coding	11046	A0A3B3ITR5.7	3827	protein_coding	2.07388152849449	5.40115807553813	391.272079403611	6.96663039800345e-11	6.34481060585304e-08
NLRP1	NLR family pyrin domain containing 1	protein_coding	22861	Q9C000.217	11682	protein_coding	1.83579987536521	8.29802351437687	388.688151370911	7.25552575300657e-11	6.34481060585304e-08
CTPS1	CTP synthase 1	protein_coding	1503	NA	11164	protein_coding	-2.27802033625032	5.20741320437411	387.046008700633	7.44633653130544e-11	6.34481060585304e-08
PSAT1	phosphoserine aminotransferase 1	protein_coding	29968	A0A024R280.38	2206	protein_coding	-3.20696688306566	4.74729629962026	380.623410520723	8.25060906909786e-11	6.5444801771917e-08
FARSB	phenylalanyl-tRNA synthetase subunit beta	protein_coding	10056	Q9NSD9.191	6761	protein_coding	-2.08453201354776	5.08459413490899	376.108695634289	8.87638269267791e-11	6.5444801771917e-08
